RefID,Citation
1.,"Koetz, A. Ecology, behaviour and control of Apis cerana with a focus on relevance to the Australian incursion. Insects 2013, 4, 558–592."
2.,"Groom, S.; Schwarz, M. Bees in the Southwest Pacific: Origins, diversity and conservation. Apidologie 2011, 42, 759–770."
3.,"Oldroyd, B. Coevolution while you wait: Varroa jacobsoni, a new parasite of western honeybees. Trends Ecol. Evol. 1999, 14, 312–315."
4.,"Byatt, M.; Chapman, N.; Latty, T.; Oldroyd, B. The genetic consequences of the anthropogenic movement of social bees. Insectes Soc. 2016, 63, 15–24."
5.,"Moritz, R. F. A.; Haddad, N.; Bataieneh, A.; Shalmon, B.; Hefetz, A. Invasion of the dwarf honeybee Apis florea into the near East. Biol. Invasions 2010, 12, 1093–1099."
6.,"Huryn, V. Ecological impacts of introduced honey bees. Q. Rev. Biol. 1997, 72, 275–297."
7.,"Howlett, B.; Donovan, B. A review of New Zealand’s deliberately introduced bee fauna: Current status and potential impacts. N. Z. Entomol. 2010, 33, 92–101."
8.,"Sugden, E. A.; Pyke, G. H. Effects of honey bees on colonies of Exoneura asimillima, an Australian native bee. Aust. J. Ecol. 1991, 16, 171–181."
9.,"Goulson, D. Effects of introduced bees on native ecosystems. Annu. Rev. Ecol. Evol. Syst. 2003, 34, 1–26."
10.,"Paini, D.; Roberts, J. Commercial honey bees (Apis mellifera) reduce the fecundity of an Australian native bee (Hylaeus alcyoneus). Biol. Conserv. 2005, 123, 103–112."
11.,"Yang, G. H. Harm of introducing the western honeybee Apis mellifera L. to the Chinese honeybee Apis cerana F. and its ecological impact. Acta Entomol. Sin. 2005, 3, 15."
12.,"Semida, F.; Elbanna, S. Impact of introduced honey bees on native bees at St. Katherine protectorate, South Sinai, Egypt. Int. J. Agric. 2006, 8, 191–194."
13.,"Magnacca, K. N. Conservation status of the endemic bees of Hawai‘i, Hylaeus (Nesoprosopis) (Hymenoptera: Colletidae). Pac. Sci. 2007, 61, 173–190."
14.,"Goulson, D.; Sparrow, K. Evidence for competition between honeybees and bumblebees; effects on bumblebee worker size. J. Insect Conserv. 2009, 16, 177–181."
