Non-native Species,General impacts (row color),Nesting Sites,Floral Resources,Pathoens/ Parasites,Invasive Weeds,Altering Pollination Webs,Introgres sion,Decrease Plant Fitness,Empirical references
Apis cerana,see columns,[1],[2],[1–3],NA,NA,[4],NA,
Apis dorsata,no impacts recorded,NA,NA,NA,NA,NA,NA,NA,
Apis florea,see columns,NA,[5],[5],NA,NA,NA,NA,
Apis mellifera,see columns,"But see [6,7]","[8–19] but see [6,20–22]","[9,23–26]",[27–35] but see [6],[36–38] [39–43] but see [44],[4],"[37,45] [38,46,47] [48,49] but see [50]","8,9,10,11,12,13,14,15,16,17,18,19,23,24,25,26,27,28,29,30,31,32,33,34,35,37,38,39,40,41,42,43,44,45,48,49,50"
Apis mellifera scutellata,see columns,NA,[51] but see [52–54],NA,NA,[55–57],NA,NA,"51,52,53,54,55,56,57"
Bombus hortorum,see columns,NA,NA,NA,"[58,59]",NA,NA,NA,"58,59"
Bombus hypnorum,see columns,But see [60],But see [60],[61],NA,NA,NA,NA,"60,61"
Bombus impatiens,see columns,[62],"[62,63]","[26,64–66]",NA,NA,[62],NA,
Bombus lucorum,no impacts recorded,NA,NA,NA,NA,NA,NA,NA,
Bombus ruderatus,see columns,NA,"[67,68]","[69,70]","[28,58,59,69,71,72]","[36,39]",NA,[39] but see [73],"28,58,59,68,69,71,72,73"
Bombus subterraneous,see columns,NA,NA,NA,[59],NA,NA,NA,59
Bombus terrestris,see columns,[74–76],"[67,70,74,75, 77–84] but see [85,86]","[25,26,70,7 6,87–90]","[29,58,72,9 1–95] but see [96]","[38,39,68,81,97,98 ]","[4,76,88, 99,100]","[47,76,49,86,97 ,101–103]","4,25,26,29,38,39,47,49,58,67,68,70,72,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,97,98,99,100,101,102,103"
