Non-native Species,General impacts (row color),Agricultural Pollination,Lab Reared Studies,Natural History,Rescue of Native Species,Resilience to Human Disturbance and Climate Change,Empirical references
Apis cerana,see columns,"[1,104,105]",NA,NA,[106],NA,"1,104,105,106"
Apis dorsata,no impacts recorded,NA,NA,NA,NA,NA,
Apis florea,see columns,"[5,107]",NA,NA,NA,NA,"5,107"
Apis mellifera,see columns,"[7,108,109,110,111,112] but see [15,113,114]","[115,116,117,118,119]",NA,"[9] [6,106,120,121,122]","[123,124]","6,15,106,113,114,115,116,117,118,119,120,121,122,123,124"
Apis mellifera scutellata,see columns,"[125,126]",NA,NA,NA,[127],127
Bombus hortorum,see columns,"[128,129] *","[130,131]","[132,133]",NA,NA,"130,131,132,133"
Bombus hypnorum,see columns,[134],NA,NA,NA,"[60,135]",60
Bombus impatiens,see columns,[136],[137],NA,NA,[138],"136,137"
Bombus lucorum,no impacts recorded,NA,NA,NA,NA,NA,
Bombus ruderatus,see columns,"[139,140,141] *","[130,131]","[132,133, 140,141]",[122],NA,"122,130,131,132,133,140,141"
Bombus subterraneous,see columns,"[128,129] *",NA,"[132,133]",NA,NA,"132,133"
Bombus terrestris,see columns,"[68,76,94,142] but see [128,129] * [143]","[131,144,145]","[132,133]",[122],[146],"122,131,132,133,144,145,146"
