Family,Non-native Species,Probable method of introduction,Year,From,Found in,Reference
Colletidae (8),Chilicola rostrata,A,2008,Argentina,Chile,[8]
Colletidae (8),Hylaeus (Prosopis) variegates,A,1990,North Africa,New York City,pers. comm. S. Droege
Colletidae (8),Hylaeus albonitens,A,1995,Australia,Hawaii,[9]
Colletidae (8),Hylaeus hyalinatus,A,1990,Europe,"New York City, S Ontario, New Jersey, Pennsylvania","[10,11]"
Colletidae (8),Hylaeus leptocephalus,A,1900,Europe,"US, S Canada","[9,11,12]"
Colletidae (8),Hylaeus punctatus,A,1980,Europe,"US, Chile, Canada, Argentina, Brazil",[11]
Colletidae (8),Hylaeus strenuus,A,2007,Asia,Hawaii,"[13,14]"
Colletidae (8),Hyleoides concinna,A,1980,Australia,New Zealand,[15]
Andrenidae (1),Andrena wilkella,A,1900s,Europe and N Asia,NE US and S Canada,"[11,12,16]"
Halictidae (8),Halictus tectus,A,2000,Europe to Mongolia,"Philadelphia, Baltimore, Washington, DC",[12]
Halictidae (8),Lasioglossum eleutherense,A,1990,Bahamas and Cuba,Florida,pers. comm. S. Droege
Halictidae (8),Lasioglossum imbrex,A,2013,US,Hawaii,"[17,18]"
Halictidae (8),Lasioglossum impavidum,A,2003,W US,Hawaii,[9]
Halictidae (8),Lasioglossum leucozonium,A,1900s,Europe and North Asia,US and S Canada,"[11,16]"
Halictidae (8),Lasioglossum microlepoides,A,2013,continental US,Hawaii,"[17,18]"
Halictidae (8),Lasioglossum zonulum,A,?,Europe and S China,North America,[11]
Halictidae (8),Nomia melanderi,I,1970,North America,New Zealand,[19]
Megachilidae (33),Afranthidium (Immanthidium) repetitum,A,2000,Africa,Australia,[20]
Megachilidae (33),Anthidium manicatum,A,1960,"Europe, N Africa, Near East","Chile, Brazil, Argentina, Uruguay, the US, Canada, New Zealand, Siberia, Peru, Suriname, Paraguay","[11,12,16]"
Megachilidae (33),Anthidium oblongatum,A,1990,Europe and Near East,NE US and S Canada,"[11,12]"
Megachilidae (33),Anthidium vigintiduopunctatum,A,2006,"South America, Ecuador, Peru","Galapagos, Fiji?","[21,22]"
Megachilidae (33),Chelostoma campanularum,A,1960,Europe and Near East,"New York, Connecticut, and S Ontario","[11,23]"
Megachilidae (33),Chelostoma rapunculi,A,1960,Europe and Near East,New York and S Ontario,"[11,23]"
Megachilidae (33),Coelioxys coturnix,A,2000,"Europe, North Africa, Mediterranean, India?",E US,pers. comm. S. Droege
Megachilidae (33),Heriades truncorum,A,2010,Europe and Near East,Maryland,pers. comm. S. Droege
Megachilidae (33),Hoplitis adunca,NA,2016,"Europe, Asia, Africa",Britain,[24]
Megachilidae (33),Hoplitis anthocopoides,A,1960,Europe,"US, S Ontario","[11,25]"
Megachilidae (33),Lithurgus bractipes,A,?,?,Fiji,[26]
Megachilidae (33),Lithurgus chrysurus,A,1970,"Europe, Near East, N Africa",Pennsylvania and New Jersey,[12]
Megachilidae (33),Lithurgus huberi,A,1907,Asia,"South America, Argentina",[27–29]
Megachilidae (33),Lithurgus scabrosus,A,1907,Europe,"Hawaii, Vanuatu",[9]
Megachilidae (33),Megachile apicalis,A,1930,"Europe, N Africa, Near/Middle East","US, Canada","[11,12]"
Megachilidae (33),Megachile australis,A,NA,SE Asia,"Vanuatu, Samoa",[26]
Megachilidae (33),Megachile chlorura,A,1988,Philippines,Hawaii,[9]
Megachilidae (33),Megachile concinna,A,1940,Africa,"West Indies, Mexico, US, Argentina",[12]
Megachilidae (33),Megachile ericetorum,A,2000,"Europe, Near East, China",S Ontario and New York,[11]
Megachilidae (33),Megachile fullawayi,A,1921,Guam,Hawaii,[30]
Megachilidae (33),Megachile gentilis,A,?,W US,Hawaii,"[9,31]"
Megachilidae (33),Megachile lanata,A,1700–1800,India and China,"West Indies and N South America, Florida, Antilles, Hawaii",[32]
Megachilidae (33),Megachile rotundata,"I,A",1920–1940,Europe to China,"North America to N Mexico, New Zealand, Chile, Argentina, Australia, Canada, Denmark","[11,12,19,33]"
Megachilidae (33),Megachile rufipennis,A,1511–1867,Old World,Antilles,[32]
