Family,Non-native Species,Establishment uncertain,oligolectic,General impacts (row color),Agricultural Pollination,Biocontrol,Lab Reared Bioindicators,Natural History,Resilience,EmpiricalRefs
Colletidae,Chilicola rostrata,FALSE,FALSE,see columns,NA,NA,NA,NA,NA,
Colletidae,Hylaeus albonitens,FALSE,FALSE,see columns,NA,NA,NA,NA,NA,
Colletidae,Hylaeus hyalinatus,FALSE,FALSE,see columns,NA,NA,NA,NA,[77],
Colletidae,Hylaeus leptocephalus,FALSE,FALSE,no impacts recorded,NA,NA,NA,NA,NA,
Colletidae,Hylaeus punctatus,FALSE,FALSE,no impacts recorded,NA,NA,NA,NA,NA,
Colletidae,Hylaeus strenuus,FALSE,FALSE,only negative recorded,NA,NA,NA,NA,NA,
Colletidae,Hylaeus Prosopis variegates,TRUE,FALSE,no impacts recorded,NA,NA,NA,NA,NA,
Colletidae,Hyleoides concinna,FALSE,FALSE,only negative recorded,NA,NA,NA,NA,NA,
Andrenidae,Andrena wilkella,FALSE,FALSE,see columns,[31],NA,NA,NA,[107],
Halictidae,Halictus tectus,FALSE,FALSE,no impacts recorded,NA,NA,NA,NA,NA,
Halictidae,Lasioglossum eleutherense,FALSE,FALSE,no impacts recorded,NA,NA,NA,NA,NA,
Halictidae,Lasioglossum imbrex,FALSE,FALSE,no impacts recorded,NA,NA,NA,NA,NA,
Halictidae,Lasioglossum impavidum,FALSE,FALSE,only negative recorded,NA,NA,NA,NA,NA,
Halictidae,Lasioglossum leucozonium,FALSE,FALSE,see columns,[108] *,NA,NA,NA,NA,
Halictidae,Lasioglossum microlepoides,FALSE,FALSE,see columns,NA,NA,NA,NA,NA,
Halictidae,Nomia melanderi,FALSE,FALSE,see columns,"[103],[109,110]",NA,NA,NA,NA,103
Megachilidae,Afranthidium repetitum,FALSE,FALSE,no impacts recorded,NA,NA,NA,NA,NA,
Megachilidae,Anthidium manicatum,FALSE,FALSE,see columns,NA,NA,[111],NA,NA,
Megachilidae,Anthidium oblongatum,FALSE,FALSE,no impacts recorded,NA,NA,NA,NA,NA,
Megachilidae,Anthidium vigintiduopunctatum,FALSE,FALSE,see columns,NA,NA,NA,[26],NA,
Megachilidae,Chelostoma campanularum,FALSE,TRUE,no impacts recorded,NA,NA,NA,NA,NA,
Megachilidae,Chelostoma rapunculi,FALSE,TRUE,no impacts recorded,NA,NA,NA,NA,NA,
Megachilidae,Coelioxys coturnix,FALSE,FALSE,no impacts recorded,NA,NA,NA,NA,NA,
Megachilidae,Heriades truncorum,FALSE,FALSE,see columns,NA,NA,[112],NA,NA,112
Megachilidae,Hoplitis adunca,FALSE,FALSE,no impacts recorded,NA,NA,NA,NA,NA,
Megachilidae,Hoplitis anthocopoides,FALSE,TRUE,no impacts recorded,NA,NA,NA,NA,NA,
Megachilidae,Lithurgus bractipes,FALSE,FALSE,see columns,[26],NA,NA,NA,NA,
Megachilidae,Lithurgus chrysurus,FALSE,TRUE,only negative recorded,NA,NA,NA,NA,NA,
Megachilidae,Lithurgus huberi,FALSE,TRUE,no impacts recorded,NA,NA,NA,NA,NA,
Megachilidae,Lithurgus scabrosus,FALSE,FALSE,see columns,[26],NA,NA,NA,NA,
Megachilidae,Megachile apicalis,FALSE,TRUE,only negative recorded,NA,NA,NA,NA,NA,
Megachilidae,Megachile australis,FALSE,FALSE,see columns,[26],NA,NA,NA,NA,
Megachilidae,Megachile concinna,FALSE,TRUE,see columns,[113],NA,NA,NA,NA,113
Megachilidae,Megachile ericetorum,FALSE,FALSE,no impacts recorded,NA,NA,NA,NA,NA,
Megachilidae,Megachile fullawayi,FALSE,FALSE,no impacts recorded,NA,NA,NA,NA,NA,
Megachilidae,Megachile gentilis,FALSE,FALSE,see columns,[31],NA,NA,NA,NA,
Megachilidae,Megachile lanata,FALSE,FALSE,no impacts recorded,NA,NA,NA,NA,NA,
Megachilidae,Megachile rotundata,FALSE,TRUE,see columns,"[26,31],[38],[73,109, 114],[115],[116]",NA,"[116,117,118,119]",[120],NA,"38, 115, 116, 117, 118, 119, 120"
Megachilidae,Megachile rufipennis,FALSE,FALSE,no impacts recorded,NA,NA,NA,NA,NA,
Megachilidae,Megachile sculpturalis,FALSE,FALSE,see columns,NA,NA,NA,NA,NA,
Megachilidae,Megachile timberlakei,FALSE,FALSE,see columns,NA,NA,NA,NA,NA,
Megachilidae,Megachile umbripenne,FALSE,FALSE,see columns,[26],NA,NA,NA,NA,
Megachilidae,Osmia caerulescens,FALSE,FALSE,no impacts recorded,NA,NA,NA,NA,NA,
Megachilidae,Osmia cornifrons,FALSE,FALSE,see columns,"[109,114,121],[122,123,124]",NA,"[125,126,127]",NA,NA,"123, 124, 125, 126"
Megachilidae,Osmia cornuta,TRUE,FALSE,see columns,"[109],[128],[129]",[130],[131] [104],NA,NA,"104, 128, 130"
Megachilidae,Osmia ribifloris,FALSE,FALSE,see columns,"[19],[38]",NA,NA,NA,NA,38
Megachilidae,Osmia taurus,FALSE,FALSE,no impacts recorded,NA,NA,NA,NA,NA,
Megachilidae,Pseudoanthidium nana,FALSE,TRUE,no impacts recorded,NA,NA,NA,NA,NA,
Apidae,Amegilla pulchra,FALSE,FALSE,see columns,NA,NA,NA,NA,NA,
Apidae,Anthophora plumipes,FALSE,FALSE,see columns,[132],NA,NA,NA,NA,
Apidae,Braunsapis puangensis,FALSE,FALSE,see columns,"[52,133]",NA,NA,"[52,53,133]",NA,
Apidae,Centris nitida,FALSE,FALSE,see columns,NA,NA,NA,NA,[56],
Apidae,Ceratina arizonensis,FALSE,FALSE,see columns,NA,NA,NA,NA,NA,
Apidae,Ceratina cobaltina,TRUE,FALSE,no impacts recorded,NA,NA,NA,NA,NA,
Apidae,Ceratina dallatorreana,FALSE,FALSE,no impacts recorded,NA,NA,NA,NA,NA,
Apidae,Ceratina dentipes,FALSE,FALSE,see columns,NA,NA,NA,NA,NA,
Apidae,Ceratina smaragdula,FALSE,FALSE,see columns,[134],NA,NA,NA,NA,
Apidae,Euglossa dilemma,FALSE,FALSE,see columns,NA,NA,NA,[135],NA,
Apidae,Peponapis pruinosa,FALSE,TRUE,see columns,[59],NA,NA,NA,NA,
Apidae,Plebia frontalis,TRUE,FALSE,no impacts recorded,NA,NA,NA,NA,NA,
Apidae,Triepeolus remigatus,FALSE,FALSE,see columns,NA,NA,NA,NA,NA,
Apidae,Xenoglossa strenua,FALSE,FALSE,see columns,[136],NA,NA,NA,NA,
Apidae,Xylocopa appendiculata,FALSE,FALSE,see columns,NA,NA,NA,NA,NA,
Apidae,Xylocopa augusti,FALSE,FALSE,no impacts recorded,NA,NA,NA,NA,NA,
Apidae,Xylocopa sonorina,FALSE,FALSE,see columns,[31],NA,NA,NA,NA,
Apidae,Xylocopa tabaniformis parkinsoniae,FALSE,FALSE,no impacts recorded,NA,NA,NA,NA,NA,
