Domain,Terms,Version,N
TOPIC,M,AND,"40,441"
TOPIC,N,AND,"10,060"
TOPIC,M AND N,AND,"4,892"
TOPIC,M AND N AND I,AND,"4,137"
TOPIC,M,NEAR,"35,897"
TOPIC,N,NEAR,"5,903"
TOPIC,M AND N,NEAR,"3,407"
TOPIC,M AND N AND I,NEAR,"2,648"
TOPIC,M,NEAR/3,"34,538"
TOPIC,N,NEAR/3,"4,611"
TOPIC,M AND N,NEAR/3,"2,298"
TOPIC,M AND N AND I,NEAR/3,"2,019"
TOPIC,M,NEAR/1,"29,122"
TOPIC,N,NEAR/1,"3,605"
TOPIC,M AND N,NEAR/1,"1,551"
TOPIC,M AND N AND I,NEAR/1,"1,359"
"TITLE, ABSTRACT, KEYWORDS",M,AND,"34,366"
"TITLE, ABSTRACT, KEYWORDS",N,AND,"8,047"
"TITLE, ABSTRACT, KEYWORDS",M AND N,AND,"3,820"
"TITLE, ABSTRACT, KEYWORDS",M AND N AND I,AND,"3,214"
"TITLE, ABSTRACT, KEYWORDS",M,NEAR,"30,960"
"TITLE, ABSTRACT, KEYWORDS",N,NEAR,"5,537"
"TITLE, ABSTRACT, KEYWORDS",M AND N,NEAR,"2,653"
"TITLE, ABSTRACT, KEYWORDS",M AND N AND I,NEAR,"2,274"
"TITLE, ABSTRACT, KEYWORDS",M,NEAR/3,"29,532"
"TITLE, ABSTRACT, KEYWORDS",N,NEAR/3,"4,219"
"TITLE, ABSTRACT, KEYWORDS",M AND N,NEAR/3,"1,908"
"TITLE, ABSTRACT, KEYWORDS",M AND N AND I,NEAR/3,"1,655"
"TITLE, ABSTRACT, KEYWORDS",M,NEAR/1,"29,086"
"TITLE, ABSTRACT, KEYWORDS",N,NEAR/1,"3,601"
"TITLE, ABSTRACT, KEYWORDS",M AND N,NEAR/1,"1,539"
"TITLE, ABSTRACT, KEYWORDS",M AND N AND I,NEAR/1,"1,350"
