PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	EA	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZR	ZA	ZB	ZS	Z9	U1	U2	SN	EI	BN	UT	PM	
J	Alaux, Cedric; Ducloz, Francois; Crauser, Didier; Le Conte, Yves				Le Conte, Yves M/B-3246-2016; Le Conte, Yves/M-4442-2018; Alaux, Cedric/B-4667-2013	Le Conte, Yves M/0000-0002-8466-5370; Le Conte, Yves/0000-0002-8466-5370; Alaux, Cedric/0000-0002-3045-2599			Diet effects on honeybee immunocompetence								BIOLOGY LETTERS				6	4			562	565		10.1098/rsbl.2009.0986				AUG 23 2010	2010	The maintenance of the immune system can be costly, and a lack of dietary protein can increase the susceptibility of organisms to disease. However, few studies have investigated the relationship between protein nutrition and immunity in insects. Here, we tested in honeybees (Apis mellifera) whether dietary protein quantity (monofloral pollen) and diet diversity (polyfloral pollen) can shape baseline immunocompetence (IC) by measuring parameters of individual immunity (haemocyte concentration, fat body content and phenoloxidase activity) and glucose oxidase (GOX) activity, which enables bees to sterilize colony and brood food, as a parameter of social immunity. Protein feeding modified both individual and social IC but increases in dietary protein quantity did not enhance IC. However, diet diversity increased IC levels. In particular, polyfloral diets induced higher GOX activity compared with monofloral diets, including protein-richer diets. These results suggest a link between protein nutrition and immunity in honeybees and underscore the critical role of resource availability on pollinator health.																		1744-9561			WOS:000279725700034	20089536	
J	Anderson, DL; Gibson, NL				Anderson, Denis L/K-2641-2019; Anderson, Denis/C-3203-2009	Anderson, Denis/0000-0002-5644-2444			New species and isolates of spore-cyst fungi (Plectomycetes : Ascosphaerales) from Australia								AUSTRALIAN SYSTEMATIC BOTANY				11	1			53	72		10.1071/SB96026				MAR 31 1998	1998	Fungi in the genus Ascosphaera (Plectomycetes: Ascosphaerales) are of agricultural and horticultural interest as they are only found, in nature, in association with social and solitary bees. To date, only one member of the genus, A. osmophila, has been described from Australia. In this paper, four new species of Ascosphaera, A. duoformis, A. flava, A. solina and A. subcuticulata, are described from Australia, together with previously unrecorded Australian isolates of A. acerosa, A. atra and the honey bee chalkbrood fungus, A. apis.																		1030-1887	1446-5701		WOS:000072971700006		
J	Anderson, DL; Gibbs, AJ; Gibson, NL				Anderson, Denis/C-3203-2009; Anderson, Denis L/K-2641-2019	Anderson, Denis/0000-0002-5644-2444; 			Identification and phylogeny of spore-cyst fungi (Ascosphaera spp.) using ribosomal DNA sequences								MYCOLOGICAL RESEARCH				102				541	547		10.1017/S0953756297005261				MAY 1998	1998	The internal transcribed spacers, ITS1 and ITS2, and 5.8S region of ribosomal DNA (rDNA) from 20 species of Ascosphaera were amplified by PCR, and their sequences determined and compared. No variation was detected in the sequences from 23 widely distributed isolates of A. apis, in sequences from II widely distributed A. nlm isolates, in four A. aggregata isolates, or in sequences from two isolates each of A. acerosa, A. duoformis, A. flava, A. larvis, A. pollenicola and A. proliperda. However, the ribosomal sequences from each of these nine species, and from another II species of which only a single isolate was examined, differed from one another by 0.18-30.9%. Thus these sequences provide a rapid method for identifying species, and searches using them showed that the sequence of A. apis rDNA recorded in the international databases is, in fact, that of A. atra.The rDNA sequences also provided data for assessing the relationships of these fungi. Of the rDNA sequences in current international databases, that of Eremascus albus was very close to, but distinct from, those of the Ascosphaera species. Comparisons of the Ascosphaera sequences showed that most formed consistent clusters irrespective of the method of comparison used (distance matrix and parsimony), or whether the ITS1 or ITS2 portions were used; A. acerosa with A. asterophora, A. atra with A. duoformis, A. colubrina closely with A. flava, A. larvis, A. major, A. variegata and more distantly with A. apis and A. celerrima, and, also, A. aggregata with A. subcuticulata, A. proliperda and more distantly with A. solina. The apparent relationships of these clusters were inconsistent, depended on the alignment of several regions of 'indels', and could not be resolved. The A. fusiformis, A. naganensis and A. osmophila sequences showed inconsistent relationships with the others, especially that of A. osmophila, which had an A. solina-like ITS2 region, but an atypical ITS1 sequence with a large unique repetitive insertion. The clusters based on gene sequence comparisons clearly correlated with groupings based on ascospore morphology and other characters.																		0953-7562			WOS:000073145500004		
J	Anderson, K. E.; Sheehan, T. H.; Eckholm, B. J.; Mott, B. M.; DeGrandi-Hoffman, G.					Eckholm, Bruce/0000-0002-1661-925X			An emerging paradigm of colony health: microbial balance of the honey bee and hive (Apis mellifera)								INSECTES SOCIAUX				58	4			431	444		10.1007/s00040-011-0194-6				NOV 2011	2011	Across the globe, honey bee populations have been declining at an unprecedented rate. Managed honey bees are highly social, frequent a multitude of environmental niches, and continually share food, conditions that promote the transmission of parasites and pathogens. Additionally, commercial honey bees used in agriculture are stressed by crowding and frequent transport, and exposed to a plethora of agricultural chemicals and their associated byproducts. When considering this problem, the hive of the honey bee may be best characterized as an extended organism that not only houses developing young and nutrient rich food stores, but also serves as a niche for symbiotic microbial communities that aid in nutrition and defend against pathogens. The niche requirements and maintenance of beneficial honey bee symbionts are largely unknown, as are the ways in which such communities contribute to honey bee nutrition, immunity, and overall health. In this review, we argue that the honey bee should be viewed as a model system to examine the effect of microbial communities on host nutrition and pathogen defense. A systems view focused on the interaction of the honey bee with its associated microbial community is needed to understand the growing agricultural challenges faced by this economically important organism. The road to sustainable honey bee pollination may eventually require the detoxification of agricultural systems, and in the short term, the integrated management of honey bee microbial systems.																		0020-1812	1420-9098		WOS:000294821000001		
J	BAMFORD, S; HEATH, LAF								THE EFFECTS OF TEMPERATURE AND PH ON THE GERMINATION OF SPORES OF THE CHALKBROOD FUNGUS, ASCOSPHAERA-APIS								JOURNAL OF APICULTURAL RESEARCH				28	1			36	40		10.1080/00218839.1989.11100818				1989	1989																			0021-8839			WOS:A1989CV53200006		
J	BATRA S W T								ECOLOGY BEHAVIOR PHEROMONES PARASITES AND MANAGEMENT OF THE SYMPATRIC VERNAL BEES COLLETES-INAEQUALIS COLLETES-THORACICUS AND COLLETES-VALIDUS								Journal of the Kansas Entomological Society				53	3			509	538						1980	1980	C. inaequalis Say, C. thoracicus Smith and C. validus Cresson usually occupy the same forest habitat in Maryland [USA]; both sexes are interspecifically attracted to the same linalool-citral mandibular gland pheromone, and 2 spp. share nest and mating aggregations. Nesting activity and food sources of all 3 overlap. The earliest, C. inaequalis, emerges as soon as the earth thaws in spring and uses primarily Acer pollen; C. validus pollinates mainly Vaccinium, and the latest, C. thoracicus, commonly visits Liriodendron. The subterranean nests of all 3 spp. are similar. Sexual behavior is described, including the in copulo nuptial flight of C. thoracicus. An expanding aggregation of C. thoracicus in a suburban lawn included over 104,500 nests; other such outbreaks are known. Nest and cell construction were observed. The brood cells are lined with a polyester membrane derived from macrocyclic lactones secreted by the Dufour's gland, imbibed and applied by the glossa. Hylaeus constructs a morphologically similar membrane from silk secreted by the thoracic salivary glands. Associates include provision-destroying fungi of the genera Rhizopus, Fusarium, Cephalosporium and Cladosporium. Larval rhabditid nematodes commonly inhabit the Dufour's glands of Colletes and Halictus. The Diptera, Leucophora marylandica (Malloch), L. obtusa (Zetterstedt) and Hylemya platura (Meigen) were present at aggregations, and larvae of Anthomyiidae were common in cells. The Sarcophagidae, Senotainia trilineata (Wulp) and Metopia campestris (Fallen), were present; Phorosinella fumosa Allen was reared. Bombyliidae, Asilidae and Tachinidae were also present. The Meloidae, Tricrania sanguinipennis Say and Lytta anena Say and Stylopidae were in cells. The conservation and management of C. validus for blueberry pollination is recommended. An artificial aggregation of Colletes nests was established.																		0022-8567			BCI:BCI198070078943		
J	BATRA, SUZANNE W. T.								Behavior of some social and solitary halictine bees within their nests: A comparative study (Hymenoptera: Haliciti-dae)								J KANS ENTOMOL SOC				41	(1)			120	133						1968	1968	The processes of burrow and cell construction, cell provisioning, oviposi-tion, egg-eating, inspection of brood in closed cells, division of labor and interactions among adult females of the social species Lasioglossum (Dialictus) versatum are described, illustrated, and compared with such behavior in the social L. zephyrum and L. imitatum. Observations of cell and burrow construction and provisioning in Halictus rubicundus, Neocorynura fumipennis and Augochlorella sp. are included, with information on oviposition behavior, brood inspection, and interactions between females of H. rubicundus and N. fumipennis. The processes of cell construction, provisioning, pollen ball formation and oviposition were similar in all species observed. Reproductive females of solitary or weakly social species attacked other females more often than did those of the social species. The bees were maintained in an indoor insectary and nested in narrow, plexiglas-sided observation chambers. || ABSTRACT AUTHORS: Author																					BCI:BCI19684900119775		
J	BATRA, SWT; BOHART, GE					Batra, Suzanne/0000-0001-9684-3026			ALKALI BEES - RESPONSE OF ADULTS TO PATHOGENIC FUNGI IN BROOD CELLS								SCIENCE				165	3893			607	&		10.1126/science.165.3893.607				1969	1969																			0036-8075			WOS:A1969D833000026	17770861	
J	Benoit, JB; Yoder, JA; Sammataro, D; Zettler, LW								Mycoflora and fungal vector capacity of the parasitic mite Varroa destructor (Mesostigmata : Varroidae) in honey bee (Hymenoptera : Apidae) colonies								INTERNATIONAL JOURNAL OF ACAROLOGY				30	2			103	106		10.1080/01647950408684376				JUN 2004	2004	Female adults of the honey bee mite, Varroa destructor, have fungi on their surfaces, and have the potential to disperse fungal spores (conidia) throughout the bee colony. Fungi present are typical of those associated with bees, their combs and provisions, and are common filamentous, soil saprophytes (listed in order of relative abundance): Aspergillus, Penicillium, Fusarium, Trichoderma, Alternaria, Rhizopus and Mucor. These fungi have no biological control implications (i.e., entomopathogenic) because none were recovered internally within the mites; absence of fungi internally also implies that this mite is not a fungivore. Our isolation of Aspergillus flavus, agent of stonebrood disease in honey bees, implicates Varroa as a potential fungal vector of stonebrood disease.																		0164-7954	1945-3892		WOS:000221721100002		
J	BISSETT, J								CONTRIBUTION TOWARD A MONOGRAPH OF THE GENUS ASCOSPHAERA								CANADIAN JOURNAL OF BOTANY-REVUE CANADIENNE DE BOTANIQUE				66	12			2541	2560		10.1139/b88-346				DEC 1988	1988																			0008-4026			WOS:A1988T157700027		
