PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	EA	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZR	ZA	ZB	ZS	Z9	U1	U2	SN	EI	BN	UT	PM	
J	Aizen, Marcelo A.; Harder, Lawrence D.				Harder, Lawrence/H-9715-2012	Harder, Lawrence/0000-0002-2303-5076; Aizen, Marcelo/0000-0001-9079-9749			The Global Stock of Domesticated Honey Bees Is Growing Slower Than Agricultural Demand for Pollination								CURRENT BIOLOGY				19	11			915	918		10.1016/j.cub.2009.03.071				JUN 9 2009	2009	The prospect that a global pollination crisis currently threatens agricultural productivity has drawn intense recent interest among scientists, politicians, and the general public [1-5]. To date, evidence for a global crisis has been drawn from regional or local declines in pollinators themselves [6-9] or insufficient pollination for particular crops [9, 10]. In contrast, our analysis of Food and Agriculture Organization (FAO) [11] data reveals that the global population of managed honey-bee hives has increased similar to 45% during the last half century and suggests that economic globalization, rather than biological factors, drives both the dynamics of the global managed honey-bee population and increasing demands for agricultural pollination services [12]. Nevertheless, available data also reveal a much more rapid (>300%) increase in the fraction of agriculture that depends on animal pollination during the last half century, which may be stressing global pollination capacity. Although the primary cause of the accelerating increase of the pollinator dependence of commercial agriculture seems to be economic and political and not biological, the rapid expansion of cultivation of many pollinator-dependent crops has the potential to trigger future pollination problems for both these crops and native species in neighboring areas. Such environmental costs merit consideration during the development of agriculture and conservation policies.																		0960-9822	1879-0445		WOS:000266891900024	19427214	
J	Aizen, Marcelo A.; Garibaldi, Lucas A.; Cunningham, Saul A.; Klein, Alexandra M.				Cunningham, Saul A/B-9947-2009; Garibaldi, Lucas A/D-7302-2013; Klein, Alexandra-Maria/J-5871-2016	Cunningham, Saul A/0000-0003-0703-6893; Klein, Alexandra-Maria/0000-0003-2139-8575; Garibaldi, Lucas Alejandro/0000-0003-0725-4049; Aizen, Marcelo/0000-0001-9079-9749			Long-Term Global Trends in Crop Yield and Production Reveal No Current Pollination Shortage but Increasing Pollinator Dependency								CURRENT BIOLOGY				18	20			1572	1575		10.1016/j.cub.2008.08.066				OCT 28 2008	2008	There is evidence that pollinators are declining as a result of local and global environmental degradation [1-4]. Because a sizable proportion of the human diet depends directly or indirectly on animal pollination [5], the issue of how decreases in pollinator stocks could affect global crop production is of paramount importance [6-8]. Using the extensive FAO data set [9], we compared 45 year series (1961-2006) in yield, and total production and cultivated area of pollinator-dependent and nondependent crops [5]. We investigated temporal trends separately for the developed and developing world because differences in agricultural intensification, and socioeconomic and environmental conditions might affect yield and pollinators [10-13]. Since 1961, crop yield (Mt/ha) has increased consistently at average annual growth rates of similar to 1.5%. Temporal trends were similar between pollinator-dependent and nondependent crops in both the developed and developing world, thus not supporting the view that pollinator shortages are affecting crop yield at the global scale. We further report, however, that agriculture has become more pollinator dependent because of a disproportionate increase in the area cultivated with pollinator-dependent crops. If the trend toward favoring cultivation of pollinator-dependent crops continues, the need for the service provided by declining pollinators will greatly increase in the near future.																		0960-9822	1879-0445		WOS:000260551400027	18926704	
J	Alippi, AM; Lopez, AC; Aguilar, OM					lopez, Ana Claudia/0000-0002-7064-9652; Alippi, Adriana M./0000-0003-4749-1567			Differentiation of Paenibacillus larvae subsp larvae, the cause of American foulbrood of honeybees, by using PCR and restriction fragment analysis of genes encoding 16S rRNA								APPLIED AND ENVIRONMENTAL MICROBIOLOGY				68	7			3655	3660		10.1128/AEM.68.7.3655-3660.2002				JUL 2002	2002	A rapid procedure for the identification of Paenibacillus larvae subsp. larvae, the causal agent of American foulbrood (AFB) disease of honeybees (Apis mellifera L.), based on PCR and restriction fragment analysis of the 16S rRNA genes (rDNA) is described. Eighty-six bacterial strains belonging to 39 species of the genera Paenibacillus, Bacillus, Brevibacillus, and Virgibacillus were characterized. Amplified rDNA was digested with seven restriction endonucleases. The combined data from restriction analysis enabled us to distinguish 35 profiles. Cluster analysis revealed that P. larvae subsp. larvae and Paenibacillus larvae subsp. pulvifaciens formed a group with about 90% similarity; however, the P. larvae subsp. larvae restriction fragment length polymorphism pattern produced by endonuclease HaeIII was found to be unique and distinguishable among other closely related bacteria. This pattern was associated with DNA extracted directly from honeybee brood samples showing positive AFB clinical signs that yielded the restriction profile characteristic of P. larvae subsp. larvae, while no amplification product was obtained from healthy larvae. The method described here is particularly useful because of the short time required to carry it out and because it allows the differentiation of P. larvae subsp. larvae-infected larvae from all other species found in apiarian sources.																		0099-2240			WOS:000176631600065	12089057	
J	Alippi, AM; Aguilar, OM					Alippi, Adriana M./0000-0003-4749-1567			Unique DNA fingerprint patterns of Paenibacillus larvae subsp larvae strains								JOURNAL OF APICULTURAL RESEARCH				37	4			273	280		10.1080/00218839.1998.11100983				1998	1998	Paenibacillus larvae subsp. larvae, the causative agent of American foulbrood, is an economically important pathogen in Argentina. Using the polymerase chain reaction (PCR) with primers that anneal to dispersed repetitive bacterial sequences, we generated genomic fingerprints of a collection of 100 P. I. larvae isolates. By using BOX-primers, the strains were grouped into three clusters named A, B and C, respectively. Genotypes A and C were closely related, and all three patterns were highly similar. P. I. larvae banding patterns were distinctive from those of all other Paenibacillus, Bacillus and Brevibacillus species from apiarian sources (n = 41) examined in this work. Paenibacillus larvae subsp, pulvifaciens, the causative agent of powdery scale disease, was closely related to P. I. larvae genotype B, where the only difference found between these subspecies was a band of about 2000 bp. When using ERIC-primers, band differences between both subspecies were not detectable whereas clear differences were noticed with REP-primers. The fingerprints obtained with BOX- and REP-primers appeared unique to P. I. larvae in relation to those generated by other Paenibacillus, Bacillus and Brevibacillus species that share the same habitat.																		0021-8839			WOS:000080542900008		
J	Alippi, AM; Aguilar, OM					Alippi, Adriana M./0000-0003-4749-1567			Characterization of isolates of Paenibacillus larvae subsp. larvae from diverse geographical origin by the polymerase chain reaction and BOX primers								JOURNAL OF INVERTEBRATE PATHOLOGY				72	1			21	27		10.1006/jipa.1998.4748				JUL 1998	1998	Ninety-nine strains of Paenibacillus larvae subsp. larvae, the causal agent of American Foulbrood disease (AFB) of honeybees, mere isolated from different regions of Argentina and other countries. The isolates were characterized on the basis of DNA fingerprints by a polymerase chain reaction technique (PCR) with BOX sequence-specific primers. Isolates from Argentina generated three groups of patterns (designated A, B, and C), while P. larvae subsp. larvae strains obtained from other countries yielded two distinguishable patterns (coincident with A and B). Strains from U.S.A. and Germany were identical and related to Group A, while all Czech and English isolates belonged to Group B. Strains from France, Poland, Italy, Sweden, and New Zealand showed two different patterns (A and B). Comparisons of the biochemical type and genotype of isolates rendered no obvious linkage between both features. These results suggest that AFB in Argentina resulted from multiple sources of contaminated material. (C) 1998 Academic Press.																		0022-2011			WOS:000074565200003	9647697	
J	ALLEN, MF; BALL, BV; UNDERWOOD, BA								AN ISOLATE OF MELISSOCOCCUS-PLUTON FROM APIS-LABORIOSA								JOURNAL OF INVERTEBRATE PATHOLOGY				55	3			439	440		10.1016/0022-2011(90)90090-S				MAY 1990	1990																			0022-2011			WOS:A1990DD51200021		
J	Antunez, K.; Piccini, C.; Castro-Sowinski, S.; Rosado, A. S.; Seldin, L.; Zunino, P.				Rosado, Alexandre Soares/G-1955-2012; Piccini, Claudia/P-3840-2019; Seldin, Lucy/H-9310-2012; Seldin, Lucy/S-2530-2019	Rosado, Alexandre Soares/0000-0001-5135-1394; Piccini, Claudia/0000-0002-2762-1953; Seldin, Lucy/0000-0002-4992-6395; Seldin, Lucy/0000-0002-4992-6395; Antunez, Karina/0000-0002-3664-9835			Phenotypic and genotypic characterization of Paenibacillus larvae isolates								VETERINARY MICROBIOLOGY				124	1-2			178	183		10.1016/j.vetmic.2007.04.012				SEP 20 2007	2007	Paenibacillus larvae is the causative agent of American Foulbrood (AFB), a severe disease of honeybees (Apis melifera). The aim of this work was to develop a strategy for the subtyping and the epidemiological analysis of P larvae. Phenotypic characterisation, susceptibility to several antibiotics, electrophoresis of whole bacterial proteins, rep-PCR, ribotyping and DGGE were assessed using a collection of P. larvae isolates from different Uruguayan and Argentinean locations. Results indicated that there are two P larvae genotypes circulating in Uruguay ERIC I-BOX A (worldwide distributed) and ERIC I-BOX C (exclusively detected in Argentina until this study). These results suggest that P larvae isolates had moved between Argentina and Uruguay, probably through the Uruguay River. Patterns of whole bacterial proteins, DGGE and ribotyping did not improve the P larvae intraspecific discrimination. Antibiotic susceptibility assays showed that 100% isolates were OTC-sensitive and 22% (belonging to ERIC I-BOX A group) were sulfisoxazole-resistant. This work may contribute to the elucidation of basic aspects related to the epidemiology of AFB in Uruguay and in the region. (c) 2007 Elsevier B.V. All rights reserved.																		0378-1135	1873-2542		WOS:000249306600021	17517481	
J	Antunez, Karina; Arredondo, Daniela; Anido, Matilde; Zunino, Pablo					Arredondo, Daniela/0000-0002-0042-9662; Antunez, Karina/0000-0002-3664-9835			Metalloprotease production by Paenibacillus larvae during the infection of honeybee larvae								MICROBIOLOGY-SGM				157				1474	1480		10.1099/mic.0.044321-0				MAY 2011	2011	American foulbrood is a bacterial disease of worldwide distribution that affects larvae of the honeybee Apis mellifera. The causative agent is the Gram-positive, spore-forming bacterium Paenibacillus larvae. Several authors have proposed that P. larvae secretes metalloproteases that are involved in the larval degradation that occurs after infection. The aim of the present work was to evaluate the production of a metalloprotease by P. larvae during larval infection. First, the complete gene encoding a metalloprotease was identified in the P. larvae genome and its distribution was evaluated by PCR in a collection of P. larvae isolates from different geographical regions. Then, the complete gene was amplified, cloned and overexpressed, and the recombinant metalloprotease was purified and used to generate anti-metalloprotease antibodies.Metalloprotease production was evaluated by immunofluorescence and fluorescence in situ hybridization. The gene encoding a P. larvae metalloprotease was widely distributed in isolates from different geographical origins in Uruguay and Argentina. Metalloprotease was detected inside P. larvae vegetative cells, on the surface of P. larvae spores and secreted to the external growth medium. Its production was also confirmed in vivo, during the infection of honeybee larvae.This protein was able to hydrolyse milk proteins as described for P. larvae, suggesting that could be involved in larval degradation. This work contributes to the knowledge of the pathogenicity mechanisms of a bacterium of great economic significance and is one step in the characterization of potential P. larvae virulence factors.																		1350-0872	1465-2080		WOS:000291179900022	21330433	
J	Aquilino, Ana; Masia, Mar; Lopez, Pilar; Galiana, Antonio J.; Tovar, Juan; Andres, Maria; Gutierrez, Felix				Masia, Mar/U-7510-2017; Gutierrez, Felix/Q-7880-2018	Masia, Mar/0000-0001-9878-2458; Gutierrez, Felix/0000-0002-9485-6867; Galiana, Antonio/0000-0002-1134-1914			First Human Systemic Infection Caused by Spiroplasma								JOURNAL OF CLINICAL MICROBIOLOGY				53	2			719	721		10.1128/JCM.02841-14				FEB 2015	2015	Spiroplasma species are organisms that normally colonize plants and insects. We describe the first case of human systemic infection caused by Spiroplasma bacteria in a patient with hypogammaglobulinemia undergoing treatment with biological disease-modifying antirheumatic agents. Spiroplasma turonicum was identified through molecular methods in several blood cultures. The infection was successfully treated with doxycycline plus levofloxacin.																		0095-1137	1098-660X		WOS:000348568500055	25428150	
J	Arai, Rie; Tominaga, Kiyoshi; Wu, Meihua; Okura, Masatoshi; Ito, Kazutomo; Okamura, Naomi; Onishi, Hidetaka; Osaki, Makoto; Sugimura, Yuya; Yoshiyama, Mikio; Takamatsu, Daisuke								Diversity of Melissococcus plutonius from Honeybee Larvae in Japan and Experimental Reproduction of European Foulbrood with Cultured Atypical Isolates								PLOS ONE				7	3					e33708	10.1371/journal.pone.0033708				MAR 19 2012	2012	European foulbrood (EFB) is an important infectious disease of honeybee larvae, but its pathogenic mechanisms are still poorly understood. The causative agent, Melissococcus plutonius, is a fastidious organism, and microaerophilic to anaerobic conditions and the addition of potassium phosphate to culture media are required for growth. Although M. plutonius is believed to be remarkably homologous, in addition to M. plutonius isolates with typical cultural characteristics, M. plutonius-like organisms, with characteristics seemingly different from those of typical M. plutonius, have often been isolated from diseased larvae with clinical signs of EFB in Japan. Cultural and biochemical characterization of 14 M. plutonius and 19 M. plutonius-like strain/isolates revealed that, unlike typical M. plutonius strain/isolates, M. plutonius-like isolates were not fastidious, and the addition of potassium phosphate was not required for normal growth. Moreover, only M. plutonius-like isolates, but not typical M. plutonius strain/isolates, grew anaerobically on sodium phosphate-supplemented medium and aerobically on some potassium salt-supplemented media, were positive for beta-glucosidase activity, hydrolyzed esculin, and produced acid from L-arabinose, D-cellobiose, and salicin. Despite the phenotypic differences, 16S rRNA gene sequence analysis and DNA-DNA hybridization demonstrated that M. plutonius-like organisms were taxonomically identical to M. plutonius. However, by pulsed-field gel electrophoresis analysis, these typical and atypical (M. plutonius-like) isolates were separately grouped into two genetically distinct clusters. Although M. plutonius is known to lose virulence quickly when cultured artificially, experimental infection of representative isolates showed that atypical M. plutonius maintained the ability to cause EFB in honeybee larvae even after cultured in vitro in laboratory media. Because the rapid decrease of virulence in cultured M. plutonius was a major impediment to elucidation of the pathogenesis of EFB, atypical M. plutonius discovered in this study will be a breakthrough in EFB research.																		1932-6203			WOS:000303836500056	22442715	
