PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	EA	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZR	ZA	ZB	ZS	Z9	U1	U2	SN	EI	BN	UT	PM	
J	BARROW, DA; PICKARD, RS				Barrow, David/A-3050-2010				SIZE-RELATED SELECTION OF FOOD PLANTS BY BUMBLEBEES								ECOLOGICAL ENTOMOLOGY				9	4			369	373		10.1111/j.1365-2311.1984.tb00832.x				1984	1984																			0307-6946			WOS:A1984TR64000002		
J	BRIAN, AD								DIFFERENCES IN THE FLOWERS VISITED BY 4 SPECIES OF BUMBLE-BEES AND THEIR CAUSES								JOURNAL OF ANIMAL ECOLOGY				26	1			71	98		10.2307/1782				1957	1957																			0021-8790			WOS:A1957WV74700002		
J	Buttermore, RE								Observations of successful Bombus terrestris (L.) (Hymenoptera: Apidae) colonies in southern Tasmania								AUSTRALIAN JOURNAL OF ENTOMOLOGY				36				251	254		10.1111/j.1440-6055.1997.tb01463.x				AUG 29 1997	1997	Early attempts to acclimatise Bombus spp. to Australia were not successful but a pre-1992 introduction of the bumble bee B. terrestris has succeeded and the species is slowly spreading in southern Tasmania. It is likely that the genetic base of the Tasmanian population is limited if, as is thought, only a few queens were brought from New Zealand. This may affect the rate of dispersal through the island, which presently averages 12.5 km/year. In 1995-96 Is feral colonies found in and around Hobart were transferred to nest boxes, where colony development could be monitored. All of the colonies produced queens, and the ratio of queens to workers (1:4.71) compares favourably with the upper end of colony performance scale in New Zealand(1:5.19). At least two generations are produced during warmer months and there is no indication of genetic impediments to further dispersal in Tasmania or possibly even mainland Australia. External influences such as predatory habits of birds, availability of food, competition from other insects and deliberate introduction by people into new areas make the rate of spread unpredictable.																		1326-6756			WOS:A1997XY47600009		
J	Cassey, P; Blackburn, TM; Duncan, RP; Lockwood, JL				Duncan, Richard/ABD-4099-2020; Blackburn, Tim/AAC-3144-2019; Blackburn, Tim M/A-7685-2011; Duncan, Richard P/E-7899-2013	Duncan, Richard/0000-0003-2295-449X; Blackburn, Tim/0000-0003-0152-2663; Duncan, Richard P/0000-0003-2295-449X; Lockwood, Julie/0000-0003-0177-449X; Cassey, Phillip/0000-0002-2626-0172			Lessons from the establishment of exotic species: a meta-analytical case study using birds								JOURNAL OF ANIMAL ECOLOGY				74	2			250	258		10.1111/j.1365-2656.2005.00918.x				MAR 2005	2005	1. The establishment of species outside their natural geographical ranges is an important driver of changes in global biodiversity. This creates an imperative to understand why some species are more successful than others at establishing viable populations following introduction.2. Historical data are particularly useful in this regard, and those for birds especially comprehensive. This has resulted in the publication of regional-scale studies that have used these data to attempt to quantify relationships between establishment success and characteristics of bird introductions.3. We use a meta-analytical approach to summarize quantitatively the results of these studies, and to assess the influence of variables invoked to explain the variation in establishment success in birds.4. We find that variables describing characteristics specific to the individual introduction event (i.e. event-level variables), such as introduction effort (or 'propagule pressure'), are the most consistent predictors of establishment success.																		0021-8790	1365-2656		WOS:000227593600006		
J	Cassey, P; Blackburn, TM; Sol, S; Duncan, RP; Lockwood, JL				Sol, Daniel/A-5238-2008; Duncan, Richard P/E-7899-2013; Blackburn, Tim/AAC-3144-2019; Duncan, Richard/ABD-4099-2020; Blackburn, Tim M/A-7685-2011	Sol, Daniel/0000-0001-6346-6949; Duncan, Richard P/0000-0003-2295-449X; Blackburn, Tim/0000-0003-0152-2663; Duncan, Richard/0000-0003-2295-449X; Lockwood, Julie/0000-0003-0177-449X; Cassey, Phillip/0000-0002-2626-0172			Global patterns of introduction effort and establishment success in birds								PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES				271				S405	S408		10.1098/rsbl.2004.0199			6	DEC 7 2004	2004	Theory suggests that introduction effort (propagule size or number) should be a key determinant of establishment success for exotic species. Unfortunately, however, propagule pressure is not recorded for most introductions. Studies must therefore either use proxies whose efficacy must be largely assumed, or ignore effort altogether. The results of such studies will be flawed if effort is not distributed at random with respect to other characteristics that are predicted to influence success. We use global data for more than 600 introduction events for birds to show that introduction effort is both the strongest correlate of introduction success, and correlated with a large number of variables previously thought to influence success. Apart from effort, only habitat generalism relates to establishment success in birds.																		0962-8452			WOS:000226100600007	15801588	
J	Chapman, RE; Bourke, AFG				Bourke, Andrew/E-5271-2011				The influence of sociality on the conservation biology of social insects								ECOLOGY LETTERS				4	6			650	662		10.1046/j.1461-0248.2001.00253.x				NOV 2001	2001	Social insects (ants, bees, wasps and termites) as a group are species rich and ecologically dominant. Many are outstanding "ecological engineers", or providers of "ecosystem services", or potential bioindicator species. Few social insects are currently formally classified as Threatened, but this is almost certainly due to a lack of information on population sizes and trends in scarce species. The main influence that sociality has on threats faced by social insects is in reducing effective population sizes, increasing population genetic subdivision and possibly reducing levels of genetic variation relative to solitary species. The main influence that sociality has on threats from social insects is via its role in the ecological success of invasive species, which frequently pose a major hazard to native biotas. In some cases, social features underpinning ecological success in the original range almost certainly contribute to the success of invasive social insects. However, recent studies show or strongly suggest that, in some of the most notoriously invasive populations of ants, bees and wasps, novel social traits have arisen that greatly enhance the rate of spread and ecological competitiveness of these populations. Sociality can therefore represent either a liability or an asset in its contribution to the persistence of social insect populations.																		1461-023X	1461-0248		WOS:000172341500018		
J	Cumber, R. A.								The biology of humble-bees, with special reference to the production of the worker caste.								Transactions of the Royal Entomological Society of London				100				1	45						1949	1949																						ZOOREC:ZOOR08600005268		
J	Donovan, B. J.								Interactions between native and introduced bees in New Zealand.								New Zealand Journal of Ecology				3				104	116						1980	1980	There are about 40 species of native bees in New Zealand, 36 of which belong to the Colletidae family, and the rest to the Halictidae. Introduced species include Apis mellifera, 4 Bombus species, and Nomia melanderi and Megachile rotundata. Honeybees in commercial apiaries, and other introduced species, forage mainly on introduced plants, but some honeybees do compete with native bees on native plants. The peak of foraging by native bees occurs at the season of the main honey flow, when there is most food. It is thought that competition for nest sites does not occur. It is concluded that the introduced species do not have a deleterious effect on native species; much more information on the latter is needed. P. Walker																		0110-6465			CABI:19810212048		
J	DONOVAN, BJ; WIER, SS								DEVELOPMENT OF HIVES FOR FIELD POPULATION INCREASE, AND STUDIES ON THE LIFE-CYCLES OF THE 4 SPECIES OF INTRODUCED BUMBLE BEES IN NEW-ZEALAND								NEW ZEALAND JOURNAL OF AGRICULTURAL RESEARCH				21	4			733	756		10.1080/00288233.1978.10427476				1978	1978																			0028-8233			WOS:A1978GK48300028		
J	Goka, K; Okabe, K; Yoneda, M; Niwa, S								Bumblebee commercialization will cause worldwide migration of parasitic mites								MOLECULAR ECOLOGY				10	8			2095	2099		10.1046/j.0962-1083.2001.01323.x				AUG 2001	2001	We investigated natural populations of three Japanese native bumblebee species to determine the status of infestation by a tracheal mite, Locustacarus buchneri, which we had earlier detected in introduced commercial colonies of the European bumblebee, Bombus terrestris. We also investigated mite infestation in commercial colonies of a Japanese native species, B. ignitus, which are mass-produced in the Netherlands and reimported into Japan. We detected the mite in both natural and commercial colonies of the Japanese species. Comparison of 555 bp sequences of the mitochondrial DNA (mtDNA) cytochrome oxidase I (CO1) gene from the mite showed that there were seven haplotypes, on the basis of combinations of substitutions at eight sites in the gene. The haplotypes of the mites in the Japanese native bumblebees and the haplotypes of the mites in B. terrestris did not overlap; however, mtDNA of mites detected in the commercial colonies of B. ignitus possessed the same sequence as a European haplotype. These results indicate that transportation of bumblebee colonies will cause overseas migration of parasitic mites of different origins.																		0962-1083			WOS:000170667500023	11555253	
