PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	EA	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZR	ZA	ZB	ZS	Z9	U1	U2	SN	EI	BN	UT	PM	
J	Abe, Tetsuto; Wada, Katsuyuki; Kato, Yuka; Makino, Shun'ichi; Okochi, Isamu				Abe, Tetsuto/D-6112-2017	Abe, Tetsuto/0000-0002-4726-7795			Alien pollinator promotes invasive mutualism in an insular pollination system								BIOLOGICAL INVASIONS				13	4			957	967		10.1007/s10530-010-9882-9				APR 2011	2011	The alien predatory lizard, Anolis carolinensis, has reduced the insect fauna on the two main islands of the Ogasawara archipelago in Japan. As a result of this disturbance, introduced honeybees are now the dominant visitors to flowers instead of endemic bees on these islands. On the other hand, satellite islands not invaded by alien anoles have retained the native flower visitors. The effects of pollinator change on plant reproduction were surveyed on these contrasting island groups. The total visitation rates and the number of interacting visitor groups on main islands were 63% and 30% lower than that on satellite islands, respectively. On the main islands, the honeybees preferred to visit alien flowers, whereas the dominant endemic bees on satellite islands tended to visit native flowers more frequently than alien flowers. These results suggest that alien anoles destroy the endemic pollination system and caused shift to alien mutualism. On the main islands, the natural fruit set of alien plants was significantly higher than that of native plants. In addition, the natural fruit set was positively correlated with the visitation rate of honeybees. Pollen limitation was observed in 53.3% of endemic species but only 16.7% of alien species. These data suggest that reproduction of alien plants was facilitated by the floral preference of introduced honeybees.																		1387-3547	1573-1464		WOS:000288448400014		
J	Aizen, Marcelo A.; Harder, Lawrence D.				Harder, Lawrence/H-9715-2012	Harder, Lawrence/0000-0002-2303-5076; Aizen, Marcelo/0000-0001-9079-9749			The Global Stock of Domesticated Honey Bees Is Growing Slower Than Agricultural Demand for Pollination								CURRENT BIOLOGY				19	11			915	918		10.1016/j.cub.2009.03.071				JUN 9 2009	2009	The prospect that a global pollination crisis currently threatens agricultural productivity has drawn intense recent interest among scientists, politicians, and the general public [1-5]. To date, evidence for a global crisis has been drawn from regional or local declines in pollinators themselves [6-9] or insufficient pollination for particular crops [9, 10]. In contrast, our analysis of Food and Agriculture Organization (FAO) [11] data reveals that the global population of managed honey-bee hives has increased similar to 45% during the last half century and suggests that economic globalization, rather than biological factors, drives both the dynamics of the global managed honey-bee population and increasing demands for agricultural pollination services [12]. Nevertheless, available data also reveal a much more rapid (>300%) increase in the fraction of agriculture that depends on animal pollination during the last half century, which may be stressing global pollination capacity. Although the primary cause of the accelerating increase of the pollinator dependence of commercial agriculture seems to be economic and political and not biological, the rapid expansion of cultivation of many pollinator-dependent crops has the potential to trigger future pollination problems for both these crops and native species in neighboring areas. Such environmental costs merit consideration during the development of agriculture and conservation policies.																		0960-9822	1879-0445		WOS:000266891900024	19427214	
J	Aizen, Marcelo A.; Morales, Carolina L.; Morales, Juan M.				Morales, Juan/B-6316-2009	Morales, Juan/0000-0001-7269-7490; Aizen, Marcelo/0000-0001-9079-9749			Invasive mutualists erode native pollination webs								PLOS BIOLOGY				6	2			396	403		10.1371/journal.pbio.0060031				FEB 2008	2008	Plant-animal mutualisms are characterized by weak or asymmetric mutual dependences between interacting species, a feature that could increase community stability. If invasive species integrate into mutualistic webs, they may alter web structure, with consequences for species persistence. However, the effect of alien mutualists on the architecture of plant - pollinator webs remains largely unexplored. We analyzed the extent of mutual dependency between interacting species, as a measure of mutualism strength, and the connectivity of 10 paired plant - pollinator webs, eight from forests of the southern Andes and two from oceanic islands, with different incidences of alien species. Highly invaded webs exhibited weaker mutualism than less-invaded webs. This potential increase in network stability was the result of a disproportionate increase in the importance and participation of alien species in the most asymmetric interactions. The integration of alien mutualists did not alter overall network connectivity, but links were transferred from generalist native species to super-generalist alien species during invasion. Therefore, connectivity among native species declined in highly invaded webs. These modifications in the structure of pollination webs, due to dominance of alien mutualists, can leave many native species subject to novel ecological and evolutionary dynamics.																		1544-9173	1545-7885		WOS:000254928400025	18271628	
J	Balfour, Nicholas J.; Gandy, Sam; Ratnieks, Francis L. W.								Exploitative competition alters bee foraging and flower choice								BEHAVIORAL ECOLOGY AND SOCIOBIOLOGY				69	10			1731	1738		10.1007/s00265-015-1985-y				OCT 2015	2015	In this field experiment, we test and support the hypothesis that exploitative competition between bees can influence several aspects of their foraging behaviour. Three treatments of lavender patches were set out: bumble bees excluded, honey bees excluded, control. Bumble bees are known to handle lavender flowers more rapidly than honey bees, partly due to their longer tongues. As predicted, excluding these superior competitors consistently (n = 4 trials) and greatly increased honey bee numbers per patch (14-fold increase; P < 0.001). The exclusion of bumble bee also caused multiple changes to honey bee foraging behaviour: time spent on a patch (+857 %; P < 0.001), flower handling time (+16 %, P = 0.040), interval between probed flowers (-27 %, P = 0.012), proportion of interflower flights (-26 %, P < 0.001) and flowers rejected (-12 %, P < 0.001). Conversely, and also as predicted, excluding honey bees had no effect on bumble bee numbers or foraging behaviour. A key consequence of bumble bee exclusion was to increase the mean flower nectar content from 0.007 to 0.019 mu l (+171 %). By constructing an energy budget, we find that this leads to honey bees making a substantial, rather than a marginal, energetic profit per flower visited. Our results show the foraging behaviour of individual bees is extremely flexible and greatly influenced by the effects of interspecific competition on nectar rewards. Collectively, these individual decisions can have rapid and important consequences at the community level, including competitive exclusion.																		0340-5443	1432-0762		WOS:000360845600017		
J	Barthell, JF; Randall, JM; Thorp, RW; Wenner, AM								Promotion of seed set in yellow star-thistle by honey bees: Evidence of an invasive mutualism								ECOLOGICAL APPLICATIONS				11	6			1870	1883		10.1890/1051-0761(2001)011[1870:POSSIY]2.0.CO;2				DEC 2001	2001	We examined the role of nonnative honey bees (Apis mellifera) as pollinators of the invasive, nonnative plant species yellow star-thistle (Centaurea solstitialis), both introduced to the western United States in the early to middle 1800s. Using four different treatments (three exclosure types) at flower heads, we observed visitation rates of different pollinators. Honey bees were the most common visitors at each of three transects established at three study locales in California: University of California at Davis, Cosumnes River Preserve. and Santa Cruz Island. A significant correlation existed between honey bee visitation levels monitored in all these transects and the average number of viable seeds per seed head for the same transects. Selective exclusion of honey bees at flower heads using a 3 mm diameter mesh significantly reduced seed set per seed head at all locales. Seed set depression was less dramatic at the island locale because of high visitation rates by generalist halictid bees Augochlorella pomoniella and Agapostemon texanus that penetrated the 3-mm mesh. The introduced megachilid bee Megachile apicalis occurred at all three locales as well (though in much lower numbers) and may contribute to pollination. In an ancillary study, seed set of plants with bagged heads was compared with that of plants without any bagged heads to test for resource shunting effects. These results showed that seed set differences observed between treatments within a single plant were not exaggerated due to resource shunting induced by the bagging technique. Yellow star-thistle may have low or variable levels of self-compatibility (as reflected by low seed set levels in small-mesh bags), increasing the importance of pollination in its breeding system. These results suggest that honey bees and yellow star-thistle may act as invasive mutualists, an association that may extend to other normative plant and pollinator species from Eurasia.																		1051-0761	1939-5582		WOS:000172456700024		
J	Biesmeijer, J. C.; Roberts, S. P. M.; Reemer, M.; Ohlemueller, R.; Edwards, M.; Peeters, T.; Schaffers, A. P.; Potts, S. G.; Kleukers, R.; Thomas, C. D.; Settele, J.; Kunin, W. E.				Settele, Josef/A-6371-2009; Thomas, Chris D/A-1894-2012; Potts, Simon G/C-7250-2008; Potts, Simon/ABF-9221-2020; Thomas, Chris D/A-1460-2014	Settele, Josef/0000-0002-8624-4983; Thomas, Chris D/0000-0003-2822-1334; Potts, Simon G/0000-0002-2045-980X; Potts, Simon/0000-0002-2045-980X; Thomas, Chris D/0000-0003-2822-1334; Ohlemuller, Ralf/0000-0001-9102-6481			Parallel declines in pollinators and insect-pollinated plants in Britain and the Netherlands								SCIENCE				313	5785			351	354		10.1126/science.1127863				JUL 21 2006	2006	Despite widespread concern about declines in pollination services, little is known about the patterns of change in most pollinator assemblages. By studying bee and hoverfly assemblages in Britain and the Netherlands, we found evidence of declines (pre- versus post-1980) in local bee diversity in both countries; however, divergent trends were observed in hoverflies. Depending on the assemblage and location, pollinator declines were most frequent in habitat and flower specialists, in univoltine species, and/or in nonmigrants. In conjunction with this evidence, outcrossing plant species that are reliant on the declining pollinators have themselves declined relative to other plant species. Taken together, these findings strongly suggest a causal connection between local extinctions of functionally linked plant and pollinator species.																		0036-8075	1095-9203		WOS:000239154300044	16857940	
J	Breeze, Tom D.; Vaissiere, Bernard E.; Bommarco, Riccardo; Petanidou, Theodora; Seraphides, Nicos; Kozak, Lajos; Scheper, Jeroen; Biesmeijer, Jacobus C.; Kleijn, David; Gyldenkaerne, Steen; Moretti, Marco; Holzschuh, Andrea; Steffan-Dewenter, Ingolf; Stout, Jane C.; Paertel, Meelis; Zobel, Martin; Potts, Simon G.				Petanidou, Theodora/AAU-3212-2020; Scheper, Jeroen/G-1385-2015; Holzschuh, Andrea/X-8989-2018; Zobel, Martin/AAL-4336-2021; Zobel, Martin/H-1336-2015; Stout, Jane/AAS-8867-2020; Bommarco, Riccardo/E-7109-2016; Potts, Simon G/C-7250-2008; Potts, Simon/ABF-9221-2020; Stout, Jane C/B-1631-2010; Partel, Meelis/D-5493-2012	Petanidou, Theodora/0000-0003-1883-0945; Scheper, Jeroen/0000-0002-4314-996X; Holzschuh, Andrea/0000-0002-5235-4746; Zobel, Martin/0000-0001-7957-6704; Zobel, Martin/0000-0001-7957-6704; Stout, Jane/0000-0002-2027-0863; Bommarco, Riccardo/0000-0001-8888-0476; Potts, Simon G/0000-0002-2045-980X; Potts, Simon/0000-0002-2045-980X; Stout, Jane C/0000-0002-2027-0863; Partel, Meelis/0000-0002-5874-0138; Kleijn, David/0000-0003-2500-7164; Moretti, Marco/0000-0002-5845-3198; Steffan-Dewenter, Ingolf/0000-0003-1359-3944; Breeze, Tom/0000-0002-8929-8354			Agricultural Policies Exacerbate Honeybee Pollination Service Supply-Demand Mismatches Across Europe								PLOS ONE				9	1					e82996	10.1371/journal.pone.0082996				JAN 8 2014	2014	Declines in insect pollinators across Europe have raised concerns about the supply of pollination services to agriculture. Simultaneously, EU agricultural and biofuel policies have encouraged substantial growth in the cultivated area of insect pollinated crops across the continent. Using data from 41 European countries, this study demonstrates that the recommended number of honeybees required to provide crop pollination across Europe has risen 4.9 times as fast as honeybee stocks between 2005 and 2010. Consequently, honeybee stocks were insufficient to supply >90% of demands in 22 countries studied. These findings raise concerns about the capacity of many countries to cope with major losses of wild pollinators and highlight numerous critical gaps in current understanding of pollination service supplies and demands, pointing to a pressing need for further research into this issue.																		1932-6203			WOS:000329862500024	24421873	
J	Cameron, Sydney A.; Lim, Haw Chuan; Lozier, Jeffrey D.; Duennes, Michelle A.; Thorp, Robbin								Test of the invasive pathogen hypothesis of bumble bee decline in North America								PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA				113	16			4386	4391		10.1073/pnas.1525266113				APR 19 2016	2016	Emergent fungal diseases are critical factors in global biodiversity declines. The fungal pathogen Nosema bombi was recently found to be widespread in declining species of North American bumble bees (Bombus), with circumstantial evidence suggesting an exotic introduction from Europe. This interpretation has been hampered by a lack of knowledge of global genetic variation, geographic origin, and changing prevalence patterns of N. bombi in declining North American populations. Thus, the temporal and spatial emergence of N. bombi and its potential role in bumble bee decline remain speculative. We analyze Nosema prevalence and genetic variation in the United States and Europe from 1980, before an alleged introduction in the early 1990s, to 2011, extracting Nosema DNA from Bombus natural history collection specimens from across this time period. Nosema bombi prevalence increased significantly from low detectable frequency in the 1980s to significantly higher frequency in the mid-to late-1990s, corresponding to a period of reported massive infectious outbreak of N. bombi in commercial bumble bee rearing stocks in North America. Despite the increased frequency, we find no conclusive evidence of an exotic N. bombi origin based on genetic analysis of global Nosema populations; the widespread Nosema strain found currently in declining United States bumble bees was present in the United States before commercial colony trade. Notably, the US N. bombi is not detectably different from that found predominantly throughout Western Europe, with both regions characterized by low genetic diversity compared with high levels of diversity found in Asia, where commercial bee breeding activities are low or nonexistent.																		0027-8424			WOS:000374393800050	27044096	
J	Cane, James H.; Tepedino, Vincent J.				Cane, James H/C-1636-2019; Cane, James/P-5137-2019	Cane, James H/0000-0002-4745-382X; Cane, James/0000-0002-4745-382X			Gauging the Effect of Honey Bee Pollen Collection on Native Bee Communities								CONSERVATION LETTERS				10	2			205	210		10.1111/conl.12263				MAR-APR 2017	2017	Experimental demonstration of direct exploitative competition between foraging honey bees and native bees in wildlands has proven elusive, due to problems of experimental design, scale, and context-dependence. We propose a different approach that translates floral resources collected by a honey bee colony into progeny equivalents of an average solitary bee. Such a metric is needed by public land managers confronting migratory beekeeper demands for insecticide-free, convenient, resource-rich habitats for summering. We calculate that, from June-August, a strong colony gathers as much pollen as could produce 100,000 progeny of an average solitary bee. Analogous to the animal unit month (AUM) for livestock, a hive unit month (HUM) is therefore 33,000 native bee progeny. By this calculation, a 40-hive apiary residing on wildlands for 3 months collects the pollen equivalent of four million wild bees. We introduce a rapid assessment metric to gauge stocking of honey bees, and briefly highlight alternative strategies to provide quality pasture for honey bees with minimal impact on native bees.																		1755-263X			WOS:000398563500005		
J	Casey, L. M.; Rebelo, H.; Rotheray, E.; Goulson, D.				Rebelo, Hugo/C-9005-2009; Goulson, David/A-2462-2010	Rebelo, Hugo/0000-0002-7118-4068; Goulson, David/0000-0003-4421-2876			Evidence for habitat and climatic specializations driving the long-term distribution trends of UK and Irish bumblebees								DIVERSITY AND DISTRIBUTIONS				21	8			864	875		10.1111/ddi.12344				AUG 2015	2015	AimThere is widespread concern over the current state of global pollinator populations; however, lack of monitoring means patterns of decline are not well characterized. We aimed to investigate the influence of habitat and climate specializations on bumblebee distribution trends over time using long-term species data.LocationOur study is based on data from the UK and Ireland, for which the most comprehensive set of bumblebee records exists. Previous analysis of theUK data highlighted severe range contractions for a number of species by the 1980s.MethodsWe use the most current dataset to quantify the extent of range change over three time periods (pre-1960, 1960-80 and 1981-2012) and to investigate whether species are becoming more marginal, that is occupying areas with more extreme or specialized climatic conditions within the UK and Ireland. For species that have contracted or become more marginal, we predict their climatic specialization within the UK and Ireland using Maxent models, allowing us to associate records with climatic suitability values for each time period and to investigate whether or not species are contracting towards their climatic optimum.ResultsWe find that populations of most rare bumblebee species appear to have stabilized post-1980, while the more common species appear to have expanded in range. However, rare species tend to have become more marginal in the sites they occupy post-1980, some have contracted towards their predicted climatic optimum and some of which also retracted towards coastal areas.Main conclusionsOur results provide a mixed picture of the state of the UK and Ireland's bumblebee fauna, and must be interpreted with caution as changing patterns of recorder effort may distort real trends. They highlight the need for future monitoring of the abundance of pollinators on both a regional and global scale.																		1366-9516	1472-4642		WOS:000358370900002		
