PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	EA	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZR	ZA	ZB	ZS	Z9	U1	U2	SN	EI	BN	UT	PM	
J	Baer, B; Schmid-Hempel, P				Baer, Boris/F-5301-2011	Baer, Boris/0000-0002-1136-5967			Experimental variation in polyandry affects parasite loads and fitness in a bumble-bee								NATURE				397	6715			151	154						JAN 14 1999	1999	In many species of animals, females typically mate with more than one male (polyandry). Some social insects carry this behaviour to extremes(1). For example, honeybee queens mate with ten to twenty (car even more) males on their nuptial flights(2). The reasons for this behaviour remain unknown, given the obvious costs of time, energy and exposure to predation. Several potential benefits of polyandry have been proposed(1,3,4), but none are well supported yet. Here we test the hypothesis that genetic diversity among a female's offspring may offer some protection from parasitism(5-7). We artificially inseminated queens of a bumble-bee (Bombus terrestris L.) with sperm of either low or high genetic diversity. The resulting colonies were exposed to parasitism under field conditions. High-diversity colonies had fewer parasites and showed greater reproductive success, on average, than did low-diversity colonies. We suggest that female mating frequency may be influenced in part by parasites.																		0028-0836			WOS:000078085000043		
J	Baranowski, E; Ruiz-Jarabo, CM; Domingo, E				Baranowski, Eric/I-2655-2013; Domingo, Esteban/K-3937-2014	Baranowski, Eric/0000-0003-0660-1854; Domingo, Esteban/0000-0002-0573-1676			Evolution of cell recognition by viruses								SCIENCE				292	5519			1102	1105		10.1126/science.1058613				MAY 11 2001	2001	Evolution of receptor specificity by viruses has several implications for viral pathogenesis, host range, virus-mediated gene targeting, and viral adaptation after organ transplantation and xenotransplantation, as well as for the emergence of viral diseases. Recent evidence suggests that minimal changes in viral genomes may trigger a shift in receptor usage for virus entry, even into the same cell type. A capacity to exploit alternative entry pathways may reflect the-ancient evolutionary origins of viruses and a possible role as agents of horizontal gene transfers among cells.																		0036-8075			WOS:000168609200042	11352064	
J	Birmingham, AL; Hoover, SE; Winston, ML; Ydenberg, RC								Drifting bumble bee (Hymenoptera : Apidae) workers in commercial greenhouses may be social parasites								CANADIAN JOURNAL OF ZOOLOGY				82	12			1843	1853		10.1139/Z04-181				DEC 2004	2004	Commercial greenhouses require high densities of managed bumble bee (Bombus occidentalis Greene, 1858 and Bombus impatiens Cresson, 1863) colonies to pollinate crops such as tomatoes (Lycopersicon esculentum Miller). We examined drifting, a behavioural consequence of introducing closely aggregated colonies into greenhouse habitats, to determine possible explanations for observed drifting frequencies. Bee drift is normally associated with increased individual mortality and disease transfer between colonies. In this study, individual bees frequently drifted into and remained within foreign colonies. More drifting bees were found in colonies with higher worker and brood populations and greater pollen stores. Increased intracolony aggressive interactions were not associated with a higher number of drifting bees. Drifting bees had a significantly greater number of mature eggs in their ovaries than did resident worker bees residing in colonies hosting drifters, suggesting that drifting could potentially increase the fitness of individual worker bees and may not be solely a function of disorientation and (or) nectar robbing. Taken together, our results suggest that drifting of workers into foreign colonies within greenhouses may demonstrate a predisposition to social parasitism. This selfish worker reproduction challenges our previous understanding of social insect societies as being cooperative societies.																		0008-4301	1480-3283		WOS:000227871500002		
J	Branquart, E; Hemptinne, JL				Hemptinne, Jean-Louis/C-5989-2009	Hemptinne, Jean-Louis/0000-0003-3875-2497			Selectivity in the exploitation of floral resources by hoverflies (Diptera : Syrphinae)								ECOGRAPHY				23	6			732	742		10.1034/j.1600-0587.2000.230610.x				DEC 2000	2000	Adults of the Syrphinae subfamily display no strong flower preferences but exploit pollen and nectar produced by native plants having large inflorescences and flat corollae (e.g. Apiaceae, Asteraceae, Ranunculaceae and Rosaceae). Seven foraging guilds are defined according to the dietary patterns of hoverflies, reflecting mainly a sequential exploitation of flowers at different times of the year and in different habitats.The majority of species live in forests where they form highly diversified communities. Few Syrphinae colonize successfully open and anthropogenic habitats, such as field margins and fallow areas. Episyrphus balteatus. Melanostoma mellinum, Eupeodes corollae. Sphaerophoria scripta and Plutycheirus spp. are dominant in the communities of Syrphinae from open habitats, all over western Europe. These species are highly polyphagous and characterized by elongated mouthparts as well as a long and slender body. They have access to pollen and nectar in flowers with small and tubular corollae. It is suggested that their polyphagy is an important asset for colonizing open and ephemeral habitats.																		0906-7590	1600-0587		WOS:000166135300010		
J	Brown, Mark J. F.								CONSERVATION The trouble with bumblebees								NATURE				469	7329			169	170		10.1038/469169a				JAN 13 2011	2011																			0028-0836	1476-4687		WOS:000286143400026	21228865	
J	Cameron, Sydney A.; Lozier, Jeffrey D.; Strange, James P.; Koch, Jonathan B.; Cordes, Nils; Solter, Leellen F.; Griswold, Terry L.				Koch, Jonathan/AAH-4591-2020	Koch, Jonathan/0000-0002-6654-7370; Griswold, Terry/0000-0003-3952-9393; Strange, James/0000-0002-9612-6868			Patterns of widespread decline in North American bumble bees								PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA				108	2			662	667		10.1073/pnas.1014743108				JAN 11 2011	2011	Bumble bees (Bombus) are vitally important pollinators of wild plants and agricultural crops worldwide. Fragmentary observations, however, have suggested population declines in several North American species. Despite rising concern over these observations in the United States, highlighted in a recent National Academy of Sciences report, a national assessment of the geographic scope and possible causal factors of bumble bee decline is lacking. Here, we report results of a 3-y interdisciplinary study of changing distributions, population genetic structure, and levels of pathogen infection in bumble bee populations across the United States. We compare current and historical distributions of eight species, compiling a database of >73,000 museum records for comparison with data from intensive nationwide surveys of >16,000 specimens. We show that the relative abundances of four species have declined by up to 96% and that their surveyed geographic ranges have contracted by 23-87%, some within the last 20 y. We also show that declining populations have significantly higher infection levels of the microsporidian pathogen Nosema bombi and lower genetic diversity compared with co-occurring populations of the stable (nondeclining) species. Higher pathogen prevalence and reduced genetic diversity are, thus, realistic predictors of these alarming patterns of decline in North America, although cause and effect remain uncertain.																		0027-8424			WOS:000286097700045	21199943	
J	Chapman, Nadine C.; Beekman, Madeleine; Oldroyd, Benjamin P.				Beekman, Madeleine/AAF-8574-2019; Beekman, Madeleine/A-3983-2011; Oldroyd, Benjamin/A-4800-2008	Beekman, Madeleine/0000-0002-9040-3756; Beekman, Madeleine/0000-0002-9040-3756; Oldroyd, Benjamin/0000-0001-6831-3677; Chapman, Nadine/0000-0003-1824-0240			Worker reproductive parasitism and drift in the western honeybee Apis mellifera								BEHAVIORAL ECOLOGY AND SOCIOBIOLOGY				64	3			419	427		10.1007/s00265-009-0858-7				JAN 2010	2010	When a honeybee (Apis spp.) colony loses its queen and is unable to rear a new one, some of the workers activate their ovaries and produce eggs. When a colony has a queen (i.e., it is queenright) almost all worker-laid eggs are eaten, but when hopelessly queenless, the workers become more tolerant of worker-laid eggs and rear some of them to adult drones. This increased tolerance renders a queenless colony vulnerable to worker reproductive parasitism, wherein unrelated workers enter the colony and lay eggs. Here, we show that the proportion of unrelated (non-natal) workers significantly decreases after an Apis mellifera colony becomes queenless. The remaining non-natal workers are as likely to have activated ovaries as natal workers, yet they produce more eggs than natal workers, resulting in significantly higher reproductive success for non-natal workers. In a second experiment, we provided queenless and queenright workers with a choice to remain in their own colony or to join a queenless or queenright colony nearby. The experiment was set up such that worker movement was unlikely to be due to simple orientation errors. Very few workers joined another colony, and there was no preference for workers to drift into or out of queenless or queenright colonies, in accordance with the proportion of non-natal workers declining significantly after becoming queenless in the first experiment.																		0340-5443	1432-0762		WOS:000274433500012		
S	Chen, Yan Pins; Siede, Reinhold						Maramorosch, K; Shatkin, AJ; Murphy, FA		Honey bee viruses								ADVANCES IN VIRUS RESEARCH, VOL 70		Advances in Virus Research		70				33	80		10.1016/S0065-3527(07)70002-7				2007	2007	Viruses are significant threats to the health and well-being of the honey bee, Apis mellifera. To alleviate the threats posed by these invasive organisms, a better understanding of bee viral infections will be of crucial importance in developing effective and environmentally benign disease control strategies. Although knowledge of honey bee viruses has been accumulated considerably in the past three decades, a comprehensive review to compile the various aspects of bee viruses at the molecular level has not been reported. This chapter summarizes recent progress in the understanding of the morphology, genome organization, transmission, epidemiology, and pathogenesis of honey bee viruses as well as their interactions with their honey bee hosts. The future prospects of research of honey bee viruses are also discussed in detail. The chapter has been designed to provide researchers in the field with updated information about honey bee viruses and to serve as a starting point for future research.																		0065-3527		978-0-12-373728-1	WOS:000249814800002	17765703	
J	Chen, Yanping; Evans, Jay; Feldlaufer, Mark				Evans, Jay D/C-8408-2012	Evans, Jay D/0000-0002-0036-4651			Horizontal and vertical transmission of viruses in the honeybee, Apis mellifera								JOURNAL OF INVERTEBRATE PATHOLOGY				92	3			152	159		10.1016/j.jip.2006.03.010				JUL 2006	2006	The most crucial stage in the dynamics of virus infections is the mode of virus transmission. In general, transmission of viruses can occur through two pathways: horizontal and vertical transmission. In horizontal transmission, viruses are transmitted among individuals of the same generation, while vertical transmission occurs from mothers to their offspring. Because of its highly organized social structure and crowded population density, the honey bee colony represents a risky environment for the spread of disease infection. Like other plant and animal viruses, bee viruses use different survival strategies, including utilization of both horizontal and vertical routes, to transmit and maintain levels in a host population. In this review, we explore the current knowledge about the honey bee viruses and transmission routes of bee viruses. In addition, different transmission strategies on the persistence and dynamics of host pathogen interactions are also discussed. Published by Elsevier Inc.					38th Annual Meeting of the Society-for-Invertebrate-Pathology38th Annual Meeting of the Society-for-Invertebrate-Pathology	AUG 07-11, 2005AUG 07-11, 2005	Soc Invertebrate PatholSoc Invertebrate Pathol	Univ Alaska, Anchorage, AKUniv Alaska, Anchorage, AK										0022-2011	1096-0805		WOS:000239198300007	16793058	
J	Chen, YP; Pettis, JS; Collins, A; Feldlaufer, MF								Prevalence and transmission of honeybee viruses								APPLIED AND ENVIRONMENTAL MICROBIOLOGY				72	1			606	611		10.1128/AEM.72.1.606-611.2006				JAN 2006	2006	Transmission mechanisms of six honeybee viruses, including acute bee paralysis virus (ABPV), black queen cell virus (BQCV), chronic bee paralysis virus (CBPV), deformed wing virus (DWV), Kashmir bee virus (KBV), and sacbrood bee virus (SBV), in honey bee colonies were investigated by reverse transcription-PCR (RT-PCR) methods. The virus status of individual queens was evaluated by examining the presence of viruses in the queens' feces and tissues, including hemolymph, gut, ovaries, spermatheca, head, and eviscerated body. Except for head tissue, all five tissues as well as queen feces were found to be positive for virus infections. When queens in bee colonies were identified as positive for BQCV, DWV, CBPV, KBV, and SBV, the same viruses were detected in their offspring, including eggs, larvae, and adult workers. On the other hand, when queens were found positive for only two viruses, BQCV and DWV, only these two viruses were detected in their offspring. The presence of viruses in the tissue of ovaries and the detection of the same viruses in queens' eggs and young larvae suggest vertical transmission of viruses from queens to offspring. To our knowledge, this is the first evidence of vertical transmission of viruses in honeybee colonies.																		0099-2240	1098-5336		WOS:000234662800078	16391097	
