PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	EA	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZR	ZA	ZB	ZS	Z9	U1	U2	SN	EI	BN	UT	PM	
J	Anderson, MJ; Willis, TJ				Willis, Trevor/F-5337-2012	Willis, Trevor/0000-0002-0357-1189			Canonical analysis of principal coordinates: A useful method of constrained ordination for ecology								ECOLOGY				84	2			511	525		10.1890/0012-9658(2003)084[0511:CAOPCA]2.0.CO;2				FEB 2003	2003	A flexible method is needed for constrained ordination on the basis of any distance or dissimilarity measure, which will display a cloud of multivariate points by reference to a specific a priori hypothesis. We suggest the use of principal coordinate analysis (PCO, metric MDS), followed by either a canonical discriminant analysis (CDA, when the hypothesis concerns groups) or a canonical correlation analysis (CCorA, when the hypothesis concerns relationships with environmental or other variables), to provide a flexible and meaningful constrained ordination of ecological species abundance data. Called "CAP" for "Canonical Analysis of Principal coordinates," this method will allow a constrained ordination to be done on the basis of any distance or dissimilarity measure. We describe CAP in detail, including how it can uncover patterns that are masked in an unconstrained MDS ordination. Canonical tests using permutations are also given, and we show how the method can be used (1) to place a new observation into the canonical space using only interpoint dissimilarities, (2) to classify observations and obtain misclassification or residual errors, and (3) to correlate the original variables with patterns on canonical plots. Misclassification error or residual error is used to obtain a non-arbitrary decision concerning the appropriate dimensionality of the response data cloud (number of PCO axes) for the ensuing canonical analysis. We suggest that a CAP ordination and an unconstrained ordination, such as MDS, together will provide important information for meaningful multivariate analyses of ecological data by reference to explicit a priori hypotheses.																		0012-9658			WOS:000181482600023		
J	Aparicio, F; Sanchez-Pina, MA; Sanchez-Navarro, JA; Pallas, V				APARICIO, FREDERIC/R-2008-2018; MARIA AMELIA SANCHEZ PINA, Biology/G-9517-2011; Pallas, Vicente/N-1317-2014; Sanchez-Navarro, Jesus Angel/K-8787-2014	APARICIO, FREDERIC/0000-0002-1586-9978; MARIA AMELIA SANCHEZ PINA, Biology/0000-0002-3648-5666; Pallas, Vicente/0000-0003-4954-989X; Sanchez-Navarro, Jesus Angel/0000-0002-3320-2827			Location of prunus necrotic ringspot ilarvirus within pollen grains of infected nectarine trees: evidence from RT-PCR, dot-blot and in situ hybridisation								EUROPEAN JOURNAL OF PLANT PATHOLOGY				105	6			623	627		10.1023/A:1008783705183				SEP 1999	1999	Prunus necrotic ringspot Ilarvirus (PNRSV) is a pollen and seed-borne ilarvirus affecting most Prunus spp. The location of the virus in infected nectarine pollen grains was investigated by molecular hybridisation, RT-PCR and in situ hybridisation. The first two approaches revealed an internal location of the virus. In situ hybridisation demonstrated the virus in the bicellular pollen grain, where it was present in the cytoplasm of the vegetative cell but not in the generative cell. This result seems to indicate that the sperm cells, formed by the mitosis of the generative cell, are not involved in virus transmission to seed. Other possible mechanisms are discussed.																		0929-1873	1573-8469		WOS:000082982300012		
J	Blanchet, F. Guillaume; Legendre, Pierre; Borcard, Daniel				Legendre, Pierre/C-8279-2013; Legendre, Pierre/U-9266-2019; Borcard, Daniel/J-6759-2019	Legendre, Pierre/0000-0002-3838-3305; Legendre, Pierre/0000-0002-3838-3305; Blanchet, F. Guillaume/0000-0001-5149-2488			Forward selection of explanatory variables								ECOLOGY				89	9			2623	2632		10.1890/07-0986.1				SEP 2008	2008	This paper proposes a new way of using forward selection of explanatory variables in regression or canonical redundancy analysis. The classical forward selection method presents two problems: a highly inflated Type I error and an overestimation of the amount of explained variance. Correcting these problems will greatly improve the performance of this very useful method in ecological modeling. To prevent the first problem, we propose a two-step procedure. First, a global test using all explanatory variables is carried out. If, and only if, the global test is significant, one can proceed with forward selection. To prevent overestimation of the explained variance, the forward selection has to be carried out with two stopping criteria: (1) the usual alpha significance level and (2) the adjusted coefficient of multiple determination (R-a(2)) calculated using all explanatory variables. When forward selection identifies a variable that brings one or the other criterion over the fixed threshold, that variable is rejected, and the procedure is stopped. This improved method is validated by simulations involving univariate and multivariate response data. An ecological example is presented using data from the Bryce Canyon National Park, Utah, USA.																		0012-9658	1939-9170		WOS:000259259300028	18831183	
J	Boncristiani, Humberto; Li, Jilian; Evans, Jay D.; Pettis, Jeff; Chen, Yanping				Evans, Jay D/C-8408-2012	Evans, Jay D/0000-0002-0036-4651			Scientific note on PCR inhibitors in the compound eyes of honey bees, Apis mellifera								APIDOLOGIE				42	4			457	460		10.1007/s13592-011-0009-9				AUG 2011	2011																			0044-8435			WOS:000293395500002		
J	Brutscher, Laura M.; McMenamin, Alexander J.; Flenniken, Michelle L.								The Buzz about Honey Bee Viruses								PLOS PATHOGENS				12	8					e1005757	10.1371/journal.ppat.1005757				AUG 2016	2016																			1553-7366	1553-7374		WOS:000383376000013	27537076	
J	Cane, JH; Tepedino, VJ				Cane, James H/C-1636-2019	Cane, James H/0000-0002-4745-382X			Causes and extent of declines among native North American invertebrate pollinators: Detection, evidence, and consequences								CONSERVATION ECOLOGY				5	1			art. no.	1						JUN 2001	2001	Ecosystem health and agricultural wealth in North America depend on a particular invertebrate fauna to deliver pollination services. Extensive losses in pollinator guilds and communities can disrupt ecosystem integrity, a circumstance that today forces most farmers to rely on honey bees for much fruit and seed production. Are North America's invertebrate pollinator faunas already widely diminished or currently threatened by human activities? How would we know, what are the spatiotemporal scales for detection, and which anthropogenic factors are responsible? Answers to these questions were considered by participants in a workshop sponsored by the National Center for Ecological Analysis and Synthesis in October of 1999, and these questions form the nucleus for the papers in this special issue. Several contributors critically interpret the evidence for declines of bee and fly pollinators, the pollination deficits that should ensue, and their economic costs. Spatiotemporal unruliness in pollinator numbers, particularly bees, is shown to hinder our current insights, highlighting the need for refined survey and sampling designs. At the same time, two remarkable studies clearly show the long-term persistence of members of complex bee communities. Other authors offer new perspectives on habitat fragmentation and global warming as drivers of pollinator declines. Bees and lepidopterans are contrasted in terms of their natural genetic variation and their consequent resilience in the face of population declines. Overall, many ecologists and conservation biologists have not fully appreciated the daunting challenges that accompany sampling designs, taxonomy, and the natural history of bees, flies, and other invertebrate pollinators, a circumstance that must be remedied if we are to reliably monitor invertebrate pollinator populations and respond to their declines with effective conservation measures.																		1195-5449			WOS:000170221500003		
J	Chen, YP; Zhao, Y; Hammond, J; Hsu, HT; Evans, J; Feldlaufer, M				Evans, Jay D/C-8408-2012	Evans, Jay D/0000-0002-0036-4651			Multiple virus infections in the honey bee and genome divergence of honey bee viruses								JOURNAL OF INVERTEBRATE PATHOLOGY				87	2-3			84	93		10.1016/j.jip.2004.07.005				OCT-NOV 2004	2004	Using uniplex RT-PCR we screened honey bee colonies for the presence of several bee viruses, including black queen cell virus (BQCV), deformed wing virus (DWV), Kashmir bee virus (KBV), and sacbrood virus (SBV), and described the detection of mixed virus infections in bees from these colonies. We report for the first time that individual bees can harbor four viruses simultaneously. We also developed a multiplex RT-PCR assay for the simultaneous detection of multiple bee viruses. The feasibility and specificity of the multiplex RT-PCR assay suggests that this assay is an effective tool for simultaneous examination of mixed virus infections in bee colonies and would be useful for the diagnosis and surveillance of honey bee viral diseases in the field and laboratory. Phylogenetic analysis of putative helicase and RNA-dependent RNA polymerase (RdRp) encoded by viruses reveal that DWV and SBV fall into a same clade, whereas KBV and BQCV belong to a distinct lineage with other picoma-like viruses that infect plants, insects and vertebrates. Results from field surveys of these viruses indicate that mixed infections of BQCV, DWV, KBV, and SBV in the honey bee probably arise due to broad geographic distribution of viruses. Published by Elsevier Inc.																		0022-2011	1096-0805		WOS:000225742800002	15579317	
J	Clarke, KR; Somerfield, PJ; Chapman, MG				Chapman, Maura/B-2287-2008; Clarke, K Robert/A-5934-2012; Somerfield, Paul J/J-9189-2014	Somerfield, Paul J/0000-0002-7581-5621			On resemblance measures for ecological studies, including taxonomic dissimilarities and a zero-adjusted Bray-Curtis coefficient for denuded assemblages								JOURNAL OF EXPERIMENTAL MARINE BIOLOGY AND ECOLOGY				330	1			55	80		10.1016/j.jembe.2005.12.017				MAR 7 2006	2006	Bray-Curtis similarity is widely employed in multivariate analysis of assemblage data, for sound biological reasons. This paper discusses two problems, however, with its practical application: its behaviour is erratic (or even undefined) for the vanishingly sparse samples that may be found as an end-point to a severe impact gradient, or a start-point in colonisation studies; and, in common with all similarity measures on species-level data, it is sensitive to inconsistency of taxonomic identification through time. It is shown that the latter problem is ameliorated by application of 'taxonomic dissimilarity' coefficients, a natural extension of the concept of taxonomic distinctness indices. Two previous suggestions for use with presence/absence data, denoted here by Gamma(+) and Theta(+), are noted to be simple generalisations of the Bray-Curtis and Kulczynski measures, respectively. Also seen is their ability to pen-nit ordinations of assemblages from wide geographic scales, with no species in common, and for which Bray-Curtis would return zero similarity for all pairs of samples.The primary problem addressed, however, is that of denuded or entirely blank samples. Where it can be convincingly argued that impoverished samples are near-blank from the same cause, rather than by random occurrences from inadequate sample sizes (tow length, core diameter, transect or quadrat size etc.), a simple adjustment to the form of the Bray-Curtis coefficient can generate meaningful MDS displays which would otherwise collapse, and can improve values of the ANOSIM R statistic (increased separation of groups in multivariate space). It is also shown to have no effect at all on the normal functioning of a Bray-Curtis analysis when at least a modest amount of data is present for all samples.Examination of the properties of this 'zero-adjusted' Bray-Curtis measure goes hand-in-hand with a wider discussion of the efficacy of competing similarity, distance or dissimilarity coefficients (collectively: resemblance measures) in community ecology. The inherent biological guidelines underlying the 'Bray-Curtis family' of measures (including Kulczynski, Sorenson, Ochiai and Canberra dissimilarity) are made explicit. These and other commonly employed measures (e.g. Euclidean, Manhattan, Gower and chi-squared distances) are calculated for several 'classic' data sets of impact events or gradients in space and time. Behaviour of particular coefficients is judged against the interpretability of the resulting ordination plots and an objective measure of the ability to discriminate between a priori defined hypotheses, representing impact conditions. A second-stage MDS plot of a set of resemblance coefficients, based on the respective similarities of the multivariate patterns each generates (an MDS of MDS plots, in effect), is seen to be useful in determining which coefficients are extracting essentially different information from the same assemblage matrix. This suggests a mechanism for practical classification of the plethora of resemblance measures defined in the literature. Similarity-based ANOSIM R statistics and Spearman rho correlations, whose non-parametric structure make them absolutely comparable across different resemblance measures, answer questions about whether the different information extracted by some coefficients is more, or less, helpful to the final biological interpretation. (C) 2006 Elsevier B.V All rights reserved.					Benthic Ecology Meeting held in Honor of Richard M WarwickBenthic Ecology Meeting held in Honor of Richard M Warwick	APR 06-10, 2005APR 06-10, 2005		Williamsburg, VAWilliamsburg, VA										0022-0981			WOS:000236058900007		
J	de Miranda, Joachim R.; Bailey, Lesley; Ball, Brenda V.; Blanchard, Philippe; Budge, Giles E.; Chejanovsky, Nor; Chen, Yan-Ping; Gauthier, Laurent; Genersch, Elke; de Graaf, Dirk C.; Ribiere, Magali; Ryabov, Eugene; De Smet, Lina; van der Steen, Jozef J. M.					Ryabov, Eugene/0000-0002-4265-9714; Genersch, Elke/0000-0001-7906-4530; Chejanovsky, Nor/0000-0002-6455-6521; Rodrigues de Miranda, Joachim/0000-0002-0335-0386			Standard methods for virus research in Apis mellifera								JOURNAL OF APICULTURAL RESEARCH				52	4	SI				52.4.22	10.3896/IBRA.1.52.4.22				2013	2013	Honey bee virus research is an enormously broad area, ranging from subcellular molecular biology through physiology and behaviour, to individual and colony-level symptoms, transmission and epidemiology. The research methods used in virology are therefore equally diverse. This article covers those methods that are very particular to virological research in bees, with numerous cross-referrals to other BEEBOOK papers on more general methods, used in virology as well as other research. At the root of these methods is the realization that viruses at their most primary level inhabit a molecular, subcellular world, which they manipulate and interact with, to produce all higher order phenomena associated with virus infection and disease. Secondly, that viruses operate in an exponential world, while the host operates in a linear world and that much of the understanding and management of viruses hinges on reconciling these fundamental mathematical differences between virus and host. The article concentrates heavily on virus propagation and methods for detection, with minor excursions into surveying, sampling management and background information on the many viruses found in bees.																		0021-8839	2078-6913		WOS:000323845800020		
J	de Miranda, Joachim R.; Genersch, Elke				Genersch, Elke/C-2232-2009	Genersch, Elke/0000-0001-7906-4530; Rodrigues de Miranda, Joachim/0000-0002-0335-0386			Deformed wing virus								JOURNAL OF INVERTEBRATE PATHOLOGY				103				S48	S61		10.1016/j.jip.2009.06.012			S	JAN 2010	2010	Deformed wing virus (DWV; Iflaviridae) is one of many viruses infecting honeybees and one of the most heavily investigated due to its close association with honeybee colony collapse induced by Varroa destructor. In the absence of V. destructor DWV infection does not result in visible symptoms or any apparent negative impact on host fitness. However, for reasons that are still not fully understood, the transmission of DWV by V. destructor to the developing pupae causes clinical symptoms, including pupal death and adult bees emerging with deformed wings, a bloated, shortened abdomen and discolouration. These bees are not viable and die soon after emergence. In this review we will summarize the historical and recent data on DWV and its relatives, covering the genetics, pathobiology, and transmission of this important viral honeybee pathogen, and discuss these within the wider theoretical concepts relating to the genetic variability and population structure of RNA viruses, the evolution of virulence and the development of disease symptoms. (C) 2009 Elsevier Inc. All rights reserved																		0022-2011	1096-0805		WOS:000273993100007	19909976	
