PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	EA	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZR	ZA	ZB	ZS	Z9	U1	U2	SN	EI	BN	UT	PM	
J	BOSCH, J				Bosch, Jordi/K-8752-2016	Bosch, Jordi/0000-0002-8088-9457			THE NESTING-BEHAVIOR OF THE MASON BEE OSMIA-CORNUTA (LATR) WITH SPECIAL REFERENCE TO ITS POLLINATING POTENTIAL (HYMENOPTERA, MEGACHILIDAE)								APIDOLOGIE				25	1			84	93		10.1051/apido:19940109				1994	1994	The nesting behaviour of Osmia cornuta was studied in managed populations released in almond orchards. A correlation between the dry weight of a provision and the number of pollen grains in the provision was established. Male and female provisions contain a mean of 4 634 304 and 8 046 425 almond pollen grains, respectively. A correlation between the dry weight of a provision and the number of foraging trips was also established. The mean number of foraging trips necessary to complete a provision was 16.76 for male provisions and 26.79 for female provisions. During an almond blooming period, each O cornuta female potentially visits from 9 500 to 23 600 almond flowers. Given the pollinating efficiency of O cornuta on almond, 3 females per tree are considered sufficient to maximize pollination in an almond orchard.																		0044-8435			WOS:A1994MW99200009		
J	Bosch, J; Vicens, N				Bosch, Jordi/K-8752-2016	Bosch, Jordi/0000-0002-8088-9457			Relationship between body size, provisioning rate, longevity and reproductive success in females of the solitary bee Osmia cornuta								BEHAVIORAL ECOLOGY AND SOCIOBIOLOGY				60	1			26	33		10.1007/s00265-005-0134-4				MAY 2006	2006	Body size has often been related to reproductive success in bees and wasps. The objective of this 3-year study was to analyze the relationship between nesting female body size, provisioning rate and longevity and their effect on several traits related to parental investment and reproductive success in the solitary bee Osmia cornuta. Body size was not correlated to longevity, and it was only correlated to provisioning rate in the third year (with poor weather conditions during nesting). Variation in fecundity, offspring size and offspring mortality was not well explained by nesting female body size in any of the 3 years. However, in the third year, small females biased their investment toward males, the sex requiring smaller pollen-nectar provisions. Large females were more successful usurpers of other females' nests, but fecundity of usurpers was no higher than fecundity of nonusurpers. Large females were more likely to establish at the release site, probably in relation to size-dependent vigor at emergence. A review of the literature on parental investment in solitary aculeate Hymenoptera showed a stronger relationship between body size and reproductive success in wasps than in bees. In O. cornuta, fecundity was strongly related to longevity and provisioning rate in all 3 years. Offspring size was associated with provisioning rate in 1 year, when females with higher provisioning rates tended to produce larger sons and daughters. Both longevity and provisioning rate appeared to be strongly conditioned by stochastic events.																		0340-5443			WOS:000236967400004		
J	Bosch, J; Vicens, N				Bosch, Jordi/K-8752-2016	Bosch, Jordi/0000-0002-8088-9457			Sex allocation in the solitary bee Osmia cornuta: do females behave in agreement with Fisher's theory?								BEHAVIORAL ECOLOGY AND SOCIOBIOLOGY				59	1			124	132		10.1007/s00265-005-0017-8				NOV 2005	2005	Fisher's theory of sex allocation predicts that, in a panmictic population, parental investment will be equally distributed between male and female progeny. Most studies on parental investment in nesting solitary bees and wasps use offspring or provision weight as estimators of parental investment and do not corroborate Fisher's theory. The measurement of parental investment may be confounded by several factors. First, the use of offspring or provision size does not account for seasonal variation in foraging costs associated with aging of nesting females. Second, provision or offspring size do not reflect parental investment associated with nest construction. In this two-year study we measured parental investment in a solitary bee. We calculated sex allocation using both provision weight and foraging time as parental investment estimators. Investment in pollen-nectar provisions decreased, while investment in mud structures (nest construction) increased, as the nesting period progressed. Overall investment in provisions per nest was similar to 25 times higher than investment in mud. Pollen-nectar foraging trips became longer as the season progressed, but mud trip duration did not vary. Due to weather differences between years, more offspring per female were produced in the first year, but progeny sex ratio and mean offspring size of both sexes were similar between years. Mortality did not differ between sexes. As predicted by Fisher's theory, production cost ratios did not differ from 1 in either year, irrespective of the currency used to estimate parental investment (provision weight or foraging time). Our results strongly support Fisher's theory.																		0340-5443	1432-0762		WOS:000233242600017		
J	Bosch, J; Vicens, N				Bosch, Jordi/K-8752-2016	Bosch, Jordi/0000-0002-8088-9457			Body size as an estimator of production costs in a solitary bee								ECOLOGICAL ENTOMOLOGY				27	2			129	137		10.1046/j.1365-2311.2002.00406.x				APR 2002	2002	1. Body weight is often used as an estimator of production costs in aculeate Hymenoptera; however, due to differences between sexes in metabolic rates and water content, conversion of provision weight to body weight may differ between males and females. As a result, the cost of producing female progeny may often have been overestimated.2. Provision weight and body weight loss throughout development were measured in a solitary bee, Osmia cornuta (Latreille), to detect potential differences between sexes in food weight/body weight conversion.3. Male O. cornuta invest a larger proportion of larval weight in cocoon spinning, and presumably have higher metabolic rates than females during the larval period; however, this is compensated by a slightly longer larval period in females.4. Overall, body weight loss throughout the life cycle does not differ significantly between sexes. As a result, cost production ratios calculated from provision weights and from adult body weights are almost identical.5. The validity of other weight (cocoon, faeces) and linear (head width, intertegular span, wing length, cocoon length, and cell length) measures as estimators of production costs is also discussed.6. Valid estimators of production costs vary across species due to differences in sex weight ratio, cocoon shape, provision size in reference to cell size, and adult body size.																		0307-6946			WOS:000175126300001		
J	CLARK, CW; DUKAS, R								BALANCING FORAGING AND ANTIPREDATOR DEMANDS - AN ADVANTAGE OF SOCIALITY								AMERICAN NATURALIST				144	3			542	548		10.1086/285693				SEP 1994	1994																			0003-0147			WOS:A1994PE23600013		
J	DANFORTH, BN					Danforth, Bryan/0000-0002-6495-428X			PROVISIONING BEHAVIOR AND THE ESTIMATION OF INVESTMENT RATIOS IN A SOLITARY BEE, CALLIOPSIS-(HYPOMACROTERA)-PERSIMILIS (COCKERELL) (HYMENOPTERA, ANDRENIDAE)								BEHAVIORAL ECOLOGY AND SOCIOBIOLOGY				27	3			159	168						1990	1990																			0340-5443			WOS:A1990EA33500002		
J	Darveau, CA; Hochachka, PW; Welch, KC; Roubik, DW; Suarez, RK				Welch, Kenneth C./F-1276-2011	Welch, Kenneth C./0000-0002-3283-6510			Allometric scaling of flight energetics in Panamanian orchid bees: a comparative phylogenetic approach								JOURNAL OF EXPERIMENTAL BIOLOGY				208	18			3581	3591		10.1242/jeb.01776				SEP 2005	2005	The relationship between body size and flight energetics was studied in the clade of tropical orchid bees, in order to investigate energy metabolism and evolution. Body mass, which varied from 47 to 1065 mg, was found to strongly affect hovering flight mass-specific metabolic rates, which ranged from 114 ml CO2 h(-1) g(-1) in small species to 37 ml CO2 h(-1) g(-1) in large species. Similar variation of wingbeat frequency in hovering flight occurred among small to large species, and ranged from 250 to 86 Hz. The direct relationship between such traits was studied by the comparative method of phylogenetically independent contrasts (PIC), using a new molecular phylogeny generated from the cytochrome b gene partial sequences.																		0022-0949			WOS:000232546800019	16155229	
J	DEJONG, TJ; WASER, NM; KLINKHAMER, PGL				Klinkhamer, Peter/S-1900-2017	Klinkhamer, Peter/0000-0001-8650-2199			GEITONOGAMY - THE NEGLECTED SIDE OF SELFING								TRENDS IN ECOLOGY & EVOLUTION				8	9			321	325		10.1016/0169-5347(93)90239-L				SEP 1993	1993	Flowers of many angiosperm species are well adapted to avoid self-pollination, for instance by temporal and spatial separation of pollen and stigma within the same flower. However, such adaptations do not prevent the transfer of pollen between flowers on the same plant (geitonogamy). Recent empirical studies, aided by advances in field techniques, statistical methods and modelling, show that geitonogamy often is substantial and increases with plant size. Selfing by geitonogamy incurs a fitness cost of reduced pollen export, and recent reports show that seed set can suffer as well, even in self-incompatible species. Geitonogamy has important implications for sex-allocation theory, the evolution of dioecy and other issues in evolutionary biology.																		0169-5347			WOS:A1993LT68100007	21236182	
J	DREISIG, H								IDEAL FREE DISTRIBUTIONS OF NECTAR FORAGING BUMBLEBEES								OIKOS				72	2			161	172		10.2307/3546218				MAR 1995	1995	Optimal foraging theory predicts that foragers should distribute themselves on a variable resource so that individual food intake rate is the same at all local areas or patches. The number of nectar foraging bumblebees on plants varying in size (Viscaria vulgaris) was proportional to the number of open flowers per plant, and on plants varying in rate of nectar production per flower (Anchusa officinalis) proportional to the nectar production per plant. These distributions results in a nectar gain per flower which is independent of plant size and rate of nectar production per flower.A computer simulation showed that the distribution of the bees and the equalization of the gain per flower can partly be explained by the bees' systematic searching for nectar, and partly by a non-random plant choice. The bees search systematically by using an optimal rejection threshold gain to avoid recently depleted flowers. The non-random plant choices consist in preferences for large plants and high nectar producers.At stands varying in plant density (Viscaria vulgaris), bee and flower densities were proportional, which also results in a constant gain per flower. This distribution is explained by a preference for foraging on dense stands and maybe by a systematic searching among the plants.																		0030-1299	1600-0706		WOS:A1995QN42500001		
J	Dukas, R								Bumble bee predators reduce pollinator density and plant fitness								ECOLOGY				86	6			1401	1406		10.1890/04-1663				JUN 2005	2005	Research in pollination biology has focused on the interactions between animals and the flowers they visit for food reward. However, other selective agents, including predators, seed feeders, and herbivores, may affect pollination systems. Because flowers are predictable food sources for a variety of species, flowers are also reliable sites at which predators can locate flower-visiting animals. Prominent among pollinators' predators are beewolves (Philanthus spp.), common sphecid wasps (Sphecidae) that prey almost exclusively on bees. My fieldwork over three years indicates first, that an area of similar to 50 km(2) surrounding a single bumble bee wolf (Philanthus bicinctus) aggregation had a low bumble bee (Bombus spp.) density caused by intense predation by the wasps, and second, that fruit-set of the bumble bee-pollinated western monkshood (Aconitum. columbianum) was significantly lower at locations and times of bumble bee wolf activity than at control locations and times with no such predatory activity. These results indicate that predation can sometimes alter plant-pollinator interactions.																		0012-9658			WOS:000229723700004		
