PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	EA	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZR	ZA	ZB	ZS	Z9	U1	U2	SN	EI	BN	UT	PM	
J	Abel, CA; Wilson, RL								The use of diverse plant species for increasing Osmia cornifrons (Hymenoptera : Megachilidae) in field cages								JOURNAL OF THE KANSAS ENTOMOLOGICAL SOCIETY				71	1			23	28						JAN 1998	1998	With the exception of rosaceous tree fruit species, few plant species have been identified as suitable forage for rearing the univoltine megachilid bee, Osmia cornifrons (Radoszkowski). Alternative forage might be useful for supplementing the resources available to the bee during orchard crop pollination. At the North Central Regional Plant Introduction Station, different plant species grown in field cages were investigated for their usefulness as Osmia cornifrons forage. Of the Brassicaceae spp. tested, Brassica napus L. was superior as forage for O. cornifrons. However, B. rapa L. and Sinapis alba L. also were suitable forage for the bee. Coriander sativum L., Cucumis sativus L., and Cucumis memo L. were unsuitable as forage for this bee.																		0022-8567			WOS:000078825000004		
J	Abrahamovich, AH; Telleria, MC; Diaz, NB								Bombus species and their associated flora in Argentina								BEE WORLD				82	2			76	87		10.1080/0005772X.2001.11099505				2001	2001	Eight species of bumble bee (Bombus spp.) are found in Argentina These bees are important pollinators of cultivated and native plants. Information on their distribution and forage requirements are scattered throughout the literature, and are brought together by the authors in his review.																		0005-772X			WOS:000170009500003		
J	Acosta, Andre L.; Giannini, Tereza C.; Imperatriz-Fonseca, Vera L.; Saraiva, Antonio M.				Giannini, Tereza C/F-2676-2012; Acosta, Andre Luis/H-2036-2012; Giannini, Tereza Cristina/AAA-2958-2019; /H-5582-2012	Acosta, Andre Luis/0000-0002-4244-9637; Giannini, Tereza/0000-0001-9830-1204; /0000-0002-1079-2158			Worldwide Alien Invasion: A Methodological Approach to Forecast the Potential Spread of a Highly Invasive Pollinator								PLOS ONE				11	2					e0148295	10.1371/journal.pone.0148295				FEB 16 2016	2016	The ecological impacts of alien species invasion are a major threat to global biodiversity. The increasing number of invasion events by alien species and the high cost and difficulty of eradicating invasive species once established require the development of new methods and tools for predicting the most susceptible areas to invasion. Invasive pollinators pose serious threats to biodiversity and human activity due to their close relationship with many plants (including crop species) and high potential competitiveness for resources with native pollinators. Although at an early stage of expansion, the bumblebee species Bombus terrestris is becoming a representative case of pollinator invasion at a global scale, particularly given its high velocity of invasive spread and the increasing number of reports of its impacts on native bees and crops in many countries. We present here a methodological framework of habitat suitability modeling that integrates new approaches for detecting habitats that are susceptible to Bombus terrestris invasion at a global scale. Our approach did not include reported invaded locations in the modeling procedure; instead, those locations were used exclusively to evaluate the accuracy of the models in predicting suitability over regions already invaded. Moreover, a new and more intuitive approach was developed to select the models and evaluate different algorithms based on their performance and predictive convergence. Finally, we present a comprehensive global map of susceptibility to Bombus terrestris invasion that highlights priority areas for monitoring.																		1932-6203			WOS:000371219000014	26882479	
J	Ali, Hussain; Alqarni, Abdulaziz S.; Shebl, Mohamed; Engel, Michael S.				Shebl, Mohamed/AAF-6913-2019; Alqarni, Abdulaziz S./D-5246-2015; Engel, Michael S/C-5461-2012	Shebl, Mohamed/0000-0002-4099-9846; Alqarni, Abdulaziz S./0000-0003-1324-332X; Engel, Michael S/0000-0003-3067-077X			Notes on the nesting biology of the small carpenter bee Ceratina smaragdula (Hymenoptera: Apidae) in northwestern Pakistan								FLORIDA ENTOMOLOGIST				99	1			89	93		10.1653/024.099.0116				MAR 2016	2016	The nesting biology and some foraging activities of the familiar, brilliant metallic green, small carpenter bee Ceratina (Pithitis) smaragdula (F.) (Hymenoptera: Apidae) is documented from the northwestern-most extent of its natural distribution, as the species is a potentially important pollinator of leguminous and cucurbit crops in the region. Numerous nests around the village of Ismaila, Swabi, Khyber Pakhtunkhwa Province, Pakistan, were observed and sampled from Jun through Aug 2012. Nest details were recorded and foraging times on various floral species were documented, with bees preferentially nesting in wooden stalks of Ravenna grass (Saccharum ravennae L.; Poales: Poaceae), life cycles lasting 28 to 32 d, and conditions offering the potential for easy management. The importance of such studies on wild bees in Pakistan is stressed, as are the development of biotic surveys on bees and the training of regional melittologists, coupled with outreach activities.																		0015-4040	1938-5102		WOS:000372548900015		
J	Alvarez, Leopoldo J.; Lucia, Mariano; Aquino, Daniel A.; Ramello, Pablo J.; Abrahamovich, Alberto H.				Alvarez, Leopoldo/W-8044-2019; Lucia, Mariano/AAQ-7404-2020	Lucia, Mariano/0000-0001-8019-6768; Alvarez, Leopoldo Jesus/0000-0003-4330-9617			Nesting biology and associated insect enemies of the exotic leaf cutter bee Megachile (Eutricharaea) concinna (Hymenoptera: Megachilidae) in Argentina								JOURNAL OF APICULTURAL RESEARCH				54	4			305	313		10.1080/00218839.2016.1159402				2016	2016	The nesting biology of the exotic bee Megachile (Eutricharaea) concinna Smith, 1879 and its negative interactions with other insects were studied. Trap nests made of wood were located in an urban environment in Buenos Aires province, Argentina, and surveyed during 26 months. The lifecycle and the structure of the nest of M. concinna are described. We also report six interactions between this bee and native and exotic parasitoids and cleptoparasites. The species Baryscapus megachilidis is recorded here for the first time in Argentina.																		0021-8839	2078-6913		WOS:000379362300003		
J	BARROWS, EM								ROBBING OF EXOTIC PLANTS BY INTRODUCED CARPENTER AND HONEY BEES IN HAWAII, WITH COMPARATIVE NOTES								BIOTROPICA				12	1			23	29		10.2307/2387770				1980	1980																			0006-3606			WOS:A1980JT05900003		
J	Barthell, JF; Frankie, GW; Thorp, RW								Invader effects in a community of cavity nesting megachilid bees (Hymenoptera : Megachilidae)								ENVIRONMENTAL ENTOMOLOGY				27	2			240	247		10.1093/ee/27.2.240				APR 1998	1998	Temporal and spatial characteristics of a community of cavity nesting megachilid bee species and their introduced competitors were examined at a site in the Central Valley of California. Two of the introduced bee species, Megachile apicalis Spinola and Megachile rotundata (F.), were frequent nest site occupants and accounted for 19.6 and 3.4% of all artificial nesting cavities (trap-nests) monitored during the 1st and 2nd yr of this study, respectively. These species were most active before and after the peak in native bee nesting activity and tended to occupy xeric habitats, despite significantly higher larval mortality associated with such environments. The ability to occupy a wide array of habitats may account for the invasion success of M. apicalis in California. Another invader, the European earwig, Forficula auricularia L., was a frequent occupant of nesting cavities in mesic habitats, accounting for 59 and 85% occupancy of trap-nests during the Ist and 2nd yr of the study, respectively. Exclusion experiments indicate earwig densities were sufficient to displace female bees at nest sites with 1/3 as much nesting activity occurring in sampling units that allowed entry by earwigs as those made inaccessible to them with sticky barriers. In comparison, all native species (including bees and wasps) never accounted for >25% of all occupied nesting cavities of either monitoring period of the study.																		0046-225X	1938-2936		WOS:000073520800009		
J	Bartlett, Michael; Hale, Roddy; Hale, Marie				Bartlett, Michael/AAH-2944-2019	Bartlett, Michael/0000-0002-4253-6589			Habitat quality limits gene flow between populations of Bombus ruderatus in the South Island, New Zealand								CONSERVATION GENETICS				17	3			703	713		10.1007/s10592-016-0816-7				JUN 2016	2016	One of the primary reasons for the decline of some bumblebee species has been habitat loss and fragmentation through land use change. Habitat fragmentation can limit connectivity between populations and gene flow between bumblebee populations can be limited by open water and human altered landscapes, however the influence of landscape features on gene flow has only been examined in non-declining species. The ruderal bumblebee, Bombus ruderatus, was successfully introduced to and is now relatively common in New Zealand, providing an opportunity to examine the biology of a species that is now rare in its native range in the UK. In this study, we examine the genetic structuring of B. ruderatus populations in the South Island of New Zealand and we demonstrate that a relatively simple classification of the landscape, into either good or poor foraging habitat at coarse resolution (800 m(2)), can predict levels of gene flow. We found populations of B. ruderatus as far apart as 160 km showing no significant genetic differentiation. However, this level of gene flow appears to be reliant upon continuous suitable habitat, as other populations < 100 km apart were found to be significantly differentiated. These results suggest that corridors of continuous habitat are required to facilitate gene flow over large distances for this species.																		1566-0621	1572-9737		WOS:000376087200016		
J	Baumann, Jessica M.; Walker, Ken; Threlfall, Caragh; Williams, Nicholas S. G.				Threlfall, Caragh G/Y-2292-2018	Threlfall, Caragh G/0000-0002-4197-8588			African Carder bee, Afranthidium (Immanthidium) repetitum (Hymenoptera: Megachilidae): a new exotic species for Victoria								Victorian Naturalist (Blackburn)				133	1			21	25						FEB 2016	2016	In December 2014, the African Carder bee Afranthidium (Immanthidium) repetitum was collected from a garden in the Melbourne suburb of Kew. This is the first record of this exotic species for Victoria. First introduced to Australia in south-east Queensland in 2000, the species has undergone a massive range expansion since this time. The introduction of this bee may result in the proliferation and spread of environmental weeds in Victoria, and ongoing monitoring is required to determine the extent of its distribution. Behavioural observations are required to determine the potential impacts it may have on native bee and weed populations.																		0042-5184			BCI:BCI201600350776		
J	Betts, C. R.								Is Bombus hypnorum (Hymenoptera: Apidae) becoming the dominant early-season bumblebee? A back-garden study in East Devon.								British Journal of Entomology and Natural History				28	4			185	191						2015	2015	Numbers of seven bumblebee species were counted hourly over an 8-day period at eight counting stations in a small rural garden in Broadclyst, Devon during spring 2014. Despite expectations, the newcomer Bombus hypnorum (L.) which has substantially increased its range westwards in England in recent years was not the most abundant species, the commonest in this study being B. pascuorum (Scopoli) and B. pratorum (L.). Reasons for the relative abundance of the bumblebee species are discussed.																		0952-7583			CABI:20163298498		
