PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	EA	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZR	ZA	ZB	ZS	Z9	U1	U2	SN	EI	BN	UT	PM	
J	Aizen, Marcelo A.; Garibaldi, Lucas A.; Cunningham, Saul A.; Klein, Alexandra M.				Klein, Alexandra-Maria/J-5871-2016; Cunningham, Saul A/B-9947-2009; Garibaldi, Lucas A/D-7302-2013	Klein, Alexandra-Maria/0000-0003-2139-8575; Cunningham, Saul A/0000-0003-0703-6893; Aizen, Marcelo/0000-0001-9079-9749; Garibaldi, Lucas Alejandro/0000-0003-0725-4049			How much does agriculture depend on pollinators? Lessons from long-term trends in crop production								ANNALS OF BOTANY				103	9			1579	1588		10.1093/aob/mcp076				JUN 2009	2009	Productivity of many crops benefits from the presence of pollinating insects, so a decline in pollinator abundance should compromise global agricultural production. Motivated by the lack of accurate estimates of the size of this threat, we quantified the effect of total loss of pollinators on global agricultural production and crop production diversity. The change in pollinator dependency over 46 years was also evaluated, considering the developed and developing world separately.Using the extensive FAO dataset, yearly data were compiled for 1961-2006 on production and cultivated area of 87 important crops, which we classified into five categories of pollinator dependency. Based on measures of the aggregate effect of differential pollinator dependence, the consequences of a complete loss of pollinators in terms of reductions in total agricultural production and diversity were calculated. An estimate was also made of the increase in total cultivated area that would be required to compensate for the decrease in production of every single crop in the absence of pollinators.The expected direct reduction in total agricultural production in the absence of animal pollination ranged from 3 to 8 %, with smaller impacts on agricultural production diversity. The percentage increase in cultivated area needed to compensate for these deficits was several times higher, particularly in the developing world, which comprises two-thirds of the land devoted to crop cultivation globally. Crops with lower yield growth tended to have undergone greater expansion in cultivated area. Agriculture has become more pollinator-dependent over time, and this trend is more pronounced in the developing than developed world.We propose that pollination shortage will intensify demand for agricultural land, a trend that will be more pronounced in the developing world. This increasing pressure on supply of agricultural land could significantly contribute to global environmental change.																		0305-7364	1095-8290		WOS:000266497800021	19339297	
J	Aizen, Marcelo A.; Harder, Lawrence D.				Harder, Lawrence/H-9715-2012	Harder, Lawrence/0000-0002-2303-5076; Aizen, Marcelo/0000-0001-9079-9749			The Global Stock of Domesticated Honey Bees Is Growing Slower Than Agricultural Demand for Pollination								CURRENT BIOLOGY				19	11			915	918		10.1016/j.cub.2009.03.071				JUN 9 2009	2009	The prospect that a global pollination crisis currently threatens agricultural productivity has drawn intense recent interest among scientists, politicians, and the general public [1-5]. To date, evidence for a global crisis has been drawn from regional or local declines in pollinators themselves [6-9] or insufficient pollination for particular crops [9, 10]. In contrast, our analysis of Food and Agriculture Organization (FAO) [11] data reveals that the global population of managed honey-bee hives has increased similar to 45% during the last half century and suggests that economic globalization, rather than biological factors, drives both the dynamics of the global managed honey-bee population and increasing demands for agricultural pollination services [12]. Nevertheless, available data also reveal a much more rapid (>300%) increase in the fraction of agriculture that depends on animal pollination during the last half century, which may be stressing global pollination capacity. Although the primary cause of the accelerating increase of the pollinator dependence of commercial agriculture seems to be economic and political and not biological, the rapid expansion of cultivation of many pollinator-dependent crops has the potential to trigger future pollination problems for both these crops and native species in neighboring areas. Such environmental costs merit consideration during the development of agriculture and conservation policies.																		0960-9822	1879-0445		WOS:000266891900024	19427214	
J	Alaux, Cedric; Ducloz, Francois; Crauser, Didier; Le Conte, Yves				Le Conte, Yves M/B-3246-2016; Le Conte, Yves/M-4442-2018; Alaux, Cedric/B-4667-2013	Le Conte, Yves M/0000-0002-8466-5370; Le Conte, Yves/0000-0002-8466-5370; Alaux, Cedric/0000-0002-3045-2599			Diet effects on honeybee immunocompetence								BIOLOGY LETTERS				6	4			562	565		10.1098/rsbl.2009.0986				AUG 23 2010	2010	The maintenance of the immune system can be costly, and a lack of dietary protein can increase the susceptibility of organisms to disease. However, few studies have investigated the relationship between protein nutrition and immunity in insects. Here, we tested in honeybees (Apis mellifera) whether dietary protein quantity (monofloral pollen) and diet diversity (polyfloral pollen) can shape baseline immunocompetence (IC) by measuring parameters of individual immunity (haemocyte concentration, fat body content and phenoloxidase activity) and glucose oxidase (GOX) activity, which enables bees to sterilize colony and brood food, as a parameter of social immunity. Protein feeding modified both individual and social IC but increases in dietary protein quantity did not enhance IC. However, diet diversity increased IC levels. In particular, polyfloral diets induced higher GOX activity compared with monofloral diets, including protein-richer diets. These results suggest a link between protein nutrition and immunity in honeybees and underscore the critical role of resource availability on pollinator health.																		1744-9561			WOS:000279725700034	20089536	
J	Allen-Wardell, G; Bernhardt, P; Bitner, R; Burquez, A; Buchmann, S; Cane, J; Cox, PA; Dalton, V; Feinsinger, P; Ingram, M; Inouye, D; Jones, CE; Kennedy, K; Kevan, P; Koopowitz, H; Medellin, R; Medellin-Morales, S; Nabhan, GP; Pavlik, B; Tepedino, V; Torchio, P; Walker, S				Cane, James H/C-1636-2019; Burquez, Alberto/J-7599-2017	Cane, James H/0000-0002-4745-382X; Burquez, Alberto/0000-0002-7738-700X			The potential consequences of pollinator declines on the conservation of biodiversity and stability of food crop yields								CONSERVATION BIOLOGY				12	1			8	17						FEB 1998	1998	Following reports of dramatic declines in managed and feral honey bees from nearly every region of North America, scientists and resource managers from the U.S., Mexico, and Canada come together to review the quality of the evidence that honey bees as well as other pollinators are in long-term decline and to consider the potential consequences of these losses on the conservation of biodiversity and the stability of the yield of food crops. These experts in pollination ecology confirmed that the last 5 years of losses of honeybee colonies in North America leaves us with fewer managed pollinators than at any time in the last 50 years and that the management and protection of wild pollinators is an issue of paramount importance to our food supply system. Although there are conclusive data that indicate 1200 wild vertebrate pollination may be at risk, data on the status of most invertebrate species that act as pollination agents is lacking. The recommendations from a working group of over 20 field scientists, presented here, have been endorsed by 14 conservation and sustainable agriculture organizations, research institutes, and professional societies including the Society for Conservation Biology. Among the most critical priorities for future research and conservation of pollinator species are (1) increased attention to invertebrate systematics, monitoring, and reintroduction as part of critical habitat management and restoration plans. (2) multi-year assessments of the lethal and sublethal effects of pesticides, herbicides, and habitat fragmentation on the wild pollinator populations in and near croplands; (3) inclusion of the monitoring of seed and fruit set and floral visitation rates in endangered plant management and recovery plans; (4) inclusion of habitat needs for critically-important pollinators in the critical habitat designations for endangered plants; (5) identification and protection of floral reserves near roost sites along the "nectar corridors" of threatened migratory pollinators; and (6) investment in the restoration and management of a diversity of pollinators and their habitats adjacent to croplands in order to stabilize or improve crop yields The work group encourages increased education and training to ensure that both the lay, public and resource managers understand that pollination is one of the most important ecological services provided to agriculture through the responsible management and protection of wildland habitats and their populations of pollen-vectoring animals and nectar-producing plants.																		0888-8892	1523-1739		WOS:000072094300003		
J	Anderson, DL; Trueman, JWH				Anderson, Denis/C-3203-2009; trueman, john/C-9497-2009; Anderson, Denis L/K-2641-2019	Anderson, Denis/0000-0002-5644-2444; 			Varroa jacobsoni (Acari : Varroidae) is more than one species								EXPERIMENTAL AND APPLIED ACAROLOGY				24	3			165	189		10.1023/A:1006456720416				MAR 2000	2000	Varroa jacobsoni was first described as a natural ectoparasitic mite of the Eastern honeybee (Apis cerana) throughout Asia. It later switched host to the Western honeybee (A. mellifera) and has now become a serious pest of that bee worldwide. The studies reported here on genotypic, phenotypic and reproductive variation among V. jacobsoni infesting A. cerana throughout Asia demonstrate that V. jacobsoni is a complex of at least two different species. In a new classification V. jacobsoni is here redefined as encompassing nine haplotypes (mites with distinct mtDNA CO-I gene sequences) that infest A. cerana in the Malaysia-Indonesia region. Included is a Java haplotype, specimens of which were used to first describe V. jacobsoni at the beginning of this century. A new name, V. destructor n. sp., is given to six haplotypes that infest A. cerana on mainland Asia. Adult females of V. destructor are significantly larger and less spherical in shape than females of V. jacobsoni and they are also reproductively isolated from females of V. jacobsoni. The taxonomic positions of a further three unique haplotypes that infest A. cerana in the Philippines is uncertain and requires further study.Other studies reported here also show that only two of the 18 different haplotypes concealed within the complex of mites infesting A. cerana have become pests of A. mellifera worldwide. Both belong to V. destructor, and they are not V. jacobsoni. The most common is a Korea haplotype, so-called because it was also found parasitizing A. cerana in South Korea. It was identified on A. mellifera in Europe, the Middle East, Africa, Asia, and the Americas. Less common is a Japan/Thailand haplotype, so-called because it was also found parasitizing A. cerana in Japan and Thailand. It was identified on A. mellifera in Japan, Thailand and the Americas.Our results imply that the findings of past research on V. jacobsoni are applicable mostly to V. destructor. Our results will also influence quarantine protocols for bee mites, and may present new strategies for mite control.																		0168-8162			WOS:000087808600001	11108385	
J	Balfour, Nicholas J.; Garbuzov, Mihail; Ratnieks, Francis L. W.					Garbuzov, Mihail/0000-0002-5743-9386			Longer tongues and swifter handling: why do more bumble bees (Bombus spp.) than honey bees (Apis mellifera) forage on lavender (Lavandula spp.)?								ECOLOGICAL ENTOMOLOGY				38	4			323	329		10.1111/een.12019				AUG 2013	2013	1. Lavender (Lavandula spp.) flowers attract more bumble bees (Bombus spp.) than honey bees (Apis mellifera). Counts of bees foraging on Lavandula x intermedia Grosso' at the University of Sussex campus, showed that bumble bees (92%) greatly outnumbered honey bees (8%). This was not due to a scarcity of honey bees, as the reverse ratio (94% honey bees vs. 6% bumble bees) occurred on borage (Borago officinalis) at the same location.2. Video analysis of free-flying bees revealed that all bumble bee species present (Bombus terrestris/lucorum, Bombus pascuorum, and Bombus lapidarius) handled lavender flowers three times faster than honey bees (mean extraction times: 0.38, 0.37, 0.34s respectively, vs. 1.30 s; all P<0.001). Honey bee tongue length (6.6mm) was approximately 2 mm shorter than those of bumble bees (7.8-8.9mm) and 1 mm shorter than the lavender corolla tube (c. 7 mm). In addition, bumble bees probed twice as many lavender flowers encountered than honey bees (86% vs. 46%).3. Experimentally reducing effective corolla tube length with scalpel incisions significantly decreased extraction time for honey bees (from 1.11 to 0.76s; P<0.001) but not for bumble bees (0.33 to 0.28s; P=0.266).4. Results suggest that honey bees are deterred from foraging on lavender because they are being outcompeted by bumble bees, which forage more efficiently.																		0307-6946	1365-2311		WOS:000321582100002		
J	Bartomeus, Ignasi; Ascher, John S.; Gibbs, Jason; Danforth, Bryan N.; Wagner, David L.; Hedtke, Shannon M.; Winfree, Rachael				borba, jared/D-6810-2015; Ascher, John S/D-1554-2014; Gibbs, Jason/H-6963-2012	Gibbs, Jason/0000-0002-4945-5423; Danforth, Bryan/0000-0002-6495-428X; Bartomeus, Ignasi/0000-0001-7893-4389			Historical changes in northeastern US bee pollinators related to shared ecological traits								PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA				110	12			4656	4660		10.1073/pnas.1218503110				MAR 19 2013	2013	Pollinators such as bees are essential to the functioning of terrestrial ecosystems. However, despite concerns about a global pollinator crisis, long-term data on the status of bee species are limited. We present a long-term study of relative rates of change for an entire regional bee fauna in the northeastern United States, based on >30,000 museum records representing 438 species. Over a 140-y period, aggregate native species richness weakly decreased, but richness declines were significant only for the genus Bombus. Of 187 native species analyzed individually, only three declined steeply, all of these in the genus Bombus. However, there were large shifts in community composition, as indicated by 56% of species showing significant changes in relative abundance over time. Traits associated with a declining relative abundance include small dietary and phenological breadth and large body size. In addition, species with lower latitudinal range boundaries are increasing in relative abundance, a finding that may represent a response to climate change. We show that despite marked increases in human population density and large changes in anthropogenic land use, aggregate native species richness declines were modest outside of the genus Bombus. At the same time, we find that certain ecological traits are associated with declines in relative abundance. These results should help target conservation efforts focused on maintaining native bee abundance and diversity and therefore the important ecosystems services that they provide.																		0027-8424			WOS:000317521600056	23487768	
J	Berthoud, Helene; Imdorf, Anton; Haueter, Monika; Radloff, Sarah; Neumann, Peter				Neumann, Peter/C-9964-2015; Higes, Mariano/N-9380-2017; Manes, Aranzazu Meana/C-6360-2017; Gonzalez-Porto, Amelia Virginia/A-2600-2015	Neumann, Peter/0000-0001-5163-5215; Higes, Mariano/0000-0001-7338-5851; Manes, Aranzazu Meana/0000-0002-7599-7226; Gonzalez-Porto, Amelia Virginia/0000-0002-0166-5528			Virus infections and winter losses of honey bee colonies (Apis mellifera)								JOURNAL OF APICULTURAL RESEARCH				49	1	SI		60	65		10.3896/IBRA.1.49.1.08				2010	2010	Apiculturists have recently been confronted with drastic and inexplicable winter losses of colonies, and virus infections may be involved. Here, we surveyed 337 Swiss honey bee colonies in the winter of 2005 and 2006 and categorized their health status as: 1. dead (= no or few live bees left); 2. weak (= dwindling, high mortality of adult bees); or 3. healthy (= normal overwintering colony). From each colony, pooled adult workers were analyzed for deformed wing virus (DWV), acute bee paralysis virus (ABPV), chronic bee paralysis virus (CBPV) and Kashmir bee virus (KBV). Neither KBV nor CBPV were found, but significantly higher ABPV and DWV infections were found in dead vs. weak vs. healthy colonies (except DWV in 2006 between weak and healthy). Moreover, ABPV and DWV loads were positively correlated with each other. This is the first report demonstrating statistically significant correlations between viruses associated with Varroa destructor and winter mortality.																		0021-8839	2078-6913		WOS:000276090500008		
J	Blitzer, Eleanor J.; Dormann, Carsten F.; Holzschuh, Andrea; Klein, Alexandra-Maria; Rand, Tatyana A.; Tscharntke, Teja				Tscharntke, Teja/N-5123-2014; Vazquez-Dominguez, Guillermo GVD/L-7818-2014; Holzschuh, Andrea/X-8989-2018; Klein, Alexandra-Maria/J-5871-2016	Holzschuh, Andrea/0000-0002-5235-4746; Klein, Alexandra-Maria/0000-0003-2139-8575; Dormann, Carsten/0000-0002-9835-1794			Spillover of functionally important organisms between managed and natural habitats								AGRICULTURE ECOSYSTEMS & ENVIRONMENT				146	1			34	43		10.1016/j.agee.2011.09.005				JAN 1 2012	2012	Land-use intensification has led to a landscape mosaic that juxtaposes human-managed and natural areas. In such human-dominated and heterogeneous landscapes, spillover across habitat types, especially in systems that differ in resource availability, may be an important ecological process structuring communities. While there is much evidence for spillover from natural habitats to managed areas, little attention has been given to flow in the opposite direction. This paper synthesizes studies published to date from five functionally important trophic groups, herbivores, pathogens, pollinators, predators, and seed dispersers, and discusses evidence for spillover from managed to natural systems in all five groups. For each of the five focal groups, studies in the natural to managed direction are common, often with multiple review articles on each subject which document dozens of examples. In contrast, the number of studies which examine movement in the managed to natural direction is generally less than five studies per trophic group. These findings suggest that spillover in the managed to natural direction has been largely underestimated. As habitat modification continues, resulting in increasingly fragmented landscapes, the likelihood and size of any spillover effect will only increase. Published by Elsevier B.V.																		0167-8809	1873-2305		WOS:000300204000004		
J	Burkle, Laura A.; Alarcon, Ruben								THE FUTURE OF PLANT-POLLINATOR DIVERSITY: UNDERSTANDING INTERACTION NETWORKS ACROSS TIME, SPACE, AND GLOBAL CHANGE								AMERICAN JOURNAL OF BOTANY				98	3			528	538		10.3732/ajb.1000391				MAR 2011	2011	Structural analysis of plant-pollinator networks has revealed remarkably high species and interaction diversity and highlighted the species important for pollination services. Although techniques to analyze plant-pollinator networks began to emerge a decade ago, the characterization of spatiotemporal variation of interactions is still in its infancy. Understanding the ecological and evolutionary causes and consequences of spatial and temporal variation in plant-pollinator interactions is important for both basic and applied questions in community structure and function, the evolution of floral traits, and the development of optimal conservation strategies. Here we review observational, theoretical, and experimental studies of temporal and spatial variation in plant-pollinator interaction networks to establish a foundation for future studies to incorporate perspectives in spatiotemporal variation. Such perspectives are crucial given the rapid environmental changes associated with habitat loss, climate change, and biological invasions, which we discuss in this context. The inherent plasticity of plant-pollinator interactions and network structure suggests that many species should be able to persist by responding to environmental changes quickly, even though the identity of their mutualistic partners may change.																		0002-9122	1537-2197		WOS:000288320600024	21613144	
