PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	EA	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZR	ZA	ZB	ZS	Z9	U1	U2	SN	EI	BN	UT	PM	
J	Aebi, Alexandre; Neumann, Peter				Neumann, Peter/C-9964-2015; Aebi, Alexandre/B-7482-2013	Neumann, Peter/0000-0001-5163-5215; 			Endosymbionts and honey bee colony losses?								TRENDS IN ECOLOGY & EVOLUTION				26	10			494	494		10.1016/j.tree.2011.06.008				OCT 2011	2011																			0169-5347	1872-8383		WOS:000295745400002	21782276	
J	Aizen, Marcelo A.; Harder, Lawrence D.				Harder, Lawrence/H-9715-2012	Harder, Lawrence/0000-0002-2303-5076; Aizen, Marcelo/0000-0001-9079-9749			The Global Stock of Domesticated Honey Bees Is Growing Slower Than Agricultural Demand for Pollination								CURRENT BIOLOGY				19	11			915	918		10.1016/j.cub.2009.03.071				JUN 9 2009	2009	The prospect that a global pollination crisis currently threatens agricultural productivity has drawn intense recent interest among scientists, politicians, and the general public [1-5]. To date, evidence for a global crisis has been drawn from regional or local declines in pollinators themselves [6-9] or insufficient pollination for particular crops [9, 10]. In contrast, our analysis of Food and Agriculture Organization (FAO) [11] data reveals that the global population of managed honey-bee hives has increased similar to 45% during the last half century and suggests that economic globalization, rather than biological factors, drives both the dynamics of the global managed honey-bee population and increasing demands for agricultural pollination services [12]. Nevertheless, available data also reveal a much more rapid (>300%) increase in the fraction of agriculture that depends on animal pollination during the last half century, which may be stressing global pollination capacity. Although the primary cause of the accelerating increase of the pollinator dependence of commercial agriculture seems to be economic and political and not biological, the rapid expansion of cultivation of many pollinator-dependent crops has the potential to trigger future pollination problems for both these crops and native species in neighboring areas. Such environmental costs merit consideration during the development of agriculture and conservation policies.																		0960-9822	1879-0445		WOS:000266891900024	19427214	
J	Aizen, Marcelo A.; Aguiar, Sebastian; Biesmeijer, Jacobus C.; Garibaldi, Lucas A.; Inouye, David W.; Jung, Chuleui; Martins, Dino J.; Medel, Rodrigo; Morales, Carolina L.; Ngo, Hien; Pauw, Anton; Paxton, Robert J.; Saez, Agustin; Seymour, Colleen L.				Pauw, Anton/A-6126-2008; Jung, Chuleui/AAJ-7220-2020; Inouye, David/C-2997-2011	Pauw, Anton/0000-0002-4012-648X; Garibaldi, Lucas Alejandro/0000-0003-0725-4049; Jung, Chuleui/0000-0001-8134-9279; Inouye, David/0000-0003-2076-7834; Seymour, Colleen/0000-0002-6729-2576			Global agricultural productivity is threatened by increasing pollinator dependence without a parallel increase in crop diversification								GLOBAL CHANGE BIOLOGY				25	10			3516	3527		10.1111/gcb.14736		JUL 2019		OCT 2019	2019	The global increase in the proportion of land cultivated with pollinator-dependent crops implies increased reliance on pollination services. Yet agricultural practices themselves can profoundly affect pollinator supply and pollination. Extensive monocultures are associated with a limited pollinator supply and reduced pollination, whereas agricultural diversification can enhance both. Therefore, areas where agricultural diversity has increased, or at least been maintained, may better sustain high and more stable productivity of pollinator-dependent crops. Given that >80% of all crops depend, to varying extents, on insect pollination, a global increase in agricultural pollinator dependence over recent decades might have led to a concomitant increase in agricultural diversification. We evaluated whether an increase in the area of pollinator-dependent crops has indeed been associated with an increase in agricultural diversity, measured here as crop diversity, at the global, regional, and country scales for the period 1961-2016. Globally, results show a relatively weak and decelerating rise in agricultural diversity over time that was largely decoupled from the strong and continually increasing trend in agricultural dependency on pollinators. At regional and country levels, there was no consistent relationship between temporal changes in pollinator dependence and crop diversification. Instead, our results show heterogeneous responses in which increasing pollinator dependence for some countries and regions has been associated with either an increase or a decrease in agricultural diversity. Particularly worrisome is a rapid expansion of pollinator-dependent oilseed crops in several countries of the Americas and Asia that has resulted in a decrease in agricultural diversity. In these regions, reliance on pollinators is increasing, yet agricultural practices that undermine pollination services are expanding. Our analysis has thereby identified world regions of particular concern where environmentally damaging practices associated with large-scale, industrial agriculture threaten key ecosystem services that underlie productivity, in addition to other benefits provided by biodiversity.																		1354-1013	1365-2486		WOS:000477201300001	31293015	
J	Alaux, Cedric; Allier, Fabrice; Decourtye, Axel; Odoux, Jean-Francois; Tamic, Thierry; Chabirand, Melanie; Delestra, Estelle; Decugis, Florent; Le Conte, Yves; Henry, Mickael				Le Conte, Yves M/B-3246-2016; ODOUX, Jean-Francois/AAB-3596-2019; Le Conte, Yves/M-4442-2018; Alaux, Cedric/B-4667-2013	Le Conte, Yves M/0000-0002-8466-5370; ODOUX, Jean-Francois/0000-0002-6264-4376; Le Conte, Yves/0000-0002-8466-5370; ALLIER, Fabrice/0000-0002-5740-938X; Alaux, Cedric/0000-0002-3045-2599			A 'Landscape physiology' approach for assessing bee health highlights the benefits of floral landscape enrichment and semi-natural habitats								SCIENTIFIC REPORTS				7						40568	10.1038/srep40568				JAN 13 2017	2017	Understanding how anthropogenic landscape alteration affects populations of ecologically-and economically-important insect pollinators has never been more pressing. In this context, the assessment of landscape quality typically relies on spatial distribution studies, but, whether habitat-restoration techniques actually improve the health of targeted pollinator populations remains obscure. This gap could be filled by a comprehensive understanding of how gradients of landscape quality influence pollinator physiology. We therefore used this approach for honey bees (Apis mellifera) to test whether landscape patterns can shape bee health. We focused on the pre-wintering period since abnormally high winter colony losses have often been observed. By exposing colonies to different landscapes, enriched in melliferous catch crops and surrounded by semi-natural habitats, we found that bee physiology (i.e. fat body mass and level of vitellogenin) was significantly improved by the presence of flowering catch crops. Catch crop presence was associated with a significant increase in pollen diet diversity. The influence of semi-natural habitats on bee health was even stronger. Vitellogenin level was in turn significantly linked to higher overwintering survival. Therefore, our experimental study, combining landscape ecology and bee physiology, offers an exciting proof-of-concept for directly identifying stressful or suitable landscapes and promoting efficient pollinator conservation.																		2045-2322			WOS:000392174600001	28084452	
J	Alger, Samantha A.; Burnham, P. Alexander; Boncristiani, Humberto F.; Brody, Alison K.					Alger, Samantha/0000-0001-7787-1312			RNA virus spillover from managed honeybees (Apis mellifera) to wild bumblebees (Bombus spp.)								PLOS ONE				14	6					e0217822	10.1371/journal.pone.0217822				JUN 26 2019	2019	The decline of many bumblebee species (Bombus spp.) has been linked to an increased prevalence of pathogens caused by spillover from managed bees. Although poorly understood, RNA viruses are suspected of moving from managed honeybees (Apis mellifera) into wild bumblebees through shared floral resources. We examined if RNA viruses spillover from managed honeybees, the extent to which viruses are replicating within bumblebees, and the role of flowers in transmission. Prevalence and active infections of deformed wing virus (DWV) were higher in bumblebees collected near apiaries and when neighboring honeybees had high infection levels. We found no DWV in bumblebees where honeybee foragers and honeybee apiaries were absent. The prevalence of black queen cell virus (BQCV) was also higher in bumblebees collected near apiaries. Furthermore, we detected viruses on 19% of flowers, all of which were collected within apiaries. Our results corroborate the hypothesis that viruses are spilling over from managed honeybees to wild bumblebees and that flowers may be an important route for transmission.																		1932-6203			WOS:000474420300002	31242222	
J	Arena, Maria; Sgolastra, Fabio				Sgolastra, Fabio/AAG-2839-2019	Sgolastra, Fabio/0000-0002-2845-8297			A meta-analysis comparing the sensitivity of bees to pesticides								ECOTOXICOLOGY				23	3			324	334		10.1007/s10646-014-1190-1				APR 2014	2014	The honey bee Apis mellifera, the test species used in the current environmental risk assessment procedure, is generally considered as extremely sensitive to pesticides when compared to other bee species, although a quantitative approach for comparing the difference in sensitivity among bees has not yet been reported. A systematic review of the relevant literature on the topic followed by a meta-analysis has been performed. Both the contact and oral acute LD50 and the chronic LC50 reported in laboratory studies for as many substances as possible have been extracted from the papers in order to compare the sensitivity to pesticides of honey bees and other bee species (Apiformes). The sensitivity ratio R between the endpoint for the species a (A. mellifera) and the species s (bees other than A. mellifera) was calculated for a total of 150 case studies including 19 bee species. A ratio higher than 1 indicated that the species s was more sensitive to pesticides than honey bees. The meta-analysis showed a high variability of sensitivity among bee species (R from 0.001 to 2085.7), however, in approximately 95 % of the cases the sensitivity ratio was below 10. The effect of pesticides in domestic and wild bees is dependent on the intrinsic sensitivity of single bee species as well as their specific life cycle, nesting activity and foraging behaviour. Current data indicates a need for more comparative information between honey bees and non-Apis bees as well as separate pesticide risk assessment procedures for non-Apis bees.																		0963-9292	1573-3017		WOS:000333127600002	24435220	
J	Azpiazu, Celeste; Bosch, Jordi; Vinuela, Elisa; Medrzycki, Piotr; Teper, Dariusz; Sgolastra, Fabio				SEGOVIA, CELESTE AZPIAZU/ABC-5911-2020; Sgolastra, Fabio/AAG-2839-2019; Teper, Dariusz/S-5267-2018	Sgolastra, Fabio/0000-0002-2845-8297; Teper, Dariusz/0000-0003-2950-2816; Azpiazu, Celeste/0000-0001-8217-9347			Chronic oral exposure to field-realistic pesticide combinations via pollen and nectar: effects on feeding and thermal performance in a solitary bee								SCIENTIFIC REPORTS				9						13770	10.1038/s41598-019-50255-4				SEP 24 2019	2019	Pesticide use is one of the main causes of pollinator declines in agricultural ecosystems. Traditionally, most laboratory studies on bee ecotoxicology test acute exposure to single compounds. However, under field conditions, bees are often chronically exposed to a variety of chemicals, with potential synergistic effects. We studied the effects of field-realistic concentrations of three pesticides measured in pollen and nectar of commercial melon fields on the solitary bee Osmia bicornis L. We orally exposed females of this species throughout their life span to 8 treatments combining two neonicotinoid insecticides (acetamiprid, imidacloprid) and a triazole fungicide (myclobutanil) via pollen and sugar syrup. We measured pollen and syrup consumption, longevity, ovary maturation and thermogenesis. Pesticide intake was three orders of magnitude higher via syrup than pollen. At the tested concentrations, no synergistic effects emerged, and we found no effects on longevity and ovary maturation. However, all treatments containing imidacloprid resulted in suppressed syrup consumption and drastic decreases in thoracic temperature and bee activity. Our results have important implications for pesticide regulation. If we had measured only lethal effects we would have wrongly concluded that the pesticide combinations containing imidacloprid were safe to O. bicornis. The incorporation of tests specifically intended to detect sublethal effects in bee risk assessment schemes should be an urgent priority. In this way, the effects of pesticide exposure on the dynamics of bee populations in agroecosystems will be better assessed.																		2045-2322			WOS:000487365300045	31551470	
J	Berthoud, Helene; Imdorf, Anton; Haueter, Monika; Radloff, Sarah; Neumann, Peter				Neumann, Peter/C-9964-2015; Higes, Mariano/N-9380-2017; Manes, Aranzazu Meana/C-6360-2017; Gonzalez-Porto, Amelia Virginia/A-2600-2015	Neumann, Peter/0000-0001-5163-5215; Higes, Mariano/0000-0001-7338-5851; Manes, Aranzazu Meana/0000-0002-7599-7226; Gonzalez-Porto, Amelia Virginia/0000-0002-0166-5528			Virus infections and winter losses of honey bee colonies (Apis mellifera)								JOURNAL OF APICULTURAL RESEARCH				49	1	SI		60	65		10.3896/IBRA.1.49.1.08				2010	2010	Apiculturists have recently been confronted with drastic and inexplicable winter losses of colonies, and virus infections may be involved. Here, we surveyed 337 Swiss honey bee colonies in the winter of 2005 and 2006 and categorized their health status as: 1. dead (= no or few live bees left); 2. weak (= dwindling, high mortality of adult bees); or 3. healthy (= normal overwintering colony). From each colony, pooled adult workers were analyzed for deformed wing virus (DWV), acute bee paralysis virus (ABPV), chronic bee paralysis virus (CBPV) and Kashmir bee virus (KBV). Neither KBV nor CBPV were found, but significantly higher ABPV and DWV infections were found in dead vs. weak vs. healthy colonies (except DWV in 2006 between weak and healthy). Moreover, ABPV and DWV loads were positively correlated with each other. This is the first report demonstrating statistically significant correlations between viruses associated with Varroa destructor and winter mortality.																		0021-8839	2078-6913		WOS:000276090500008		
J	Biesmeijer, J. C.; Roberts, S. P. M.; Reemer, M.; Ohlemueller, R.; Edwards, M.; Peeters, T.; Schaffers, A. P.; Potts, S. G.; Kleukers, R.; Thomas, C. D.; Settele, J.; Kunin, W. E.				Settele, Josef/A-6371-2009; Thomas, Chris D/A-1894-2012; Potts, Simon G/C-7250-2008; Potts, Simon/ABF-9221-2020; Thomas, Chris D/A-1460-2014	Settele, Josef/0000-0002-8624-4983; Thomas, Chris D/0000-0003-2822-1334; Potts, Simon G/0000-0002-2045-980X; Potts, Simon/0000-0002-2045-980X; Thomas, Chris D/0000-0003-2822-1334; Ohlemuller, Ralf/0000-0001-9102-6481			Parallel declines in pollinators and insect-pollinated plants in Britain and the Netherlands								SCIENCE				313	5785			351	354		10.1126/science.1127863				JUL 21 2006	2006	Despite widespread concern about declines in pollination services, little is known about the patterns of change in most pollinator assemblages. By studying bee and hoverfly assemblages in Britain and the Netherlands, we found evidence of declines (pre- versus post-1980) in local bee diversity in both countries; however, divergent trends were observed in hoverflies. Depending on the assemblage and location, pollinator declines were most frequent in habitat and flower specialists, in univoltine species, and/or in nonmigrants. In conjunction with this evidence, outcrossing plant species that are reliant on the declining pollinators have themselves declined relative to other plant species. Taken together, these findings strongly suggest a causal connection between local extinctions of functionally linked plant and pollinator species.																		0036-8075	1095-9203		WOS:000239154300044	16857940	
J	Boncristiani, Humberto; Underwood, Robyn; Schwarz, Ryan; Evans, Jay D.; Pettis, Jeffery; vanEngelsdorp, Dennis				Evans, Jay D/C-8408-2012; vanEngelsdorp, Dennis/E-7934-2010	Evans, Jay D/0000-0002-0036-4651; 			Direct effect of acaricides on pathogen loads and gene expression levels in honey bees Apis mellifera								JOURNAL OF INSECT PHYSIOLOGY				58	5			613	620		10.1016/j.jinsphys.2011.12.011				MAY 2012	2012	The effect of using acaricides to control varroa mites has long been a concern to the beekeeping industry due to unintended negative impacts on honey bee health. Irregular ontogenesis, suppression of immune defenses, and impairment of normal behavior have been linked to pesticide use. External stressors, including parasites and the pathogens they vector, can confound studies on the effects of pesticides on the metabolism of honey bees. This is the case of Varroa destructor, a mite that negatively affects honey bee health on many levels, from direct parasitism, which diminishes honey bee productivity, to vectoring and/or activating other pathogens, including many viruses. Here we present a gene expression profile comprising genes acting on diverse metabolic levels (detoxification, immunity, and development) in a honey bee population that lacks the influence of varroa mites. We present data for hives treated with five different acaricides; Apiguard (thymol), Apistan (tau-fluvalinate), Checkmite (coumaphos), Miteaway (formic acid) and ApiVar (amitraz). The results indicate that thymol, coumaphos and formic acid are able to alter some metabolic responses. These include detoxification gene expression pathways, components of the immune system responsible for cellular response and the c-Jun amino-terminal kinase (JNK) pathway, and developmental genes. These could potentially interfere with the health of individual honey bees and entire colonies. (C) 2011 Elsevier Ltd. All rights reserved.																		0022-1910	1879-1611		WOS:000303619500003	22212860	
