PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	PG	WC	SC	GA	UT	PM	OA	HC	HP	DA
J	Pisa, L; Goulson, D; Yang, EC; Gibbons, D; Sanchez-Bayo, F; Mitchell, E; Aebi, A; van der Sluijs, J; MacQuarrie, CJK; Giorio, C; Long, EY; McField, M; van Lexmond, MB; Bonmatin, JM				Pisa, Lennard; Goulson, Dave; Yang, En-Cheng; Gibbons, David; Sanchez-Bayo, Francisco; Mitchell, Edward; Aebi, Alexandre; van der Sluijs, Jeroen; MacQuarrie, Chris J. K.; Giorio, Chiara; Long, Elizabeth Yim; McField, Melanie; Bijleveld van Lexmond, Maarten; Bonmatin, Jean-Marc			An update of the Worldwide Integrated Assessment (WIA) on systemic insecticides. Part 2: impacts on organisms and ecosystems	ENVIRONMENTAL SCIENCE AND POLLUTION RESEARCH												New information on the lethal and sublethal effects of neonicotinoids and fipronil on organisms is presented in this review, complementing the previous Worldwide Integrated Assessment (WIA) in 2015. The high toxicity of these systemic insecticides to invertebrates has been confirmed and expanded to include more species and compounds. Most of the recent research has focused on bees and the sublethal and ecological impacts these insecticides have on pollinators. Toxic effects on other invertebrate taxa also covered predatory and parasitoid natural enemies and aquatic arthropods. Little new information has been gathered on soil organisms. The impact on marine and coastal ecosystems is still largely uncharted. The chronic lethality of neonicotinoids to insects and crustaceans, and the strengthened evidence that these chemicals also impair the immune system and reproduction, highlights the dangers of this particular insecticidal class (neonicotinoids and fipronil), with the potential to greatly decrease populations of arthropods in both terrestrial and aquatic environments. Sublethal effects on fish, reptiles, frogs, birds, and mammals are also reported, showing a better understanding of the mechanisms of toxicity of these insecticides in vertebrates and their deleterious impacts on growth, reproduction, and neurobehaviour of most of the species tested. This review concludes with a summary of impacts on the ecosystem services and functioning, particularly on pollination, soil biota, and aquatic invertebrate communities, thus reinforcing the previous WIA conclusions (van der Sluijs et al. 2015).				Giorio, Chiara/O-1707-2015; MacQuarrie, Chris/A-3640-2009; van der Sluijs, Jeroen P/B-6302-2008; Mitchell, Edward AD/B-7259-2013	Giorio, Chiara/0000-0001-7821-7398; MacQuarrie, Chris/0000-0001-8760-746X; van der Sluijs, Jeroen P/0000-0002-1346-5953; Mitchell, Edward AD/0000-0003-0358-506X												0944-1344	1614-7499				MAR	2021	28	10			SI		11749	11797		10.1007/s11356-017-0341-3							WOS:000624127100003	29124633					
J	El Agrebi, N; Steinhauer, N; Renault, V; de Graaf, DC; Saegerman, C				El Agrebi, Noemie; Steinhauer, Nathalie; Renault, Veronique; de Graaf, Dirk C.; Saegerman, Claude			Beekeepers perception of risks affecting colony loss: A pilot survey	TRANSBOUNDARY AND EMERGING DISEASES												Understanding amateur beekeepers' perception of risks affecting bee health and mortality is essential to analyse the reasons for adopting or rejecting good management practices. A perception survey on how beekeepers perceive and manage factors related to climate change, Varroa infestation, management practices, and pesticide exposure was designed and launched online. This unpreceded sociological survey involved 355 beekeepers spread all over Belgium. A two-sample t test with unequal variances comparing beekeepers with colony loss rates below or exceeding the acceptable level, that is <10% and >= 10%, indicates that beekeepers (N = 213) with colony loss rates <10% generally have greater average levels of perceived risks and the benefits of action that lead to increased motivation to act in better ways. The results of this survey highlight the importance of looking beyond socio-economic determinants in any risk mitigation strategy associated with bee mortality when dealing with amateur beekeepers.					Saegerman, Claude/0000-0001-9087-7436												1865-1674	1865-1682															10.1111/tbed.14023		FEB 2021					WOS:000619939400001	33544964					
J	Kavanagh, S; Henry, M; Stout, JC; White, B				Kavanagh, Saorla; Henry, Michael; Stout, Jane C.; White, Blanaid			Neonicotinoid residues in honey from urban and rural environments	ENVIRONMENTAL SCIENCE AND POLLUTION RESEARCH												Pesticide residues in honey can negatively affect bee health. Although recent studies have detected neonicotinoid residues in honeys from around the world, little is known about how residues relate to land use and vegetation composition. To investigate potential relationships, we sampled multi-floral honey from 30 Apis mellifera hives from urban, agricultural and semi-natural habitats (SNH), identified and quantified three neonicotinoids present (clothianidin, imidacloprid and thiacloprid) using UHPLC-MS, and classified surrounding land use up to 5 km around hive sites. Neonicotinoids were most frequently detected in honeys from hives in agricultural habitats, and 70% of all samples contained at least one of the three neonicotinoid compounds. Imidacloprid was the most frequently detected neonicotinoid (found in 43% of honey samples) followed by clothianidin (40%) and thiacloprid (37%). Almost half (48%) of samples contained at least two neonicotinoids, and two of the 30 samples contained all three. Clothianidin and thiacloprid were more frequently detected in honeys from urban habitats, highlighting that exposure to pesticides does not just occur in agricultural settings. This suggests that pesticide use in urban domestic, sport and amenity contexts, given potential exposure of bees and other pollinators, needs urgent consideration.																	0944-1344	1614-7499															10.1007/s11356-021-12564-y		FEB 2021					WOS:000613992300005	33528772					
J	Matos, WB; Santos, ACC; Lima, APS; Santana, EDR; Silva, JE; Blank, AF; Araujo, APA; Bacci, L				Matos, Wallace Borges; Celestino Santos, Ane Caroline; Lima, Ana Paula Santana; Rabelo Santana, Emile Dayara; Silva, Jefferson Elias; Blank, Arie Fitzgerald; Albano Araujo, Ana Paula; Bacci, Leandro			Potential source of ecofriendly insecticides: Essential oil induces avoidance and cause lower impairment on the activity of a stingless bee than organosynthetic insecticides, in laboratory	ECOTOXICOLOGY AND ENVIRONMENTAL SAFETY												The negative effect of insecticides on bees has been reported as one of the factors associated with the decline in population of these pollinators. Thus, the aim of this study was to evaluate the response of the stingless bee Nannotrigona aff. testaceicornis (Lepeletier, 1836) to a promising source of new insecticide molecules obtained from Lippia sidoides (rosemary pepper) essential oil (EO) and its major compounds (thymol, rho-cymene, and (E)-caryophyllene), comparing them to commercial insecticides (organosynthetic: imidacloprid, deltamethrin and semisynthetic: spinetoram). For this, stingless bees were exposed by contact with these compounds to evaluate the lethal and sublethal (locomotion and flight orientation) toxicity. The L. sidoides EO and its major compounds have low lethal toxicity to forager worker bees (N. aff. testaceicornis). The organosynthetics imidacloprid (LD50 = 0.00146 mu g bee(-1)) and deltamethrin (LD50 = 0.0096 mu g bee(-1)) were about 209,589 and 31,875 times more toxic, respectively, than the least toxic natural compound, (E)-caryophyllene (LD50 = 306 mu g bee(-1)). Locomotion ability and flight orientation were little affected by spinetoram and by L. sidoides EO and its major compounds, however, were greatly reduced by the imidacloprid and deltamethrin insecticides. Besides shows low lethal and sublethal toxicity, the bioinsecticides were also avoided by the forager bees. Individuals treated with the L. sidoides EO and thymol were avoided by the untreated bees. Therefore, the natural products studied here were promising due to their recognized effectiveness against pest insects and greater safety to bees N. aff. testaceicornis.				Santana, Emile Dayara Rabelo/AAB-8082-2021; Bacci, Leandro/F-4571-2017	Santana, Emile Dayara Rabelo/0000-0003-1854-1385; Bacci, Leandro/0000-0002-8198-6080												0147-6513	1090-2414				FEB	2021	209								111764	10.1016/j.ecoenv.2020.111764							WOS:000611821100007	33310535					
J	Cho, Y; Jeong, S; Lee, D; Kim, SW; Park, RJ; Gibson, L; Zheng, CM; Park, CR				Cho, Yoori; Jeong, Sujong; Lee, Dowon; Kim, Sang-Woo; Park, Rokjin J.; Gibson, Luke; Zheng, Chunmiao; Park, Chan-Ryul			Foraging trip duration of honeybee increases during a poor air quality episode and the increase persists thereafter	ECOLOGY AND EVOLUTION												Increased concentration of airborne particulate matter (PM) in the atmosphere alters the degree of polarization of skylight which is used by honeybees for navigation during their foraging trips. However, little has empirically shown whether poor air quality indeed affects foraging performance (foraging trip duration) of honeybee. Here, we show apparent increases in the average duration of honeybee foraging during and after a heavy air pollution event compared with that of the pre-event period. The average foraging duration of honeybees during the event increased by 32 min compared with the pre-event conditions, indicating that 71% more time was spent on foraging. Moreover, the average foraging duration measured after the event did not recover to its pre-event level. We further investigated whether an optical property (Depolarization Ratio, DR) of dominant PM in the atmosphere and level of air pollution (fine PM mass concentration) affect foraging trip duration. The result demonstrates the DR and fine PM mass concentration have significant effects on honeybee foraging trip duration. Foraging trip duration increases with decreasing DR while it increases with increasing fine PM mass concentration. In addition, the effects of fine PM mass concentration are synergistic with overcast skies. Our study implies that poor air quality could pose a new threat to bee foraging.				Zheng, Chunmiao/I-5257-2014; Park, Rokjin J./I-5055-2012	Zheng, Chunmiao/0000-0001-5839-1305; Park, Rokjin J./0000-0001-8922-0234												2045-7758					FEB	2021	11	4					1492	1500		10.1002/ece3.7145		JAN 2021					WOS:000610431000001	33613984					
J	Luo, QH; Gao, J; Guo, Y; Liu, C; Ma, YZ; Zhou, ZY; Dai, PL; Hou, CS; Wu, YY; Diao, QY				Luo, Qi-Hua; Gao, Jing; Guo, Yi; Liu, Chang; Ma, Yu-Zhen; Zhou, Zhi-Yong; Dai, Ping-Li; Hou, Chun-Sheng; Wu, Yan-Yan; Diao, Qing-Yun			Effects of a commercially formulated glyphosate solutions at recommended concentrations on honeybee (Apis mellifera L.) behaviours	SCIENTIFIC REPORTS												Glyphosate, the active ingredient of the most widely used commercial herbicide formulation, is extensively used and produced in China. Previous studies have reported sublethal effects of glyphosate on honeybees. However, the effects of commercially formulated glyphosate (CFG) at the recommended concentration (RC) on the chronic toxicity of honeybees, especially on their behaviours, remain unknown. In this study, a series of behavioural experiments were conducted to investigate the effects of CFG on honeybees. The results showed that there was a significant decline in water responsiveness at 1/2x, 1xand 2xthe RC after 3 h of exposure to CFG for 11 days. The CFG significantly reduced sucrose responsiveness at 1/2xand 1xthe RC. In addition, CFG significantly affected olfactory learning ability at 1/2x, 1x, and 2xthe RC and negatively affected memory ability at 1/2xand 1xthe RC. The climbing ability of honeybees also significantly decreased at 1/2x, 1xand 2xthe RC. Our findings indicated that, after they were chronically exposed to CFG at the RC, honeybees exhibited behavioural changes. These results provide a theoretical basis for regulating field applications of CFG, which is necessary for establishing an early warning and notification system and for protecting honeybees.																	2045-2322					JAN 22	2021	11	1							2115	10.1038/s41598-020-80445-4							WOS:000613018600004	33483522					
J	Peterson, EM; Green, FB; Smith, PN				Peterson, Eric M.; Green, Frank B.; Smith, Philip N.			Toxic responses of blue orchard mason bees (Osmia lignaria) following contact exposure to neonicotinoids, macrocyclic lactones, and pyrethroids	ECOTOXICOLOGY AND ENVIRONMENTAL SAFETY												Analysis of particulate matter originating from beef cattle feed yards on the High Plains of the United States has revealed occurrence of multiple pesticides believed to potentially impact non-Apis pollinators. Among these pesticides are those that are highly toxic to Apis mellifera (honey bees). However, little non-Apis bee species toxicity data exist; especially pertaining to beef cattle feed yard-derived pesticides. Therefore, we conducted a series of 96-h contact toxicity tests with blue orchard mason bees (Osmia lignaria) using three neonicotinoids, two pyrethroids, and two macrocyclic lactones. Neonicotinoids (thiamethoxam, imidacloprid, and clothianidin) were most toxic with LD(50 v)alues ranging from 2.88 to 26.35 ng/bee, respectively. Macrocyclic lactones (abamectin and ivermectin) were also highly toxic to O. lignaria with LD50 estimates of 5.51-32.86 ng/bee. Pyrethroids (permethrin and bifenthrin) were relatively less toxic with LD50 values greater than 33 ng/bee. Sensitivity ratios for each pesticide were calculated to relate O. lignaria LD50 values to existing honey bee toxicity data. All three neonicotinoids were more toxic to O. lignaria than A. mellifera, but pyrethroids and abamectin were relatively less toxic. Additionally, three of seven pesticides (43%) resulted in significantly different mass normalized LD50 values for male and female O. lignaria. These results indicate that non-Apis pollinators may be highly susceptible to pesticides originating from beef cattle feed yards, necessitating consideration of more stringent regulatory protections than those based on A. mellifera pesticide sensitivity.																	0147-6513	1090-2414				JAN 15	2021	208								111681	10.1016/j.ecoenv.2020.111681							WOS:000604142200004	33396013					
J	Huang, MJ; Dong, J; Guo, HK; Wang, DQ				Huang, Minjie; Dong, Jie; Guo, Haikun; Wang, Deqian			Effects of Dinotefuran on Brain miRNA Expression Profiles in Young Adult Honey Bees (Hymenopptera: Apidae)	JOURNAL OF INSECT SCIENCE												Honey bees are important pollinators of wild plants and crops. MicroRNAs (miRNAs) are endogenous regulators of gene expression. In this study, we initially determined that the lethal concentration 50 (LC50) of dinotefuran was 0.773 mg/l. Then, the expression profiles and differentially expressed miRNAs (DE miRNAs) in honey bee brains after 1, 5, and 10 d of treatment with the lethal concentration 10 (LC10) of dinotefuran were explored via deep small-RNA sequencing and bioinformatics. In total, 2, 23, and 27 DE miRNAs were identified after persistent exposure to the LC10 of dinotefuran for 1, 5, and 10 d, respectively. Some abundant miRNAs, such as ame-miR-375-3p, ame-miR-281-5p, ame-miR-3786-3p, ame-miR-10-5p, and ame-miR-6037-3p, were extremely significantly differentially expressed. Enrichment analysis suggested that the candidate target genes of the DE miRNAs are involved in the regulation of biological processes, cellular processes, and behaviors. These results expand our understanding of the regulatory roles of miRNAs in honey bee Apis mellifera (Hymenopptera: Apidae) responses to neonicotinoid insecticides and facilitate further studies on the functions of miRNAs in honey bees.					Wang, Deqian/0000-0002-0033-951X													1536-2442				JAN 5	2021	21	1							3	10.1093/jisesa/ieaa131							WOS:000607135900001						
J	Zakharychev, VV; Kuzenkov, AV; Martsynkevich, AM				Zakharychev, Vladimir V.; Kuzenkov, Aleksandr V.; Martsynkevich, Andrey M.			Good pyridine hunting: a biomimic compound, a modifier and a unique pharmacophore in agrochemicals	CHEMISTRY OF HETEROCYCLIC COMPOUNDS												95 agrochemical products have been described based on the pyridine scaffold making it the most commercially successful heterocycle in the synthesis of plant protection chemicals in the 21st century. The pyridine fragment is capable of modifying the properties of compounds, sometimes changing their application, and can be a unique pharmacophore. When possible, the relationship of pyridine analogs with carbocyclic or aliphatic precursors is shown. The mechanism of action of the compounds is described, if known. Examples of syntheses of pyridine intermediates used in the manufacture of agrochemicals are given.																	0009-3122	1573-8353				DEC	2020	56	12					1491	1516		10.1007/s10593-020-02843-w		JAN 2021					WOS:000604795400006						
J	Flores, JM; Gamiz, V; Gil-Lebrero, S; Rodriguez, I; Navas, FJ; Garcia-Valcarcel, AI; Cutillas, V; Fernandez-Alba, AR; Hernando, MD				Flores, Jose M.; Gamiz, Victoria; Gil-Lebrero, Sergio; Rodriguez, Inmaculada; Navas, Francisco J.; Garcia-Valcarcel, Ana I.; Cutillas, V.; Fernandez-Alba, Amadeo R.; Dolores Hernando, M.			A three-year large scale study on the risk of honey bee colony exposure to blooming sunflowers grown from seeds treated with thiamethoxam and clothianidin neonicotinoids	CHEMOSPHERE												Despite the restriction of the use of neonicotinoids in the EU, including thiamethoxam and clothianidin, the debate over their risk on honey bees has not been fully settled. This study presents results of a three-year study working with 180 honey bee colonies in ten replicates. Colonies were sorted into three treatments (60 colonies per treatment) exposed to sunflower blooms grown from seeds treated with thiamethoxam, clothianidin and a non-treated control. Each colony was assessed at six moments: one before to exposition to sunflower, two during the exposition (short-time risk), two after exposition (medium-time risk) and one after wintering (long-time risk). The health and development of the colonies were assessed by monitoring adult bee population, brood development, status of the queen, food reserves and survival. No significant difference among treatments when raw data was considered. However, when evolution from initial status of the colony was evaluated, a significant difference was observed from the first week of exposure to sunflower blooms. In this period, the number of adult bees and the amount of brood were slightly lower in the bee hives exposed to neonicotinoids, although such differences disappeared in subsequent evaluations. The concentration of residues in samples of beebread and adult bees was at the level of ng.g(-1). Magnitude of the effect of the treatment factor on the variability of colony health and development related parameters was low. The most important factor was the hive, followed by the replicate and year, and to a lesser extent the initial strength of the colonies. (C) 2020 Elsevier Ltd. All rights reserved.				Cutillas, VActor/ABE-7059-2020	Cutillas, VActor/0000-0003-1829-2796; Gil-Lebrero, Sergio/0000-0003-3426-8243												0045-6535	1879-1298				JAN	2021	262								127735	10.1016/j.chemosphere.2020.127735							WOS:000587290300027	32777610					
