PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	EA	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZR	ZA	ZB	ZS	Z9	U1	U2	SN	EI	BN	UT	PM	
J	Ashman, TL; Knight, TM; Steets, JA; Amarasekare, P; Burd, M; Campbell, DR; Dudash, MR; Johnston, MO; Mazer, SJ; Mitchell, RJ; Morgan, MT; Wilson, WG				Mitchell, Randall J/G-6380-2010; Campbell, Diane/A-1653-2012	Mitchell, Randall J/0000-0001-7961-3560; Campbell, Diane/0000-0002-1147-846X; Burd, Martin/0000-0002-1175-2596			Pollen limitation of plant reproduction: Ecological and evolutionary causes and consequences								ECOLOGY				85	9			2408	2421		10.1890/03-8024				SEP 2004	2004	Determining whether seed production is pollen limited has been an area of intensive empirical study over the last two decades. Yet current evidence does not allow satisfactory assessment of the causes or consequences of pollen limitation. Here, we critically evaluate existing theory and issues concerning pollen limitation. Our main conclusion is that a change in approach is needed to determine whether pollen limitation reflects random fluctuations around a pollen-resource equilibrium, an adaptation to stochastic pollination environments, or a chronic syndrome caused by an environmental perturbation. We formalize and extend D. Haig and M. Westoby's conceptual model, and illustrate its use in guiding research on the evolutionary consequences of pollen limitation, i.e., whether plants evolve or have evolved to ameliorate pollen limitation. This synthesis also reveals that we are only beginning to understand when and how pollen limitation at the plant level translates into effects on plant population dynamics. We highlight the need for both theoretical and empirical approaches to gain a deeper understanding of the importance of life-history characters, Allee effects, and environmental perturbations in population declines mediated by pollen limitation. Lastly, our synthesis identifies a critical need for research on potential effects of pollen limitation at the community and ecosystem levels.																		0012-9658	1939-9170		WOS:000224379600008		
J	Bailey, J; Scott-Dupree, C; Harris, R; Tolman, J; Harris, B								Contact and oral toxicity to honey bees (Apis mellifera) of agents registered for use for sweet corn insect control in Ontario, Canada								APIDOLOGIE				36	4			623	633		10.1051/apido:2005048				OCT-DEC 2005	2005	Assays were conducted to compare direct and residual contact and oral toxicities to honey bees of sweet corn insecticides and of Bt-sweet corn. Direct contact assays focusing on LC50 determined that technical grade clothianidin was most toxic, >carbofuran, >imidacloprid=spinosad, >lambda-cyhalothrin, >Bacillus thuringiensis. In residual contact assays, forager age bees were exposed to treated non-transgenic sweet corn tassels. Carbofuran treated tassels caused significant mortality up to 2 and 3 days after treatment (DAT) in 2002 and 2003, respectively. Lambda-cyhalothrin treated tassels had no impact on honey bees in 2002; in 2003, their toxicity was significantly higher than the untreated control tassels for 1 DAT. In both years, spinosad, imidacloprid and clothianidin or Bt-sweet corn tassels had no impact on honey bee mortality. Pollen collected from insecticide field treated corn and fed to honey bees had no impact on mortality.																		0044-8435	1297-9678		WOS:000235837400009		
J	Biesmeijer, J. C.; Roberts, S. P. M.; Reemer, M.; Ohlemueller, R.; Edwards, M.; Peeters, T.; Schaffers, A. P.; Potts, S. G.; Kleukers, R.; Thomas, C. D.; Settele, J.; Kunin, W. E.				Settele, Josef/A-6371-2009; Thomas, Chris D/A-1894-2012; Potts, Simon G/C-7250-2008; Potts, Simon/ABF-9221-2020; Thomas, Chris D/A-1460-2014	Settele, Josef/0000-0002-8624-4983; Thomas, Chris D/0000-0003-2822-1334; Potts, Simon G/0000-0002-2045-980X; Potts, Simon/0000-0002-2045-980X; Thomas, Chris D/0000-0003-2822-1334; Ohlemuller, Ralf/0000-0001-9102-6481			Parallel declines in pollinators and insect-pollinated plants in Britain and the Netherlands								SCIENCE				313	5785			351	354		10.1126/science.1127863				JUL 21 2006	2006	Despite widespread concern about declines in pollination services, little is known about the patterns of change in most pollinator assemblages. By studying bee and hoverfly assemblages in Britain and the Netherlands, we found evidence of declines (pre- versus post-1980) in local bee diversity in both countries; however, divergent trends were observed in hoverflies. Depending on the assemblage and location, pollinator declines were most frequent in habitat and flower specialists, in univoltine species, and/or in nonmigrants. In conjunction with this evidence, outcrossing plant species that are reliant on the declining pollinators have themselves declined relative to other plant species. Taken together, these findings strongly suggest a causal connection between local extinctions of functionally linked plant and pollinator species.																		0036-8075	1095-9203		WOS:000239154300044	16857940	
J	Blacquiere, Tjeerd; Smagghe, Guy; van Gestel, Cornelis A. M.; Mommaerts, Veerle				Serrano, Jose/A-2854-2009; Smagghe, Guy/AAE-8914-2019	Serrano, Jose/0000-0002-1565-5216; Smagghe, Guy/0000-0001-8334-3313; van Gestel, Kees/0000-0002-5651-0208			Neonicotinoids in bees: a review on concentrations, side-effects and risk assessment								ECOTOXICOLOGY				21	4			973	992		10.1007/s10646-012-0863-x				MAY 2012	2012	Neonicotinoid insecticides are successfully applied to control pests in a variety of agricultural crops; however, they may not only affect pest insects but also non-target organisms such as pollinators. This review summarizes, for the first time, 15 years of research on the hazards of neonicotinoids to bees including honey bees, bumble bees and solitary bees. The focus of the paper is on three different key aspects determining the risks of neonicotinoid field concentrations for bee populations: (1) the environmental neonicotinoid residue levels in plants, bees and bee products in relation to pesticide application, (2) the reported side-effects with special attention for sublethal effects, and (3) the usefulness for the evaluation of neonicotinoids of an already existing risk assessment scheme for systemic compounds. Although environmental residue levels of neonicotinoids were found to be lower than acute/chronic toxicity levels, there is still a lack of reliable data as most analyses were conducted near the detection limit and for only few crops. Many laboratory studies described lethal and sublethal effects of neonicotinoids on the foraging behavior, and learning and memory abilities of bees, while no effects were observed in field studies at field-realistic dosages. The proposed risk assessment scheme for systemic compounds was shown to be applicable to assess the risk for side-effects of neonicotinoids as it considers the effect on different life stages and different levels of biological organization (organism versus colony). Future research studies should be conducted with field-realistic concentrations, relevant exposure and evaluation durations. Molecular markers may be used to improve risk assessment by a better understanding of the mode of action (interaction with receptors) of neonicotinoids in bees leading to the identification of environmentally safer compounds.																		0963-9292	1573-3017		WOS:000302800900002	22350105	
J	Brittain, Claire; Potts, Simon G.				Potts, Simon G/C-7250-2008; Potts, Simon/ABF-9221-2020	Potts, Simon G/0000-0002-2045-980X; Potts, Simon/0000-0002-2045-980X			The potential impacts of insecticides on the life-history traits of bees and the consequences for pollination								BASIC AND APPLIED ECOLOGY				12	4			321	331		10.1016/j.baae.2010.12.004				2011	2011	Maintaining the relationships between plants and pollinators is vital to ecosystem stability. Insecticides may disturb these interactions with poorly understood consequences for pollination. Community level research is essential, if we are to understand the wider effects of insecticides on a variety of pollinating taxa and the impacts on the plants they pollinate. In this article we discuss the potential effects of both the lethal and sub-lethal impacts of insecticide use in agro-ecosystems on pollination services by bees. In particular, we consider how particular life-history traits of pollinators, such as sociality and floral specialisation may be differentially affected by insecticides. We discuss how this might translate through to pollination services. We propose that a trait-based approach can give insight into the potential impacts of insecticides on plant pollinator communities.																		1439-1791	1618-0089		WOS:000293312600006		
J	Burkle, Laura A.; Marlin, John C.; Knight, Tiffany M.								Plant-Pollinator Interactions over 120 Years: Loss of Species, Co-Occurrence, and Function								SCIENCE				339	6127			1611	1615		10.1126/science.1232728				MAR 29 2013	2013	Using historic data sets, we quantified the degree to which global change over 120 years disrupted plant-pollinator interactions in a temperate forest understory community in Illinois, USA. We found degradation of interaction network structure and function and extirpation of 50% of bee species. Network changes can be attributed to shifts in forb and bee phenologies resulting in temporal mismatches, nonrandom species extinctions, and loss of spatial co-occurrences between extant species in modified landscapes. Quantity and quality of pollination services have declined through time. The historic network showed flexibility in response to disturbance; however, our data suggest that networks will be less resilient to future changes.																		0036-8075	1095-9203		WOS:000316731600050	23449999	
J	Claudianos, C.; Ranson, H.; Johnson, R. M.; Biswas, S.; Schuler, M. A.; Berenbaum, M. R.; Feyereisen, R.; Oakeshott, J. G.				Feyereisen, Rene/Y-7514-2019; Oakeshott, John G/B-5365-2009; Johnson, Reed M./H-3742-2011; Feyereisen, Rene/I-3140-2012	Feyereisen, Rene/0000-0002-9560-571X; Oakeshott, John G/0000-0001-8324-7874; Johnson, Reed M./0000-0002-2431-0180; Feyereisen, Rene/0000-0002-9560-571X; Claudianos, Charles/0000-0002-9799-9572; Ranson, Hilary/0000-0003-2332-8247			A deficit of detoxification enzymes: pesticide sensitivity and environmental response in the honeybee								INSECT MOLECULAR BIOLOGY				15	5			615	636		10.1111/j.1365-2583.2006.00672.x				OCT 2006	2006	The honeybee genome has substantially fewer protein coding genes (approximate to 11 000 genes) than Drosophila melanogaster (approximate to 13 500) and Anopheles gambiae (approximate to 14 000). Some of the most marked differences occur in three superfamilies encoding xenobiotic detoxifying enzymes. Specifically there are only about half as many glutathione-S-transferases (GSTs), cytochrome P450 monooxygenases (P450s) and carboxyl/cholinesterases (CCEs) in the honeybee. This includes 10-fold or greater shortfalls in the numbers of Delta and Epsilon GSTs and CYP4 P450s, members of which clades have been recurrently associated with insecticide resistance in other species. These shortfalls may contribute to the sensitivity of the honeybee to insecticides. On the other hand there are some recent radiations in CYP6, CYP9 and certain CCE clades in A. mellifera that could be associated with the evolution of the hormonal and chemosensory processes underpinning its highly organized eusociality.																		0962-1075	1365-2583		WOS:000241625100010	17069637	
J	Cremer, Sylvia; Armitage, Sophie A. O.; Schmid-Hempel, Paul				Cremer, Sylvia/B-2199-2013; Armitage, Sophie AO/A-6961-2012	Cremer, Sylvia/0000-0002-2193-3868; Armitage, Sophie AO/0000-0002-5561-9543			Social immunity								CURRENT BIOLOGY				17	16			R693	R702		10.1016/j.cub.2007.06.008				AUG 21 2007	2007																			0960-9822	1879-0445		WOS:000248989500026	17714663	
J	Cresswell, James E.				Serrano, Jose/A-2854-2009	Serrano, Jose/0000-0002-1565-5216			A meta-analysis of experiments testing the effects of a neonicotinoid insecticide (imidacloprid) on honey bees								ECOTOXICOLOGY				20	1			149	157		10.1007/s10646-010-0566-0				JAN 2011	2011	Honey bees provide important pollination services to crops and wild plants. The agricultural use of systemic insecticides, such as neonicotinoids, may harm bees through their presence in pollen and nectar, which bees consume. Many studies have tested the effects on honey bees of imidacloprid, a neonicotinoid, but a clear picture of the risk it poses to bees has not previously emerged, because investigations are methodologically varied and inconsistent in outcome. In a meta-analysis of fourteen published studies of the effects of imidacloprid on honey bees under laboratory and semi-field conditions that comprised measurements on 7073 adult individuals and 36 colonies, fitted dose-response relationships estimate that trace dietary imidacloprid at field-realistic levels in nectar will have no lethal effects, but will reduce expected performance in honey bees by between 6 and 20%. Statistical power analysis showed that published field trials that have reported no effects on honey bees from neonicotinoids were incapable of detecting these predicted sublethal effects with conventionally accepted levels of certainty. These findings raise renewed concern about the impact on honey bees of dietary imidacloprid, but because questions remain over the environmental relevance of predominantly laboratory-based results, I identify targets for research and provide procedural recommendations for future studies.																		0963-9292	1573-3017		WOS:000286003700016	21080222	
J	Cresswell, James E.; Page, Christopher J.; Uygun, Mehmet B.; Holmbergh, Marie; Li, Yueru; Wheeler, Jonathan G.; Laycock, Ian; Pook, Christopher J.; de Ibarra, Natalie Hempel; Smirnoff, Nick; Tyler, Charles R.				Serrano, Jose/A-2854-2009; de Ibarra, Natalie Hempel/A-1962-2013	Serrano, Jose/0000-0002-1565-5216; de Ibarra, Natalie Hempel/0000-0002-0859-8217; Pook, Chris/0000-0002-0932-1965			Differential sensitivity of honey bees and bumble bees to a dietary insecticide (imidacloprid)								ZOOLOGY				115	6			365	371		10.1016/j.zool.2012.05.003				DEC 2012	2012	Currently, there is concern about declining bee populations and the sustainability of pollination services. One potential threat to bees is the unintended impact of systemic insecticides, which are ingested by bees in the nectar and pollen from flowers of treated crops. To establish whether imidacloprid, a systemic neonicotinoid and insect neurotoxin, harms individual bees when ingested at environmentally realistic levels, we exposed adult worker bumble bees, Bombus terrestris L (Hymenoptera: Apidae), and honey bees, Apis mellifera L (Hymenoptera: Apidae), to dietary imidacloprid in feeder syrup at dosages between 0.08 and 125 mu g1(-1). Honey bees showed no response to dietary imidacloprid on any variable that we measured (feeding, locomotion and longevity). In contrast, bumble bees progressively developed over time a dose-dependent reduction in feeding rate with declines of 10-30% in the environmentally relevant range of up to 10 mu g1(-1), but neither their locomotory activity nor longevity varied with diet. To explain their differential sensitivity, we speculate that honey bees are better pre-adapted than bumble bees to feed on nectars containing synthetic alkaloids, such as imidacloprid, by virtue of their ancestral adaptation to tropical nectars in which natural alkaloids are prevalent. We emphasise that our study does not suggest that honey bee colonies are invulnerable to dietary imidacloprid under field conditions, but our findings do raise new concern about the impact of agricultural neonicotinoids on wild bumble bee populations. (C) 2012 Elsevier GmbH. All rights reserved.																		0944-2006			WOS:000313996800004	23044068	
