PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	EA	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZR	ZA	ZB	ZS	Z9	U1	U2	SN	EI	BN	UT	PM	
J	Allen, G. R.; Seeman, O. D.; Schmid-Hempel, P.; Buttermore, R. E.								Low parasite loads accompany the invading population of the bumblebee, Bombus terrestris in Tasmania								INSECTES SOCIAUX				54	1			56	63		10.1007/s00040-007-0908-y				2007	2007	In its native Europe, the bumblebee, Bombus terrestris (L.) has co-evolved with a large array of parasites whose numbers are negatively linked to the genetic diversity of the colony. In Tasmania B. terrestris was first detected in 1992 and has since spread over much of the state. In order to understand the bee's invasive success and as part of a wider study into the genetic diversity of bumblebees across Tasmania, we screened bees for co-invasions of ectoparasitic and endoparasitic mites, nematodes and micro-organisms, and searched their nests for brood parasites. The only bee parasite detected was the relatively benign acarid mite Kuzinia laevis (Dujardin) whose numbers per bee did not vary according to region. Nests supported no brood parasites, but did contain the pollen-feeding life stages of K. laevis. Upon summer-autumn collected drones and queens, mites were present on over 80% of bees, averaged ca. 350-400 per bee and were more abundant on younger bees. Nest searching spring queens had similar mite numbers to those collected in summer-autumn but mite numbers dropped significantly once spring queens began foraging for pollen. The average number of mites per queen bee was over 30 fold greater than that reported in Europe. Mite incidence and mite numbers were significantly lower on worker bees than drones or queens, being present on just 51% of bees and averaging 38 mites per bee. Our reported incidence of worker bee parasitism by this mite is 5-50 times higher than reported in Europe. That only one parasite species co-invaded Tasmania supports the notion that a small number of queens founded the Tasmanian population. However, it is clearly evident that both the bee in the absence of parasites, and the mite have been extraordinarily successful invaders.																		0020-1812	1420-9098		WOS:000244565300010		
J	Arbetman, Marina P.; Meeus, Ivan; Morales, Carolina L.; Aizen, Marcelo A.; Smagghe, Guy				Arbetman, Marina/V-6886-2019; Smagghe, Guy/AAE-8914-2019	Smagghe, Guy/0000-0001-8334-3313; Arbetman, Marina P./0000-0002-8382-2522; Aizen, Marcelo/0000-0001-9079-9749			Alien parasite hitchhikes to Patagonia on invasive bumblebee								BIOLOGICAL INVASIONS				15	3			489	494		10.1007/s10530-012-0311-0				MAR 2013	2013	The worldwide trade in bumblebees can lead to the spread of diseases, which in turn has been claimed as a factor in bumblebee decline. Populations of the introduced Bombus terrestris, which invaded NW Patagonia, Argentina, in 2006, harbor the highly pathogenic protozoan Apicystis bombi. We asked whether A. bombi had been co-introduced with B. terrestris, and if so, whether spillover occurred to the two resident bumblebee species in the region: the introduced European Bombus ruderatus and the native Bombus dahlbomii. We searched for A. bombi by means of PCR in samples of B. ruderatus and B. dahlbomii collected before and after the invasion of B. terrestris and in samples of the latter. We found no A. bombi in samples of B. ruderatus and B. dahlbomii collected before B. terrestris invasion, whereas post invasion, A. bombi was present in all 3 species. The identity of the parasite was established by sequencing the 18S region, which was identical for the three bumblebee species and also matched the European sequence, confirming it to be A. bombi. This is the first report of A. bombi in B. ruderatus and B. dahlbomii. Moreover, our results suggest that Patagonia had been free of A. bombi until this parasite was co-introduced with B. terrestris, and spilled over in situ to these two previously resident species. Finally, our findings provide indirect circumstantial evidence of a potential link between the population collapse and geographic retraction of B. dahlbomii and the introduction of this novel parasite.																		1387-3547	1573-1464		WOS:000315290100004		
J	Baer, B; Schmid-Hempel, P				Baer, Boris/F-5301-2011	Baer, Boris/0000-0002-1136-5967			Bumblebee workers from different sire groups vary in susceptibility to parasite infection								ECOLOGY LETTERS				6	2			106	110		10.1046/j.1461-0248.2003.00411.x				FEB 2003	2003	Female multiple mating with different males (polyandry) can be advantageous because the resulting genetic heterogeneity among offspring reduces the effects of parasitism. However, the underlying assumption that offspring fathered by different males vary in their susceptibility to parasites is so far only supported indirectly. Here we tested this crucial assumption using data from a study on the bumblebee Bombus terrestris L. with queens inseminated with sperm of either one or several males that originated from different sire groups (i.e. groups of brothers). We found that, under field conditions, workers from different sire groups, forming a patriline within a given colony, indeed differ in their susceptibility to the common intestinal parasite, Crithidia bombi , and do so independently of queen mating frequency.																		1461-023X			WOS:000180394400006		
J	Baer, B; Schmid-Hempel, P				Baer, Boris/F-5301-2011	Baer, Boris/0000-0002-1136-5967			Experimental variation in polyandry affects parasite loads and fitness in a bumble-bee								NATURE				397	6715			151	154						JAN 14 1999	1999	In many species of animals, females typically mate with more than one male (polyandry). Some social insects carry this behaviour to extremes(1). For example, honeybee queens mate with ten to twenty (car even more) males on their nuptial flights(2). The reasons for this behaviour remain unknown, given the obvious costs of time, energy and exposure to predation. Several potential benefits of polyandry have been proposed(1,3,4), but none are well supported yet. Here we test the hypothesis that genetic diversity among a female's offspring may offer some protection from parasitism(5-7). We artificially inseminated queens of a bumble-bee (Bombus terrestris L.) with sperm of either low or high genetic diversity. The resulting colonies were exposed to parasitism under field conditions. High-diversity colonies had fewer parasites and showed greater reproductive success, on average, than did low-diversity colonies. We suggest that female mating frequency may be influenced in part by parasites.																		0028-0836			WOS:000078085000043		
J	Balloux, F; Lugon-Moulin, N				Balloux, Francois/D-4783-2009; Balloux, Francois/X-7856-2019	Balloux, Francois/0000-0003-1978-7715; Balloux, Francois/0000-0003-1978-7715			The estimation of population differentiation with microsatellite markers								MOLECULAR ECOLOGY				11	2			155	165		10.1046/j.0962-1083.2001.01436.x				FEB 2002	2002	Microsatellite markers are routinely used to investigate the genetic structuring of natural populations. The knowledge of how genetic variation is partitioned among populations may have important implications not only in evolutionary biology and ecology, but also in conservation biology. Hence, reliable estimates of population differentiation are crucial to understand the connectivity among populations and represent important tools to develop conservation strategies. The estimation of differentiation is c from Wright's F-ST and/or Slatkin's R-ST, an F-ST-analogue assuming a stepwise mutation model. Both these statistics have their drawbacks. Furthermore, there is no clear consensus over their relative accuracy. In this review, we first discuss the consequences of different temporal and spatial sampling strategies on differentiation estimation. Then, we move to statistical problems directly associated with the estimation of population structuring itself, with particular emphasis on the effects of high mutation rates and mutation patterns of microsatellite loci. Finally, we discuss the biological interpretation of population structuring estimates.																		0962-1083			WOS:000173726200001	11856418	
J	Barons, Martine J.; Hanea, Anca M.; Wright, Sophia K.; Baldock, Katherine C. R.; Wilfert, Lena; Chandler, David; Datta, Samik; Fannon, Jessica; Hartfield, Chris; Lucas, Andrew; Ollerton, Jeff; Potts, Simon G.; Carreck, Norman L.				Hartfield, Chris/J-6968-2019; Hanea, Anca/AAI-5294-2020; Ollerton, Jeff/AAE-3946-2020; Barons, Martine J/AAE-8709-2020; Datta, Samik/P-2452-2019; Baldock, Katherine/J-8469-2012	Hanea, Anca/0000-0003-3870-5949; Ollerton, Jeff/0000-0002-0887-8235; Datta, Samik/0000-0003-2198-7900; Baldock, Katherine/0000-0001-6849-8747; Barons, Martine/0000-0003-1483-2943			Assessment of the response of pollinator abundance to environmental pressures using structured expert elicitation								JOURNAL OF APICULTURAL RESEARCH				57	5			593	604		10.1080/00218839.2018.1494891				OCT 20 2018	2018	Policy-makers often need to rely on experts with disparate fields of expertise when making policy choices in complex, multi-faceted, dynamic environments such as those dealing with ecosystem services. For policy-makers wishing to make evidence-based decisions which will best support pollinator abundance and pollination services, one of the problems faced is how to access the information and evidence they need, and how to combine it to formulate and evaluate candidate policies. This is even more complex when multiple factors provide influence in combination. The pressures affecting the survival and pollination capabilities of honey bees (Apis mellifera), wild bees, and other pollinators are well documented, but incomplete. In order to estimate the potential effectiveness of various candidate policy choices, there is an urgent need to quantify the effect of various combinations of factors on the pollination ecosystem service. Using high-quality experimental evidence is the most robust approach, but key aspects of the system may not be amenable to experimentation or may be prohibitive based on cost, time and effort. In such cases, it is possible to obtain the required evidence by using structured expert elicitation, a method for quantitatively characterizing the state of knowledge about an uncertain quantity. Here we report and discuss the outputs of the novel use of a structured expert elicitation, designed to quantify the probability of good pollinator abundance given a variety of weather, disease, and habitat scenarios.																		0021-8839	2078-6913		WOS:000448429100001		
J	Birmingham, AL; Hoover, SE; Winston, ML; Ydenberg, RC								Drifting bumble bee (Hymenoptera : Apidae) workers in commercial greenhouses may be social parasites								CANADIAN JOURNAL OF ZOOLOGY				82	12			1843	1853		10.1139/Z04-181				DEC 2004	2004	Commercial greenhouses require high densities of managed bumble bee (Bombus occidentalis Greene, 1858 and Bombus impatiens Cresson, 1863) colonies to pollinate crops such as tomatoes (Lycopersicon esculentum Miller). We examined drifting, a behavioural consequence of introducing closely aggregated colonies into greenhouse habitats, to determine possible explanations for observed drifting frequencies. Bee drift is normally associated with increased individual mortality and disease transfer between colonies. In this study, individual bees frequently drifted into and remained within foreign colonies. More drifting bees were found in colonies with higher worker and brood populations and greater pollen stores. Increased intracolony aggressive interactions were not associated with a higher number of drifting bees. Drifting bees had a significantly greater number of mature eggs in their ovaries than did resident worker bees residing in colonies hosting drifters, suggesting that drifting could potentially increase the fitness of individual worker bees and may not be solely a function of disorientation and (or) nectar robbing. Taken together, our results suggest that drifting of workers into foreign colonies within greenhouses may demonstrate a predisposition to social parasitism. This selfish worker reproduction challenges our previous understanding of social insect societies as being cooperative societies.																		0008-4301	1480-3283		WOS:000227871500002		
J	Birmingham, AL; Winston, ML								Orientation and drifting behaviour of bumblebees (Hymenoptera : Apidae) in commercial tomato greenhouses								CANADIAN JOURNAL OF ZOOLOGY-REVUE CANADIENNE DE ZOOLOGIE				82	1			52	59		10.1139/Z03-201				JAN 2004	2004	A novel environment lacking in directional cues may present orientation challenges to foraging bees. We examined orientation and drifting behaviour of Bombus occidentalis Greene and Bombus impatiens Cresson, the two major bumblebee pollinators of greenhouse tomatoes in British Columbia. Our objectives were to establish the extent and frequency of bee drift into foreign colonies and to examine the potential of nest entrance patterns and landmarks to reduce drift in commercial greenhouses. On average, 28% of marked bumblebees drifted into foreign hives, making up 0.3%-34.8% of the population in those colonies. Bees drifted towards the top position when hives were vertically stacked. The use of simple black and white patterns and large landmarks did not affect the number of drifting bees, suggesting that disorientation is not a major contributor to drift or to the substantial loss of adult bees from colonies during their first week in a greenhouse. Bees had decreased foraging times when landmarks were present in the greenhouse and showed a marginally but not significantly increased rate of pollen input to colonies. These studies contribute to understanding bumblebee behaviour in a novel environment and determining whether orientation cues are feasible management options to reduce drift and potential bee loss.																		0008-4301			WOS:000220803800006		
J	Brown, Mark J. F.								CONSERVATION The trouble with bumblebees								NATURE				469	7329			169	170		10.1038/469169a				JAN 13 2011	2011																			0028-0836	1476-4687		WOS:000286143400026	21228865	
J	Brown, MJF; Schmid-Hempel, R; Schmid-Hempel, P				Brown, Mark/E-7644-2010				Strong context-dependent virulence in a host-parasite system: reconciling genetic evidence with theory								JOURNAL OF ANIMAL ECOLOGY				72	6			994	1002		10.1046/j.1365-2656.2003.00770.x				NOV 2003	2003	1. Parasites can have dramatic effects on the ecology of their hosts. Such strong host-parasite interactions are the result of either parasites with generally high virulence, or generally benign parasites that nevertheless express context-dependent virulence. Theoretically, one indication that an apparently benign parasite nevertheless has a large impact on its host should be the existence of strong genotypic interactions between host and parasite.2. Crithidia bombi (Trypanosomatidae) is a highly prevalent but generally benign gut parasite of the bumble-bee Bombus terrestris. The demonstration of strong genotypic interactions between C. bombi and B. terrestris, however, suggests that context-dependent virulence may have a large impact on the host population. We thus investigated the effects of C. bombi across the entire life cycle of its host, including the stressful times of hibernation and colony-founding. Owing to the high prevalence and rates of transmission of the parasite in field populations, we used a large-scale laboratory experiment.3. Under stressful hibernation, infected queens lost more mass. Infection also significantly reduced colony-founding success, colony size, male production and overall fitness, by up to 40%. These findings show that strong genotypic host-parasite interactions may indeed be a reliable indicator that apparently benign and highly prevalent parasites are nevertheless exerting a dramatic impact on their host populations.																		0021-8790	1365-2656		WOS:000186432900009		
J	Cameron, Sydney A.; Lim, Haw Chuan; Lozier, Jeffrey D.; Duennes, Michelle A.; Thorp, Robbin								Test of the invasive pathogen hypothesis of bumble bee decline in North America								PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA				113	16			4386	4391		10.1073/pnas.1525266113				APR 19 2016	2016	Emergent fungal diseases are critical factors in global biodiversity declines. The fungal pathogen Nosema bombi was recently found to be widespread in declining species of North American bumble bees (Bombus), with circumstantial evidence suggesting an exotic introduction from Europe. This interpretation has been hampered by a lack of knowledge of global genetic variation, geographic origin, and changing prevalence patterns of N. bombi in declining North American populations. Thus, the temporal and spatial emergence of N. bombi and its potential role in bumble bee decline remain speculative. We analyze Nosema prevalence and genetic variation in the United States and Europe from 1980, before an alleged introduction in the early 1990s, to 2011, extracting Nosema DNA from Bombus natural history collection specimens from across this time period. Nosema bombi prevalence increased significantly from low detectable frequency in the 1980s to significantly higher frequency in the mid-to late-1990s, corresponding to a period of reported massive infectious outbreak of N. bombi in commercial bumble bee rearing stocks in North America. Despite the increased frequency, we find no conclusive evidence of an exotic N. bombi origin based on genetic analysis of global Nosema populations; the widespread Nosema strain found currently in declining United States bumble bees was present in the United States before commercial colony trade. Notably, the US N. bombi is not detectably different from that found predominantly throughout Western Europe, with both regions characterized by low genetic diversity compared with high levels of diversity found in Asia, where commercial bee breeding activities are low or nonexistent.																		0027-8424			WOS:000374393800050	27044096	
J	Cameron, Sydney A.; Lozier, Jeffrey D.; Strange, James P.; Koch, Jonathan B.; Cordes, Nils; Solter, Leellen F.; Griswold, Terry L.				Koch, Jonathan/AAH-4591-2020	Koch, Jonathan/0000-0002-6654-7370; Griswold, Terry/0000-0003-3952-9393; Strange, James/0000-0002-9612-6868			Patterns of widespread decline in North American bumble bees								PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA				108	2			662	667		10.1073/pnas.1014743108				JAN 11 2011	2011	Bumble bees (Bombus) are vitally important pollinators of wild plants and agricultural crops worldwide. Fragmentary observations, however, have suggested population declines in several North American species. Despite rising concern over these observations in the United States, highlighted in a recent National Academy of Sciences report, a national assessment of the geographic scope and possible causal factors of bumble bee decline is lacking. Here, we report results of a 3-y interdisciplinary study of changing distributions, population genetic structure, and levels of pathogen infection in bumble bee populations across the United States. We compare current and historical distributions of eight species, compiling a database of >73,000 museum records for comparison with data from intensive nationwide surveys of >16,000 specimens. We show that the relative abundances of four species have declined by up to 96% and that their surveyed geographic ranges have contracted by 23-87%, some within the last 20 y. We also show that declining populations have significantly higher infection levels of the microsporidian pathogen Nosema bombi and lower genetic diversity compared with co-occurring populations of the stable (nondeclining) species. Higher pathogen prevalence and reduced genetic diversity are, thus, realistic predictors of these alarming patterns of decline in North America, although cause and effect remain uncertain.																		0027-8424			WOS:000286097700045	21199943	
J	Carvell, Claire; Roy, David B.; Smart, Simon M.; Pywell, Richard F.; Preston, Chris D.; Goulson, Dave				Carvell, Claire/G-3168-2012; smart, simon M/I-6089-2012; Pywell, Richard F/E-8738-2010; Preston, Christopher/F-6952-2010; Roy, David/A-6619-2009; Goulson, David/A-2462-2010	Pywell, Richard F/0000-0001-6431-9959; Roy, David/0000-0002-5147-0331; Goulson, David/0000-0003-4421-2876; smart, simon/0000-0003-2750-7832			Declines in forage availability for bumblebees at a national scale								BIOLOGICAL CONSERVATION				132	4			481	489		10.1016/j.biocon.2006.05.008				OCT 2006	2006	We assessed national scale changes in the forage plants of bumblebees in Britain, as a means of providing quantitative evidence for the likely principal cause of declines in bumblebee species. We quantified the relative value of native and long-established plant species as forage (nectar and pollen) resources for bumblebees by collating visitation data from 14 field sites across Britain. Twentieth Century changes in range and frequency of these forage plants were assessed using data from the New Atlas of the British and Irish Flora (1930-1969 to 1987-1999) and the Countryside Surveys of Britain (1978-1998). Forage plants declined in both large-scale range and local-scale frequency between the two survey periods. These changes were of greater magnitude than changes in other native plant species, reflecting serious reductions in quality of foraging habitats for bees as well as a general decline in insect-pollinated plants. Seventy-six percent of forage plants declined in frequency within 1-km squares, including those (e.g. Trifolium pratense) of particular value for threatened bumblebee species. We consider how our findings relate to other recorded changes in the British flora, how they may help to explain declines in bumblebees and how they could contribute to a conservation strategy. (c) 2006 Elsevier Ltd. All rights reserved.																		0006-3207	1873-2917		WOS:000241348900007		
J	Chittka, L; Ings, TC; Raine, NE				Ings, Thomas C/J-3439-2012; Chittka, Lars/C-3110-2012; Raine, Nigel/AAK-6425-2020	Ings, Thomas C/0000-0002-7496-1977; Chittka, Lars/0000-0001-8153-1732; Raine, Nigel/0000-0001-6343-2829			Chance and adaptation in the evolution of island bumblebee behaviour								POPULATION ECOLOGY				46	3			243	251		10.1007/s10144-004-0180-1				DEC 2004	2004	We used a population biological approach to assist our understanding of the evolution of behaviour, with island bumblebees as our model system. The widespread European species Bombus terrestris occurs on all major Mediterranean, and some Atlantic islands. Bees from different populations differ in a variety of behavioural traits, including floral colour preferences, flower detection, and learning behaviour. We attempted to correlate these behavioural differences with each population's environment, but could not find straightforward adaptive explanations. We also performed reciprocal transplant studies to compare nectar foraging performance of bees from three different populations, but found that non-native bees consistently outcompeted native bees. Thus, we consider genetic drift, exaptation, and pleiotropy as possible alternative explanations to a strictly adaptive explanation for between population behavioural differences in bumblebees.					21st Symposium of the Society-of-Population-Ecology21st Symposium of the Society-of-Population-Ecology	OCT, 2003OCT, 2003	Soc Populat EcolSoc Populat Ecol	Tsukuba, JAPANTsukuba, JAPAN										1438-3896			WOS:000225977900004		
J	Colla, Sheila R.; Packer, Laurence					packer, laurence/0000-0002-1711-8203			Evidence for decline in eastern North American bumblebees (Hymenoptera : Apidae), with special focus on Bombus affinis Cresson								BIODIVERSITY AND CONSERVATION				17	6			1379	1391		10.1007/s10531-008-9340-5				JUN 2008	2008	Bumblebees (Bombus spp.) have been declining rapidly in many temperate regions of the Old World. Despite their ecological and economic importance as pollinators, North American bumblebees have not been extensively surveyed and their conservation status is largely unknown. In this study, two approaches were used to determine whether bumblebees in that region were in decline spatially and temporally. First, surveys performed in 2004-2006 in southern Ontario were compared to surveys from 1971 to 1973 in the same sites to look at changes in community composition, in one of the most bumblebee diverse areas of eastern North America. Second, the extent of range decline for a focal species (Bombus affinis Cresson) was estimated by surveying 43 sites throughout its known native range in eastern Canada and the United States. Our study documents an impoverishment of the bumblebee community in southern Ontario over the past 35 years. Bombus affinis in particular was found to have declined drastically in abundance not only in southern Ontario but throughout its native range. The loss of any bumblebee species may result in cascading impacts on native fauna and flora and reduce agricultural production. Implications for the conservation of this important group of pollinators are discussed.																		0960-3115			WOS:000256754200006		
J	Coppee, Audrey; Terzo, Michael; Valterova, Irena; Rasmont, Pierre				Valterova, Irena/H-1823-2012	Valterova, Irena/0000-0001-5723-6143			Intraspecific Variation of the Cephalic Labial Gland Secretions in Bombus terrestris (L.) (Hymenoptera: Apidae)								CHEMISTRY & BIODIVERSITY				5	12			2654	2661		10.1002/cbdv.200890219				2008	2008	Variations of secretions of the cephalic part of the labial glands from four different subspecies of Bombus terrestris, B. t. terrestris, B. t. lusitanicus, B. t. sassaricus, and B. t. dalmatinus, were investigated. 95 compounds were detected in the whole data set: 54 in B. t. terrestris, 54 in B. t. lusitanicus, 48 in B. t. sassaricus, and 44 in B. t. dalmatinus. The (E)-2,3-dihydrofarnesol is the main compound in B. t. dalmatinus and B. t. sassaricus, while it is dihydrofarnesyl dodecanoate in B. t. terrestris and B. t. lusitanicus. A principal component analysis produced a pattern showing three well distinct groups corresponding to dalmatinus, sassaricus, and terrestris+lusitanicus.																		1612-1872			WOS:000262146400006	19089823	
