PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	EA	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZR	ZA	ZB	ZS	Z9	U1	U2	SN	EI	BN	UT	PM	
J	Arena, Maria; Sgolastra, Fabio				Sgolastra, Fabio/AAG-2839-2019	Sgolastra, Fabio/0000-0002-2845-8297			A meta-analysis comparing the sensitivity of bees to pesticides								ECOTOXICOLOGY				23	3			324	334		10.1007/s10646-014-1190-1				APR 2014	2014	The honey bee Apis mellifera, the test species used in the current environmental risk assessment procedure, is generally considered as extremely sensitive to pesticides when compared to other bee species, although a quantitative approach for comparing the difference in sensitivity among bees has not yet been reported. A systematic review of the relevant literature on the topic followed by a meta-analysis has been performed. Both the contact and oral acute LD50 and the chronic LC50 reported in laboratory studies for as many substances as possible have been extracted from the papers in order to compare the sensitivity to pesticides of honey bees and other bee species (Apiformes). The sensitivity ratio R between the endpoint for the species a (A. mellifera) and the species s (bees other than A. mellifera) was calculated for a total of 150 case studies including 19 bee species. A ratio higher than 1 indicated that the species s was more sensitive to pesticides than honey bees. The meta-analysis showed a high variability of sensitivity among bee species (R from 0.001 to 2085.7), however, in approximately 95 % of the cases the sensitivity ratio was below 10. The effect of pesticides in domestic and wild bees is dependent on the intrinsic sensitivity of single bee species as well as their specific life cycle, nesting activity and foraging behaviour. Current data indicates a need for more comparative information between honey bees and non-Apis bees as well as separate pesticide risk assessment procedures for non-Apis bees.																		0963-9292	1573-3017		WOS:000333127600002	24435220	
J	Bass, Chris; Puinean, Alin M.; Zimmer, Christoph T.; Denholm, Ian; Field, Linda M.; Foster, Stephen P.; Gutbrod, Oliver; Nauen, Ralf; Slater, Russell; Williamson, Martin S.				Nauen, Ralf/AAG-5840-2019	Nauen, Ralf/0000-0002-7525-8589; Denholm, Ian/0000-0001-9797-874X; Bass, Chris/0000-0002-2590-1492; Field, Linda/0000-0002-3328-2513			The evolution of insecticide resistance in the peach potato aphid, Myzus persicae								INSECT BIOCHEMISTRY AND MOLECULAR BIOLOGY				51				41	51		10.1016/j.ibmb.2014.05.003				AUG 2014	2014	The peach potato aphid, Myzus persicae is a globally distributed crop pest with a host range of over 400 species including many economically important crop plants. The intensive use of insecticides to control this species over many years has led to populations that are now resistant to several classes of insecticide. Work spanning over 40 years has shown that M. persicae has a remarkable ability to evolve mechanisms that avoid or overcome the toxic effect of insecticides with at least seven independent mechanisms of resistance described in this species to date. The array of novel resistance mechanisms, including several 'first examples', that have evolved in this species represents an important case study for the evolution of insecticide resistance and also rapid adaptive change in insects more generally. In this review we summarise the biochemical and molecular mechanisms underlying resistance in M. persicae and the insights study of this topic has provided on how resistance evolves, the selectivity of insecticides, and the link between resistance and host plant adaptation. (C) 2014 The Authors. Published by Elsevier Ltd.																		0965-1748	1879-0240		WOS:000340314100005	24855024	
J	Biesmeijer, J. C.; Roberts, S. P. M.; Reemer, M.; Ohlemueller, R.; Edwards, M.; Peeters, T.; Schaffers, A. P.; Potts, S. G.; Kleukers, R.; Thomas, C. D.; Settele, J.; Kunin, W. E.				Settele, Josef/A-6371-2009; Thomas, Chris D/A-1894-2012; Potts, Simon G/C-7250-2008; Potts, Simon/ABF-9221-2020; Thomas, Chris D/A-1460-2014	Settele, Josef/0000-0002-8624-4983; Thomas, Chris D/0000-0003-2822-1334; Potts, Simon G/0000-0002-2045-980X; Potts, Simon/0000-0002-2045-980X; Thomas, Chris D/0000-0003-2822-1334; Ohlemuller, Ralf/0000-0001-9102-6481			Parallel declines in pollinators and insect-pollinated plants in Britain and the Netherlands								SCIENCE				313	5785			351	354		10.1126/science.1127863				JUL 21 2006	2006	Despite widespread concern about declines in pollination services, little is known about the patterns of change in most pollinator assemblages. By studying bee and hoverfly assemblages in Britain and the Netherlands, we found evidence of declines (pre- versus post-1980) in local bee diversity in both countries; however, divergent trends were observed in hoverflies. Depending on the assemblage and location, pollinator declines were most frequent in habitat and flower specialists, in univoltine species, and/or in nonmigrants. In conjunction with this evidence, outcrossing plant species that are reliant on the declining pollinators have themselves declined relative to other plant species. Taken together, these findings strongly suggest a causal connection between local extinctions of functionally linked plant and pollinator species.																		0036-8075	1095-9203		WOS:000239154300044	16857940	
J	Blacquiere, Tjeerd; Smagghe, Guy; van Gestel, Cornelis A. M.; Mommaerts, Veerle				Serrano, Jose/A-2854-2009; Smagghe, Guy/AAE-8914-2019	Serrano, Jose/0000-0002-1565-5216; Smagghe, Guy/0000-0001-8334-3313; van Gestel, Kees/0000-0002-5651-0208			Neonicotinoids in bees: a review on concentrations, side-effects and risk assessment								ECOTOXICOLOGY				21	4			973	992		10.1007/s10646-012-0863-x				MAY 2012	2012	Neonicotinoid insecticides are successfully applied to control pests in a variety of agricultural crops; however, they may not only affect pest insects but also non-target organisms such as pollinators. This review summarizes, for the first time, 15 years of research on the hazards of neonicotinoids to bees including honey bees, bumble bees and solitary bees. The focus of the paper is on three different key aspects determining the risks of neonicotinoid field concentrations for bee populations: (1) the environmental neonicotinoid residue levels in plants, bees and bee products in relation to pesticide application, (2) the reported side-effects with special attention for sublethal effects, and (3) the usefulness for the evaluation of neonicotinoids of an already existing risk assessment scheme for systemic compounds. Although environmental residue levels of neonicotinoids were found to be lower than acute/chronic toxicity levels, there is still a lack of reliable data as most analyses were conducted near the detection limit and for only few crops. Many laboratory studies described lethal and sublethal effects of neonicotinoids on the foraging behavior, and learning and memory abilities of bees, while no effects were observed in field studies at field-realistic dosages. The proposed risk assessment scheme for systemic compounds was shown to be applicable to assess the risk for side-effects of neonicotinoids as it considers the effect on different life stages and different levels of biological organization (organism versus colony). Future research studies should be conducted with field-realistic concentrations, relevant exposure and evaluation durations. Molecular markers may be used to improve risk assessment by a better understanding of the mode of action (interaction with receptors) of neonicotinoids in bees leading to the identification of environmentally safer compounds.																		0963-9292	1573-3017		WOS:000302800900002	22350105	
J	Boehme, Franziska; Bischoff, Gabriela; Zebitz, Claus P. W.; Rosenkranz, Peter; Wallner, Klaus								Pesticide residue survey of pollen loads collected by honeybees (Apis mellifera) in daily intervals at three agricultural sites in South Germany								PLOS ONE				13	7					e0199995	10.1371/journal.pone.0199995				JUL 6 2018	2018	In agricultural landscapes honeybees and other pollinators are exposed to pesticides, often surveyed by residue analysis of bee bread. However, bee bread is a mixture of pollen pellets of different plants collected over a longer time period. Therefore, pesticide content in the hive varies with plant species and time of pollen collection. Hence, the analysis of bee bread is an approximate approach to gain information on detailed pesticide exposure during the agronomic active season. As high-resolution data is missing, we carried out a pesticide residue survey over five years (2012-2016) of daily collected pollen pellets at three agricultural distinct sites in southern Germany. 281 single day pollen samples were selected and subjected to a multi-pesticide residue analysis. Pesticide contaminations of pollen differed between the sites. Intensive pesticide exposure can be seen by high pesticide concentrations as well as a high amount of different pesticides detected. During the five years of observation 73 different pesticides were found, of which 84% are characterized as non-harmful to honeybees. To estimate pesticide risks for honeybees, the pollen hazard quotient (PHQ) was calculated. Even though pesticides were detected in sublethal concentrations, we found substances not supposed to be exposed to honey bees, indicating the necessity for further improvement of seed treatments and increasing awareness of flowering shrubs, field margins and pesticide drift. Additionally, an in-depth analysis of nine pollen samples, divided into sub-fractions dominated by single plant species, revealed even higher concentrations in single crops for some pesticides. We give precise residue data of 1,657 single pesticide detections, which should be used for realistic laboratory and field tests.																		1932-6203			WOS:000437809500049	29979756	
J	Boyle, Natalie K.; Pitts-Singer, Theresa L.; Abbott, John; Alix, Anne; Cox-Foster, Diana L.; Hinarejos, Silvia; Lehmann, David M.; Morandin, Lora; O'Neill, Bridget; Raine, Nigel E.; Singh, Rajwinder; Thompson, Helen M.; Williams, Neal M.; Steeger, Thomas				Raine, Nigel/AAK-6425-2020	Raine, Nigel/0000-0001-6343-2829; Lehmann, David/0000-0003-0174-344X			Workshop on Pesticide Exposure Assessment Paradigm for Non-Apis Bees: Foundation and Summaries								ENVIRONMENTAL ENTOMOLOGY				48	1			4	11		10.1093/ee/nvy103				FEB 2019	2019	Current pesticide risk assessment practices use the honey bee, Apis mellifera L., as a surrogate to characterize the likelihood of chemical exposure of a candidate pesticide for all bee species. Bees make up a diverse insect group that provides critical pollination services to both managed and wild ecosystems. Accordingly, they display a diversity of behaviors and vary greatly in their lifestyles and phenologies, such as their timing of emergence, degree of sociality, and foraging and nesting behaviors. Some of these factors may lead to disparate or variable routes of exposure when compared to honey bees. For those that possess life histories that are distinct from A. mellifera, further risk assessments may be warranted. In January 2017, 40 bee researchers, representative of regulatory agencies, academia, and agrochemical industries, gathered to discuss the current state of science on pesticide exposure to non-Apis bees and to determine how well honey bee exposure estimates, implemented by different regulatory agencies, may be protective for non-Apis bees. Workshop participants determined that although current risk assessment procedures for honey bees are largely conservative, several routes of exposure are unique to non-Apis bees and warranted further investigation. In this forum article, we discuss these key routes of exposure relevant to non-Apis bees and identify important research gaps that can help inform future bee risk assessment decisions.																		0046-225X	1938-2936		WOS:000462575300002	30508116	
J	Cameron, Sydney A.; Lozier, Jeffrey D.; Strange, James P.; Koch, Jonathan B.; Cordes, Nils; Solter, Leellen F.; Griswold, Terry L.				Koch, Jonathan/AAH-4591-2020	Koch, Jonathan/0000-0002-6654-7370; Griswold, Terry/0000-0003-3952-9393; Strange, James/0000-0002-9612-6868			Patterns of widespread decline in North American bumble bees								PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA				108	2			662	667		10.1073/pnas.1014743108				JAN 11 2011	2011	Bumble bees (Bombus) are vitally important pollinators of wild plants and agricultural crops worldwide. Fragmentary observations, however, have suggested population declines in several North American species. Despite rising concern over these observations in the United States, highlighted in a recent National Academy of Sciences report, a national assessment of the geographic scope and possible causal factors of bumble bee decline is lacking. Here, we report results of a 3-y interdisciplinary study of changing distributions, population genetic structure, and levels of pathogen infection in bumble bee populations across the United States. We compare current and historical distributions of eight species, compiling a database of >73,000 museum records for comparison with data from intensive nationwide surveys of >16,000 specimens. We show that the relative abundances of four species have declined by up to 96% and that their surveyed geographic ranges have contracted by 23-87%, some within the last 20 y. We also show that declining populations have significantly higher infection levels of the microsporidian pathogen Nosema bombi and lower genetic diversity compared with co-occurring populations of the stable (nondeclining) species. Higher pathogen prevalence and reduced genetic diversity are, thus, realistic predictors of these alarming patterns of decline in North America, although cause and effect remain uncertain.																		0027-8424			WOS:000286097700045	21199943	
J	Carvalho, Fernando P.					Carvalho, Fernando da Piedade/0000-0002-6639-6138			Pesticides, environment, and food safety								FOOD AND ENERGY SECURITY				6	2			48	60		10.1002/fes3.108				MAY 2017	2017	Agrochemicals have enabled to more than duplicate food production during the last century, and the current need to increase food production to feed a rapid growing human population maintains pressure on the intensive use of pesticides and fertilizers. However, worldwide surveys have documented the contamination and impact of agrochemical residues in soils, and terrestrial and aquatic ecosystems including coastal marine systems, and their toxic effects on humans and nonhuman biota. Although persistent organic chemicals have been phased out and replaced by more biodegradable chemicals, contamination by legacy residues and recent residues still impacts on the quality of human food, water, and environment. Current and future increase in food production must go along with production of food with better quality and with less toxic contaminants. Alternative paths to the intensive use of crop protection chemicals are open, such as genetically engineered organisms, organic farming, change of dietary habits, and development of food technologies. Agro industries need to further develop advanced practices to protect public health, which requires more cautious use of agrochemicals through prior testing, careful risk assessment, and licensing, but also through education of farmers and users in general, measures for better protection of ecosystems, and good practices for sustainable development of agriculture, fisheries, and aquaculture. Enhanced scientific research for new developments in food production and food safety, as well as for environmental protection, is a necessary part of this endeavor. Furthermore, worldwide agreement on good agriculture practices, including development of genetically modified organisms (GMOs) and their release for international agriculture, may be urgent to ensure the success of safe food production.																		2048-3694			WOS:000403258500003		
J	Casado, Jorge; Brigden, Kevin; Santillo, David; Johnston, Paul					Casado, Jorge/0000-0003-3960-068X			Screening of pesticides and veterinary drugs in small streams in the European Union by liquid chromatography high resolution mass spectrometry								SCIENCE OF THE TOTAL ENVIRONMENT				670				1204	1225		10.1016/j.scitotenv.2019.03.207				JUN 20 2019	2019	Water samples from 29 small waterways located in 10 different countries in the European Union were screened for the presence of a large number of pesticides (275) and veterinary drugs (101). Solid phase extraction was combined with liquid chromatography coupled to Orbitrap high resolution tandem mass spectrometry to quantify the levels of pesticides in the samples and to detect the presence of veterinary drugs. All the sampled European rivers and canals included in this investigation were contaminated with mixtures of pesticides and, in most of the cases, with several veterinary drugs at the time of sampling, without a clear national or regional pattern. In total, 103 different pesticides, 24 of them banned in the EU, and 21 veterinary drugs were found in the analysed samples.Herbicides were the main contributor to the total amount of pesticides found in the samples, with terbuthylazine present in all the samples. The maximum individual concentration recorded was of dimethenamid at 59.85 mu g L-1. The maximum combined pesticide concentration was found in a sample from the Wulfdambeek canal. Belgium, with 94.02 mu g L-1 comprised of a mixture of 70 different pesticides. European regulatory standards defining acceptable concentration levels were exceeded for at least one pesticide in 13 of the 29 samples analysed, with the neonicotinoid insecticides imidadoprid and dothianidin most frequently present above such limits.The majority of the veterinary drugs detected were antimicrobials, most being antibiotics. The beta-lactarn antibiotic didoxacillin was present in two thirds of the analysed samples.The application of this consistent research approach across Europe allowed the identification of a significant threat to the aquatic environment associated with pesticide contamination, and in some cases veterinary drugs, at the time of sampling in the water bodies tested. (C) 2019 Elsevier B.V. All rights reserved.																		0048-9697	1879-1026		WOS:000464681800119	31018436	
J	Chan, D. Susan Willis; Prosser, Ryan S.; Rodriguez-Gil, Jose L.; Raine, Nigel E.				Raine, Nigel/AAK-6425-2020; Rodriguez-Gil, Jose Luis/B-3479-2010	Raine, Nigel/0000-0001-6343-2829; Rodriguez-Gil, Jose Luis/0000-0001-9325-9131			Assessment of risk to hoary squash bees (Peponapis pruinosa) and other ground-nesting bees from systemic insecticides in agricultural soil								SCIENTIFIC REPORTS				9						11870	10.1038/s41598-019-47805-1				AUG 14 2019	2019	Using the hoary squash bee (Peponapis pruinosa) as a model, we provide the first probabilistic risk assessment of exposure to systemic insecticides in soil for ground-nesting bees. To assess risk in acute and chronic exposure scenarios in Cucurbita and field crops, concentrations of clothianidin, thiamethoxam and imidacloprid (neonicotinoids) and chlorantraniliprole (anthranilic diamide) in cropped soil were plotted to produce an environmental exposure distribution for each insecticide. The probability of exceedance of several exposure endpoints (LC(50)s) was compared to an acceptable risk threshold (5%). In Cucurbita crops, under acute exposure, risk to hoary squash bees was below 5% for honey bee LC50s for all residues evaluated but exceeded 5% for clothianidin and imidacloprid using a solitary bee LC50. For Cucurbita crops in the chronic exposure scenario, exposure risks for clothianidin and imidacloprid exceeded 5% for all endpoints, and exposure risk for chlorantraniliprole was below 5% for all endpoints. In field crops, risk to ground-nesting bees was high from clothianidin in all exposure scenarios and high for thiamethoxam and imidacloprid under chronic exposure scenarios. Risk assessments for ground-nesting bees should include exposure impacts from pesticides in soil and could use the hoary squash bee as an ecotoxicology model.																		2045-2322			WOS:000480678300001	31413274	
