PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	EA	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZR	ZA	ZB	ZS	Z9	U1	U2	SN	EI	BN	UT	PM	
J	Abaga, Norbert Ondo Zue; Alibert, Paul; Dousset, Sylvie; Savadogo, Paul W.; Savadogo, Moussa; Sedogo, Michel								Insecticide residues in cotton soils of Burkina Faso and effects of insecticides on fluctuating asymmetry in honey bees (Apis mellifera Linnaeus)								CHEMOSPHERE				83	4			585	592		10.1016/j.chemosphere.2010.12.021				APR 2011	2011	Four insecticides (acetamiprid, cypermethrin, endosulfan and profenofos) are used quarterly in the cotton-growing areas of Burkina Faso, West Africa. These insecticides were investigated in soils collected from traditionally cultivated and new cotton areas. Also, the effects of insecticide exposure on the developmental instability of honey bees, Apis mellifera, were explored. In soil samples collected three months after insecticide treatments, endosulfan and profenofos concentrations varied in the range of 1030 mu g kg(-1) in the traditionally cultivated zones and 10-801 mu g kg(-1) in the new cotton zones, indicating a pollution of agricultural lands. However, only profenofos concentrations were significantly higher in the new cotton zone than the traditionally cultivated zones. In addition, the index of fluctuating asymmetry, FA1, in the length of second tarsus (L-HW) was increased for bees when exposed to pesticide treated cotton fields for 82 d, and their FA levels were significantly higher than those in the control colony in an orchard. The other studied traits of bees exposed to insecticides were not significantly different from controls. Our results indicate that FA may be considered as a biomarker reflecting the stress induced by insecticide treatments. However, the relationship between FA and stressors needs further investigations. (C) 2010 Elsevier Ltd. All rights reserved.																		0045-6535	1879-1298		WOS:000289879500027	21190716	
J	Aizen, Marcelo A.; Harder, Lawrence D.				Harder, Lawrence/H-9715-2012	Harder, Lawrence/0000-0002-2303-5076; Aizen, Marcelo/0000-0001-9079-9749			The Global Stock of Domesticated Honey Bees Is Growing Slower Than Agricultural Demand for Pollination								CURRENT BIOLOGY				19	11			915	918		10.1016/j.cub.2009.03.071				JUN 9 2009	2009	The prospect that a global pollination crisis currently threatens agricultural productivity has drawn intense recent interest among scientists, politicians, and the general public [1-5]. To date, evidence for a global crisis has been drawn from regional or local declines in pollinators themselves [6-9] or insufficient pollination for particular crops [9, 10]. In contrast, our analysis of Food and Agriculture Organization (FAO) [11] data reveals that the global population of managed honey-bee hives has increased similar to 45% during the last half century and suggests that economic globalization, rather than biological factors, drives both the dynamics of the global managed honey-bee population and increasing demands for agricultural pollination services [12]. Nevertheless, available data also reveal a much more rapid (>300%) increase in the fraction of agriculture that depends on animal pollination during the last half century, which may be stressing global pollination capacity. Although the primary cause of the accelerating increase of the pollinator dependence of commercial agriculture seems to be economic and political and not biological, the rapid expansion of cultivation of many pollinator-dependent crops has the potential to trigger future pollination problems for both these crops and native species in neighboring areas. Such environmental costs merit consideration during the development of agriculture and conservation policies.																		0960-9822	1879-0445		WOS:000266891900024	19427214	
J	Alaux, Cedric; Brunet, Jean-Luc; Dussaubat, Claudia; Mondet, Fanny; Tchamitchan, Sylvie; Cousin, Marianne; Brillard, Julien; Baldy, Aurelie; Belzunces, Luc P.; Le Conte, Yves				Mondet, Fanny/X-2963-2018; Fanny, Mondet/N-7529-2014; , Belzunces/P-7061-2019; Le Conte, Yves M/B-3246-2016; Le Conte, Yves/M-4442-2018; Alaux, Cedric/B-4667-2013	, Belzunces/0000-0003-1798-9962; Le Conte, Yves M/0000-0002-8466-5370; Le Conte, Yves/0000-0002-8466-5370; Tchamitchian, Marc/0000-0002-9251-2403; Alaux, Cedric/0000-0002-3045-2599			Interactions between Nosema microspores and a neonicotinoid weaken honeybees (Apis mellifera)								ENVIRONMENTAL MICROBIOLOGY				12	3			774	782		10.1111/j.1462-2920.2009.02123.x				MAR 2010	2010	P>Global pollinators, like honeybees, are declining in abundance and diversity, which can adversely affect natural ecosystems and agriculture. Therefore, we tested the current hypotheses describing honeybee losses as a multifactorial syndrome, by investigating integrative effects of an infectious organism and an insecticide on honeybee health. We demonstrated that the interaction between the microsporidia Nosema and a neonicotinoid (imidacloprid) significantly weakened honeybees. In the short term, the combination of both agents caused the highest individual mortality rates and energetic stress. By quantifying the strength of immunity at both the individual and social levels, we showed that neither the haemocyte number nor the phenoloxidase activity of individuals was affected by the different treatments. However, the activity of glucose oxidase, enabling bees to sterilize colony and brood food, was significantly decreased only by the combination of both factors compared with control, Nosema or imidacloprid groups, suggesting a synergistic interaction and in the long term a higher susceptibility of the colony to pathogens. This provides the first evidences that interaction between an infectious organism and a chemical can also threaten pollinators, interactions that are widely used to eliminate insect pests in integrative pest management.																		1462-2912	1462-2920		WOS:000274942300019	20050872	
J	Alburaki, Mohamed; Boutin, Sebastien; Mercier, Pierre-Luc; Loublier, Yves; Chagnon, Madeleine; Derome, Nicolas					Boutin, Sebastien/0000-0002-0499-2460; Alburaki, Mohamed/0000-0003-4441-9391			Neonicotinoid-Coated Zea mays Seeds Indirectly Affect Honeybee Performance and Pathogen Susceptibility in Field Trials								PLOS ONE				10	5					e0125790	10.1371/journal.pone.0125790				MAY 18 2015	2015	Thirty-two honeybee (Apis mellifera) colonies were studied in order to detect and measure potential in vivo effects of neonicotinoid pesticides used in cornfields (Zea mays spp) on honeybee health. Honeybee colonies were randomly split on four different agricultural cornfield areas located near Quebec City, Canada. Two locations contained cornfields treated with a seed-coated systemic neonicotinoid insecticide while the two others were organic cornfields used as control treatments. Hives were extensively monitored for their performance and health traits over a period of two years. Honeybee viruses (brood queen cell virus BQCV, deformed wing virus DWV, and Israeli acute paralysis virus IAPV) and the brain specific expression of a biomarker of host physiological stress, the Acetylcholinesterase gene AChE, were investigated using RT-qPCR. Liquid chromatography-mass spectrometry (LC-MS) was performed to detect pesticide residues in adult bees, honey, pollen, and corn flowers collected from the studied hives in each location. In addition, general hive conditions were assessed by monitoring colony weight and brood development. Neonicotinoids were only identified in corn flowers at low concentrations. However, honeybee colonies located in neonicotinoid treated cornfields expressed significantly higher pathogen infection than those located in untreated cornfields. AChE levels showed elevated levels among honeybees that collected corn pollen from treated fields. Positive correlations were recorded between pathogens and the treated locations. Our data suggests that neonicotinoids indirectly weaken honeybee health by inducing physiological stress and increasing pathogen loads.																		1932-6203			WOS:000354917300026	25993642	
J	Arena, Maria; Sgolastra, Fabio				Sgolastra, Fabio/AAG-2839-2019	Sgolastra, Fabio/0000-0002-2845-8297			A meta-analysis comparing the sensitivity of bees to pesticides								ECOTOXICOLOGY				23	3			324	334		10.1007/s10646-014-1190-1				APR 2014	2014	The honey bee Apis mellifera, the test species used in the current environmental risk assessment procedure, is generally considered as extremely sensitive to pesticides when compared to other bee species, although a quantitative approach for comparing the difference in sensitivity among bees has not yet been reported. A systematic review of the relevant literature on the topic followed by a meta-analysis has been performed. Both the contact and oral acute LD50 and the chronic LC50 reported in laboratory studies for as many substances as possible have been extracted from the papers in order to compare the sensitivity to pesticides of honey bees and other bee species (Apiformes). The sensitivity ratio R between the endpoint for the species a (A. mellifera) and the species s (bees other than A. mellifera) was calculated for a total of 150 case studies including 19 bee species. A ratio higher than 1 indicated that the species s was more sensitive to pesticides than honey bees. The meta-analysis showed a high variability of sensitivity among bee species (R from 0.001 to 2085.7), however, in approximately 95 % of the cases the sensitivity ratio was below 10. The effect of pesticides in domestic and wild bees is dependent on the intrinsic sensitivity of single bee species as well as their specific life cycle, nesting activity and foraging behaviour. Current data indicates a need for more comparative information between honey bees and non-Apis bees as well as separate pesticide risk assessment procedures for non-Apis bees.																		0963-9292	1573-3017		WOS:000333127600002	24435220	
J	Banks, John E.; Stark, John D.; Vargas, Roger I.; Ackleh, Azmy S.				Banks, John E./AAN-2300-2020	Banks, John E./0000-0001-6793-7613			Deconstructing the surrogate species concept: a life history approach to the protection of ecosystem services								ECOLOGICAL APPLICATIONS				24	4			770	778		10.1890/13-0937.1				JUN 2014	2014	The use of the surrogate species concept is widespread in environmental risk assessment and in efforts to protect species that provide ecosystem services, yet there are no standard protocols for the choice of surrogates. Surrogates are often chosen on the basis of convenience or vague resemblances in physiology or life history to species of concern. Furthermore, our ability to predict how species of concern will fare when subjected to disturbances such as environmental contaminants or toxicants is often based on woefully misleading comparisons of static toxicity tests. Here we present an alternative approach that features a simple mathematical model parameterized with life history data applied to an assemblage of species that provide an important ecosystem service: a suite of parasitoid wasps that provide biological control of agricultural pests. Our results indicate that these parasitoid wasp species have different population responses to toxic insult-that is, we cannot predict how all four species will react to pesticide exposure simply by extrapolating from the response of any one species. Furthermore, sensitivity analysis of survivorship and reproduction demonstrates that the life stage most sensitive to pesticide disturbance varies among species. Taken together, our results suggest that the ability to predict the fate of a suite of species using the response of just one species (the surrogate species concept) is widely variable and potentially misleading.																		1051-0761	1939-5582		WOS:000337117400014	24988775	
J	Barbosa, Wagner F.; Smagghe, Guy; Guedes, Raul Narciso C.				Serrano, Jose/A-2854-2009; Barbosa, Wagner Faria/F-9531-2015; Smagghe, Guy/AAE-8914-2019; Guedes, Raul Narciso Carvalho/L-3924-2013	Serrano, Jose/0000-0002-1565-5216; Barbosa, Wagner Faria/0000-0001-8725-2099; Smagghe, Guy/0000-0001-8334-3313; Guedes, Raul Narciso Carvalho/0000-0001-6229-7549			Pesticides and reduced-risk insecticides, native bees and pantropical stingless bees: pitfalls and perspectives								PEST MANAGEMENT SCIENCE				71	8			1049	1053		10.1002/ps.4025				AUG 2015	2015	Although invertebrates generally have a low public profile, the honey bee, Apis mellifera L., is a flagship species whose popularity likely derives from the products it provides and its perceived ecological services. Therefore, the raging debate regarding honey bee decline has surpassed the realm of beekeepers, academia, industry and regulatory agencies and now also encompasses non-governmental agencies, media, fiction writers and the general public. The early interest and concern about honey bee colony collapse disorder (CCD) soon shifted to the bigger issue of pollinator decline, with a focus on the potential involvement of pesticides in such a phenomenon. Pesticides were previously recognised as the potential culprits of the reported declines, particularly the neonicotinoid insecticides owing to their widespread and peculiar use in agriculture. However, the evidence for the potential pivotal role of these neonicotinoids in honey bee decline remains a matter of debate, with an increased recognition of the multifactorial nature of the problem and the lack of a direct association between the noted decline and neonicotinoid use. The focus on the decline of honey bee populations subsequently spread to other species, and bumblebees became another matter of concern, particularly in Europe and the United States. Other bee species, ones that are particularly important in other regions of the world, remain the object of little concern (unjustifiably so). Furthermore, the continuous focus on neonicotinoids is also in need of revision, as the current evidence suggests that a broad spectrum of compounds deserve attention. Here we address both shortcomings. (c) 2015 Society of Chemical Industry																		1526-498X	1526-4998		WOS:000357597400001	25892651	
J	Becher, Matthias A.; Grimm, Volker; Thorbek, Pernille; Horn, Juliane; Kennedy, Peter J.; Osborne, Juliet L.				Osborne, Juliet L/I-6776-2012				BEEHAVE: a systems model of honeybee colony dynamics and foraging to explore multifactorial causes of colony failure								JOURNAL OF APPLIED ECOLOGY				51	2			470	482		10.1111/1365-2664.12222				APR 2014	2014	A notable increase in failure of managed European honeybee Apis mellifera L. colonies has been reported in various regions in recent years. Although the underlying causes remain unclear, it is likely that a combination of stressors act together, particularly varroa mites and other pathogens, forage availability and potentially pesticides. It is experimentally challenging to address causality at the colony scale when multiple factors interact. In silico experiments offer a fast and cost-effective way to begin to address these challenges and inform experiments. However, none of the published bee models combine colony dynamics with foraging patterns and varroa dynamics. We have developed a honeybee model, BEEHAVE, which integrates colony dynamics, population dynamics of the varroa mite, epidemiology of varroa-transmitted viruses and allows foragers in an agent-based foraging model to collect food from a representation of a spatially explicit landscape. We describe the model, which is freely available online (). Extensive sensitivity analyses and tests illustrate the model's robustness and realism. Simulation experiments with various combinations of stressors demonstrate, in simplified landscape settings, the model's potential: predicting colony dynamics and potential losses with and without varroa mites under different foraging conditions and under pesticide application. We also show how mitigation measures can be tested.Synthesis and applications. BEEHAVE offers a valuable tool for researchers to design and focus field experiments, for regulators to explore the relative importance of stressors to devise management and policy advice and for beekeepers to understand and predict varroa dynamics and effects of management interventions. We expect that scientists and stakeholders will find a variety of applications for BEEHAVE, stimulating further model development and the possible inclusion of other stressors of potential importance to honeybee colony dynamics.BEEHAVE offers a valuable tool for researchers to design and focus field experiments, for regulators to explore the relative importance of stressors to devise management and policy advice and for beekeepers to understand and predict varroa dynamics and effects of management interventions. We expect that scientists and stakeholders will find a variety of applications for BEEHAVE, stimulating further model development and the possible inclusion of other stressors of potential importance to honeybee colony dynamics.																		0021-8901	1365-2664		WOS:000332835600020	25598549	
J	Beekman, M; Ratnieks, FLW				Beekman, Madeleine/A-3983-2011; Beekman, Madeleine/AAF-8574-2019	Beekman, Madeleine/0000-0002-9040-3756; Beekman, Madeleine/0000-0002-9040-3756			Long-range foraging by the honey-bee, Apis mellifera L.								FUNCTIONAL ECOLOGY				14	4			490	496		10.1046/j.1365-2435.2000.00443.x				AUG 2000	2000	1. Waggle dances of honey-bees (Apis mellifera L.) were decoded to determine where and how far the bees foraged during the blooming of heather (Calluna vulgaris L.) in August 1996 using a hive located in Sheffield, UK, east of the heather moors. The median distance foraged was 6.1 km, and the mean 5.5 km. Only 10% of the bees foraged within 0.5 km of the hive whereas 50% went more than 6 km, 25% more than 7.5 km and 10% more than 9.5 km from the hive.2. These results are in sharp contrast with previous studies in which foraging distances were much closer to the hive. In May 1997 the mean foraging distance was 1 km, showing that long-range dancing is not the rule in Sheffield.3. The observed foraging distances described in this study may not be exceptional in a patchy environment where differences in patch size and patch quality are large. When travel distances to patches are large, distant patches can probably be utilized only by individuals that live in groups and recruit foragers to the patches found. Only then are the benefits of scouting for distant patches high enough to enable the exploitation of these patches.																		0269-8463	1365-2435		WOS:000089054800011		
J	Biddinger, David J.; Robertson, Jacqueline L.; Mullin, Chris; Frazier, James; Ashcraft, Sara A.; Rajotte, Edwin G.; Joshi, Neelendra K.; Vaughn, Mace				Serrano, Jose/A-2854-2009	Serrano, Jose/0000-0002-1565-5216			Comparative Toxicities and Synergism of Apple Orchard Pesticides to Apis mellifera (L.) and Osmia cornifrons (Radoszkowski)								PLOS ONE				8	9					e72587	10.1371/journal.pone.0072587				SEP 9 2013	2013	The topical toxicities of five commercial grade pesticides commonly sprayed in apple orchards were estimated on adult worker honey bees, Apis mellifera (L.) (Hymenoptera: Apidae) and Japanese orchard bees, Osmia cornifrons (Radoszkowski) (Hymenoptera: Megachilidae). The pesticides were acetamiprid (Assail 30SG), lambda-cyhalothrin (Warrior II), dimethoate (Dimethoate 4EC), phosmet (Imidan 70W), and imidacloprid (Provado 1.6F). At least 5 doses of each chemical, diluted in distilled water, were applied to freshly-eclosed adult bees. Mortality was assessed after 48 hr. Dose-mortality regressions were analyzed by probit analysis to test the hypotheses of parallelism and equality by likelihood ratio tests. For A. mellifera, the decreasing order of toxicity at LD50 was imidacloprid, lambda-cyhalothrin, dimethoate, phosmet, and acetamiprid. For O. cornifrons, the decreasing order of toxicity at LD50 was dimethoate, lambda-cyhalothrin, imidacloprid, acetamiprid, and phosmet. Interaction of imidacloprid or acetamiprid with the fungicide fenbuconazole (Indar 2F) was also tested in a 1:1 proportion for each species. Estimates of response parameters for each mixture component applied to each species were compared with dose-response data for each mixture in statistical tests of the hypothesis of independent joint action. For each mixture, the interaction of fenbuconazole (a material non-toxic to both species) was significant and positive along the entire line for the pesticide. Our results clearly show that responses of A. mellifera cannot be extrapolated to responses of O. cornifrons, and that synergism of neonicotinoid insecticides and fungicides occurs using formulated product in mixtures as they are commonly applied in apple orchards.																		1932-6203			WOS:000326405300014	24039783	
