PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	EA	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZR	ZA	ZB	ZS	Z9	U1	U2	SN	EI	BN	UT	PM	
J	AIZEN, MA; FEINSINGER, P					Aizen, Marcelo/0000-0001-9079-9749			HABITAT FRAGMENTATION, NATIVE INSECT POLLINATORS, AND FERAL HONEY-BEES IN ARGENTINE CHACO SERRANO								ECOLOGICAL APPLICATIONS				4	2			378	392		10.2307/1941941				MAY 1994	1994	In subtropical dry forest (Chaco Serrano) of Tucuman province, northwestem Argentina, we assessed responses of the flower-visitor assemblage to habitat fragmentation by monitoring insect visits to two spring-flowering tree species and by sampling insects with yellow pan traps. Each of four study sites contained a tract of continuous forest, one large (> 2.2 ha) forest fragment, and one small (< 1 ha) fragment, with fragments isolated for 5-20 yr preceding the study. During its respective flowering peak each tree species examined, Prosopis nigra (Mimosoideae) and Cercidium australe (Caesalpinoideae), dominated the sites' entomophilous flora.Results indicate that flower-visitor assemblages respond to landscape features on the scale of hectares; specifically, forest fragmentation in the Chaco Serrano leads to an insect flower-visitor fauna increasingly dominated by the exotic honey bee (Apis mellifera). Bees as a group made >90% of observed flower visits to both plant species. The honey bee alone made 82% of all visits to the early-flowering tree species P. nigra and 44% to the later flowering C australe. Frequency and taxon richness of native flower-visitors at both plant species declined with decreasing forest-fragment size, but frequency of honey bee visits tended to increase in complementary fashion, such that the total frequency of insect visits to flowers of either plant species varied little with fragment size. Frequencies of visits by honey bees and those by native insects were also negatively correlated across individual trees. In both plants, visits by native insects were most consistent (varied the least among plants or over time) in large forest tracts, whereas honey bee visits to C australe were most consistent in small fragments. In pan trap samples the relative frequency of honey bees increased with decreasing fragment size. Native flower-visitors sampled by pan traps increased in numbers and taxon richness both with increasing patch size and as spring progressed. Thus, fragmentation of the Chaco Serrano appears to (a) affect native flower-visitors adversely and to (b) facilitate honey bees' access to floral resources. It is not clear that these two effects are directly related to each other, however.																		1051-0761			WOS:A1994NH00100018		
J	Calver, M.C.; Bradley, J.S.; Wright, I.W.					Calver, Michael/0000-0001-9082-2902			Towards scientific contributions in applying the precautionary principle: an example from southwestern Australia.								Pacific Conservation Biology				5	1			63	72						May 1999	1999																			1038-2097			ZOOREC:ZOOR13600029226		
J	DAWSON, TJ; ELLIS, BA								DIETS OF MAMMALIAN HERBIVORES IN AUSTRALIAN ARID SHRUBLANDS - SEASONAL EFFECTS ON OVERLAP BETWEEN RED KANGAROOS, SHEEP AND RABBITS ON DIETARY NICHE BREADTHS AND SELECTIVITIES								JOURNAL OF ARID ENVIRONMENTS				26	3			257	271		10.1006/jare.1994.1028				MAR 1994	1994	A 12-year study examined the diets of red kangaroos (Macropus rufus), domestic sheep (Ovis aries) and wild European rabbits (Oryctolagus cuniculus) on open plains in the arid, shrub rangeland of southern Australia. Also examined were levels of dietary overlap between these animals and their foraging in relation to resource availability. The potential for interspecific competition in different conditions was examined. Insights were also sought into the impact of these wild and domestic herbivores on the arid zone pastures. The diet of red kangaroos was based around grasses, except in wet seasons when forb intake was high. In dry seasons shrubs were also eaten but in severe drought grass intake was almost 90%. The diets of sheep showed a similar pattern but were more variable. While grass was important in their diet, they ate more forbs in wet times and much more shrub in dry conditions than the kangaroos. However, in drought they had a high dietary overlap with the kangaroos. Rabbits had broad diets in good conditions but ate much browse (bark, twigs and roots) in drought. The data pointed to marked competition between the herbivores, with sheep impacting more on kangaroos when pasture conditions began to deteriorate. A decline of perennial shrubs in these arid rangelands was considered probable because of the emphasis of sheep and rabbits on them in dry times; the dominant chenopod shrubs do not survive persistent heavy grazing.																		0140-1963			WOS:A1994NE60500005		
J	Evertz, Stefan								Interspezifische Konkurrenz zwischen Honigbienen (Apis mellifera) und solitaren Wildbienen (Hymenoptera Apoidea).								Natur und Landschaft				70	4			165	172						April 1995	1995																			0028-0615			ZOOREC:ZOOR13100067078		
J	GINSBERG, HS								FORAGING ECOLOGY OF BEES IN AN OLD FIELD								ECOLOGY				64	1			165	175		10.2307/1937338				1983	1983																			0012-9658	1939-9170		WOS:A1983QA56800017		
J	Gross, CL				Management, Ecosystem/C-2259-2011				The effect of introduced honeybees on native bee visitation and fruit-set in Dillwynia juniperina (Fabaceae) in a fragmented ecosystem								BIOLOGICAL CONSERVATION				102	1			89	95		10.1016/S0006-3207(01)00088-X				NOV 2001	2001	The endemic shrub Dillwynia juniperina is found in fragmented woodlands on the Northern Tablelands of New South Wales, Australia. The species obligatorily relies on pollinators to effect fruit-set and in this study the effect of fragmentation and the presence of the introduced honeybee on fruit-set was examined at two locations. Over two seasons Dillwynia juniperina was not pollen-limited indicating that flowers were saturated with pollen and that adequate bee servicing was occurring. Two native bee species (Leioproctus sp. 1 and Lasioglossum sp.) and the introduced honeybee, Apis mellifera L., were the. most common visitors to flowers. Bee abundance varied between sites with honeybees being more common than native bees at one site. Native bees were never the most dominant pollinator. Visitation data show that native bees spend more time at flowers than introduced bees, although on average honeybees visit slightly more flowers on a bush than do native bees. Visitation data also revealed that native bee presence at bushes is negatively correlated with the presence of honeybees at the same bushes. At one of the study sites, honeybees were very abundant, but very few native bees were ever recorded over the 3 years. Results show that flowers can be pollinated from a single visit by a honeybee or native bee. Extrapolation of visitation data showed that native bees could on their own adequately service flowers in some years at some sites while at other times introduced honeybees may be necessary to augment pollination services. (C) 2001 Elsevier Science Ltd. All rights reserved.																		0006-3207			WOS:000170873200007		
J	Gross, CL; Mackay, D				Management, Ecosystem/C-2259-2011; Mackay, Duncan A/A-9966-2011				Honeybees reduce fitness in the pioneer shrub Melastoma affine (Melastomataceae)								BIOLOGICAL CONSERVATION				86	2			169	178		10.1016/S0006-3207(98)00010-X				NOV 1998	1998	The agistment of managed hives of the introduced honeybee, Apis mellifera, in or adjacent to conservation areas in Australia is controversial. The effects, if any, of honeybee-foraging on native plants and their native-bee pollinators is poorly understood as most studies to date have concentrated on bird-pollinated systems. Furthermore, such studies have been undertaken in temperate Australia where feral and managed hives have been present for more than 150 years. In tropical Australia the impact of honeybees on the native biota is not known-yet the information is needed to assist with planning for the management of the large areas now under control of conservation authorities. We undertook a comparative study of honeybee and native bee pollination of the pioneer species Melastoma affine in tropical north Queensland, Australia, at a site where honeybees were recently introduced as managed hives. Melastoma affine is utilised by many animals in this ecosystem and its pollination mechanism is representative of several other pioneer species of the rainforest margin. Melastoma affine obligately relies on bee pollination to effect seed-set. Native bees were the most abundant floral visitors to M. affine although significantly more honeybees than native bees were sometimes present at flowers at the end of the morning. Honeybees were poor pollinators of M. affine compared with native bees. Honeybees deposited significantly less pollen on stigmas than native bees and honeybees actively removed pollen from stigmas. Consequently, fruit-set was less likely and seed-set was significantly lower in flowers to which honeybees were the last visitor, compared with cases where native bees were the last visitor-and the last visitor to M. affine flowers was most often A. mellifera. In 91% of interactions between honeybees and native bees, native bees were disturbed from foraging at flowers by honeybees. Honeybees reduced fitness in M. affine in this study and we thus conclude that honeybees are an undesirable introduction in montane tropical-rainforest systems in Australia and based on our findings we strongly recommend that honeybees not be agisted in or adjacent to conservation areas in the wet tropics of Australia. (C) 1998 Elsevier Science Ltd. All rights reserved.																		0006-3207			WOS:000076273000006		
J	Hingston, AB; McQuillan, PB				McQuillan, Peter/C-2373-2014	McQuillan, Peter/0000-0001-6334-372X			Displacement of Tasmanian native megachilid bees by the recently introduced bumblebee Bombus terrestris (Linnaeus, 1758) (Hymenoptera : Apidae)								AUSTRALIAN JOURNAL OF ZOOLOGY				47	1			59	65		10.1071/ZO98016				1999	1999	The assertion that the recently introduced large earth bumblebee, Bombus terrestris, does not compete with other bees was investigated by examining the impact of B. terrestris on the foraging of two species of Chalicodoma (Megachilidae) on flowers of Gompholobium huegelii (Fabaceae). Chalicodoma spp. spent less time at each flower during the afternoon in quadrats where B. terrestris foraged than at quadrats from which B. terrestris was excluded, indicating that standing crops of nectar were depleted by B. terrestris during the course of the day. This decline in resources was associated with reductions in the numbers of flowers visited, and the amount of time spent foraging, by Chalicodoma spp. II is proposed that the native bees avoided foraging in the quadrat where B, terrestris occurred as a response to reduced foraging efficiency in that situation. Thus, B. terrestris displaced these two species of Chalicodoma through competition for a limited resource. The high densities at which B. terrestris occurred, together with its ability to Forage at lower ambient temperatures than the native bees, exacerbated the impact of this exotic species. The possibility that this will adversely affect pollination in G. huegelii is also discussed.																		0004-959X			WOS:000080646400006		
J	Hoffmann, BD; Andersen, AN; Hill, GJE				Andersen, Alan N/F-8763-2010; Hoffmann, Ben D/A-2746-2011	Andersen, Alan N/0000-0003-1487-3323; Hoffmann, Ben D/0000-0002-4010-4723			Impact of an introduced ant on native rain forest invertebrates: Pheidole megacephala in monsoonal Australia								OECOLOGIA				120	4			595	604		10.1007/s004420050895				SEP 1999	1999	Pheidole megacephala is an exotic ant species that has severely affected native invertebrate biodiversity throughout the tropics. Its impacts have been documented extensively in relatively depauperate invertebrate communities, but not in species-rich habitats such as tropical rain forests. Here we describe the local distribution of P. megacephala and its impacts on native invertebrate assemblages in and around a rain forest patch at Howard Springs, in Australia's monsoonal tropics. P. megacephala was found to be confined to a single area of approximately 25 ha, with its distribution centered on drainage lines and the rain forest. Significant but weak correlations were found between its abundance and vegetative canopy cover (positive) and distance from the rain forest (negative). In the most heavily infested area within the rain forest, the abundance of P. megacephala was 37-110 times that of total native ant abundance found within uninfested plots, as measured by pitfall traps. The abundance and richness of native ants and other invertebrates were significantly reduced in litter samples, pitfall catches and foliage beats where P. megacephala was present, inversely relative to the abundance of P. megacephala. Only two individuals of a single native ant species were found within the most infested plot, with native ant richness being reduced to about half in the least infested plot. The most persistent functional groups of native ants in infested plots were Cryptic species, which forage primarily within soil and leaf litter, and Opportunists, which exhibit highly generalised foraging behaviour. The highest abundance of P. megacephala corresponded with a 42-85% decrease in the abundance of other native invertebrates. Insect larvae were totally absent from foliage beats collected at the most heavily infested plot. P. megacephala was found overall to be expanding its range, averaging 12 m range expansion in the dry season and contracting 7 m in the wet season. It is able to spread into surrounding savanna habitats by occupying relatively sheltered microsites, such as beneath logs and at the bases of trees. However, it is unlikely to attain high population densities in open savanna habitats because of its relative intolerance of desiccation, and the prevalence of behaviourally dominant native ant species. Howard Springs is currently the only rain forest patch in monsoonal Australia known to be infested by P. megacephala, but clearly this ant is a serious potential threat to the region's rain forest invertebrate fauna.																		0029-8549	1432-1939		WOS:000082858900016	28308311	
J	Horskins, K; Turner, VB								Resource use and foraging patterns of honeybees, Apis mellifera, and native insects on flowers of Eucalyptus costata								AUSTRALIAN JOURNAL OF ECOLOGY				24	3			221	227		10.1046/j.1442-9993.1999.00965.x				JUN 1999	1999	Introduced honeybees have become well established throughout Australia and concerns have been raised about their impact on the native flora and fauna. Such concerns include the possible depletion of nectar resources by honeybees to the detriment of native animals and the ability of honeybees to pollinate Australian plants. The foraging patterns and resource utilization of honeybees (Apis mellifera) and native insects on flowers of yellow Mallee (Eucalyptus costata) (Behr & F. Muell, ex E Muell.) were studied in Wyperfeld National Park during spring 1994. Seventy-four insect species visited the flowers with the most prevalent being honeybees, native bees (Lasioglossum and Hylaeus) and ants (Iridiomyrmex). Honeybees began foraging at lower temperatures than native bees and hence had initial access to the nectar supply that was primarily produced overnight by E. costata. However, the majority (90%) of early morning visits to flowers by honeybees involved the collection of pollen. Honeybees did not forage for nectar in substantial numbers until after native insects were active. Despite both consumption and evaporation, nectar supplies remained available at midday and at one site remained available for consumption at dusk. Honeybees regularly made contact with the receptive stigmata while foraging for pollen and hence had pollen loads consisting of numerous E. costata grains present on their body. These activities are indicative of the behaviour required by insects to facilitate pollination. Given the unique morphology of many native flowers and the contrasting findings from studies to date, it is critical that generalisations about the effect of honeybees in the Australian environment are not made from studies on a limited number of native plant species.																		0307-692X			WOS:000080977800004		
