PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	EA	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZR	ZA	ZB	ZS	Z9	U1	U2	SN	EI	BN	UT	PM	
J	Aigner, PA								Ecological and genetic effects on demographic processes: pollination, clonality and seed production in Dithyrea maritima								BIOLOGICAL CONSERVATION				116	1			27	34		10.1016/S0006-3207(03)00170-8				MAR 2004	2004	The relative importance of ecological and genetic factors in regulating the demographic processes of small populations is unknown for most rare plants. Dithyrea maritima (beach spectacle pod; Brassicaceae) is a rare, rhizomatously spreading, and self-incompatible herbaceous perennial endemic to coastal sand dunes of southern California. Low seed production in this species may be caused by insufficient pollinator visits, which may be exacerbated by competition for pollinator visits from non-native plants that have invaded the coastal dunes. I tested this 'ecological' hypothesis by removing flowers of Cakile maritima and Carpobrotus spp. from three experimental plots on San Nicolas Island. A second possible limitation on seed set is low diversity of genets within subpopulations, which could lead to scarcity of compatible mates. I tested this 'genetic' hypothesis by assigning ramets to clones using isozymes, and by relating clonal diversity within populations to seed set. Removal of non-native plants had no detectable effect on pollination service to D. maritima or on seed set, and seed set was unrelated to natural variation in pollination service among populations within a single year. In contrast, clonal diversity within a 10 m(2) patch was a strong predictor of seed set. Hence a genetic factor explains spatial variation in seed set on San Nicolas Island. On larger spatial and temporal scales, however, pollination service also affects patterns of seed set: a shift in pollination from flies in 1998 to bees in 1999 probably caused a corresponding increase in seed set across San Nicolas Island, while extremely low seed set at another site (San Miguel Island) is probably caused by a virtual absence of pollinators there. (C) 2003 Elsevier Ltd. All rights reserved.																		0006-3207	1873-2917		WOS:000188113500004		
J	AIZEN, MA; FEINSINGER, P					Aizen, Marcelo/0000-0001-9079-9749			HABITAT FRAGMENTATION, NATIVE INSECT POLLINATORS, AND FERAL HONEY-BEES IN ARGENTINE CHACO SERRANO								ECOLOGICAL APPLICATIONS				4	2			378	392		10.2307/1941941				MAY 1994	1994	In subtropical dry forest (Chaco Serrano) of Tucuman province, northwestem Argentina, we assessed responses of the flower-visitor assemblage to habitat fragmentation by monitoring insect visits to two spring-flowering tree species and by sampling insects with yellow pan traps. Each of four study sites contained a tract of continuous forest, one large (> 2.2 ha) forest fragment, and one small (< 1 ha) fragment, with fragments isolated for 5-20 yr preceding the study. During its respective flowering peak each tree species examined, Prosopis nigra (Mimosoideae) and Cercidium australe (Caesalpinoideae), dominated the sites' entomophilous flora.Results indicate that flower-visitor assemblages respond to landscape features on the scale of hectares; specifically, forest fragmentation in the Chaco Serrano leads to an insect flower-visitor fauna increasingly dominated by the exotic honey bee (Apis mellifera). Bees as a group made >90% of observed flower visits to both plant species. The honey bee alone made 82% of all visits to the early-flowering tree species P. nigra and 44% to the later flowering C australe. Frequency and taxon richness of native flower-visitors at both plant species declined with decreasing forest-fragment size, but frequency of honey bee visits tended to increase in complementary fashion, such that the total frequency of insect visits to flowers of either plant species varied little with fragment size. Frequencies of visits by honey bees and those by native insects were also negatively correlated across individual trees. In both plants, visits by native insects were most consistent (varied the least among plants or over time) in large forest tracts, whereas honey bee visits to C australe were most consistent in small fragments. In pan trap samples the relative frequency of honey bees increased with decreasing fragment size. Native flower-visitors sampled by pan traps increased in numbers and taxon richness both with increasing patch size and as spring progressed. Thus, fragmentation of the Chaco Serrano appears to (a) affect native flower-visitors adversely and to (b) facilitate honey bees' access to floral resources. It is not clear that these two effects are directly related to each other, however.																		1051-0761			WOS:A1994NH00100018		
J	Aizen, MA; Feinsinger, P						Bradshaw, GA; Marquet, PA		Bees not to be? Responses of insect pollinator faunas and flower pollination to habitat fragmentation								HOW LANDSCAPES CHANGE		Ecological Studies-Analysis and Synthesis		162				111	129						2003	2003																			0070-8356			CCC:000180634300007		
J	Aizen, Marcelo A.; Morales, Carolina L.; Morales, Juan M.				Morales, Juan/B-6316-2009	Morales, Juan/0000-0001-7269-7490; Aizen, Marcelo/0000-0001-9079-9749			Invasive mutualists erode native pollination webs								PLOS BIOLOGY				6	2			396	403		10.1371/journal.pbio.0060031				FEB 2008	2008	Plant-animal mutualisms are characterized by weak or asymmetric mutual dependences between interacting species, a feature that could increase community stability. If invasive species integrate into mutualistic webs, they may alter web structure, with consequences for species persistence. However, the effect of alien mutualists on the architecture of plant - pollinator webs remains largely unexplored. We analyzed the extent of mutual dependency between interacting species, as a measure of mutualism strength, and the connectivity of 10 paired plant - pollinator webs, eight from forests of the southern Andes and two from oceanic islands, with different incidences of alien species. Highly invaded webs exhibited weaker mutualism than less-invaded webs. This potential increase in network stability was the result of a disproportionate increase in the importance and participation of alien species in the most asymmetric interactions. The integration of alien mutualists did not alter overall network connectivity, but links were transferred from generalist native species to super-generalist alien species during invasion. Therefore, connectivity among native species declined in highly invaded webs. These modifications in the structure of pollination webs, due to dominance of alien mutualists, can leave many native species subject to novel ecological and evolutionary dynamics.																		1544-9173	1545-7885		WOS:000254928400025	18271628	
J	Akratanakul, P.; Burgett, M.								Varroa jacobsoni: A prospective pest of honeybees in many parts of the world.								Bee World				56	3			119	120						1975	1975	The life history and distribution of the tropical mite V. jacobsoni are described, and reports of its occurrence on Apis mellifera and A. cerana in 13 countries are listed in chronological order. The mite is reported from Thailand for the first time.It is considered that the ability of V. jacobsoni to overwinter in hives in temperate regions is due to the relatively high temperature of the honeybee winter cluster. The mite could become a serious problem in Europe, Africa, Australia and the Western Hemisphere, and further work on its biology and control are needed.D. G. Lowe																		0005-772X			CABI:19750202899		
J	Altshuler, DL				Altshuler, Douglas L./E-5786-2011	Altshuler, Douglas L./0000-0002-1364-3617			Novel interactions of non-pollinating ants with pollinators and fruit consumers in a tropical forest								OECOLOGIA				119	4			600	606		10.1007/s004420050825				JUN 1999	1999	The tropical ants Ectatomma ruidum and E. tuberculatum (Formicidae) regularly patrol leaves, flowers, and fruits of the understory shrub, Psychotria limonensis (Rubiaceae), on Barro Colorado Island, Panama. Ant and pollinator exclusion experiments elucidated both positive and negative effects of ant attendance on plant reproductive success, including pollination, fruit set, fruit loss, and fruit removal. Ants did not pollinate flowers but did contribute to higher pollination success, probably by increasing the relocation frequency of winged pollinators and thus the rate of flower visitation. Ants also prevented fruit loss to herbivorous insects which were common during the early stages of fruit development. Thus, ant attendance strongly improved both pollination and fruit set whereby plants with ants set more fruit per flower and also lost fewer fruits during fruit maturation. In contrast? ants had a negative effect on the removal of ripe fruits by avian frugivores. Thus, ant attendance has a non-trivial influence on plant reproduction, this interaction being beneficial at some stages of the plant reproductive cycle and carrying costs at another stage. A tight ecological or co-evolved relationship between these Ectatomma spp. and P. limonensis is unlikely given that ant attendance of plants is detrimental to fruit removal.																		0029-8549	1432-1939		WOS:000081128300017	28307720	
J	ARRETZ, PV; MACFARLANE, RP								THE INTRODUCTION OF BOMBUS-RUDERATUS TO CHILE FOR RED-CLOVER POLLINATION								BEE WORLD				67	1			15	22		10.1080/0005772X.1986.11098855				1986	1986																			0005-772X			WOS:A1986A119200004		
J	Ashworth, L; Aguilar, R; Galetto, L; Aizen, MA				Galetto, Leonardo/J-4551-2019; Galetto, Leonardo/M-9708-2019	Galetto, Leonardo/0000-0003-3828-657X; Aguilar, Ramiro/0000-0003-4741-2611; Aizen, Marcelo/0000-0001-9079-9749			Why do pollination generalist and specialist plant species show similar reproductive susceptibility to habitat fragmentation?								JOURNAL OF ECOLOGY				92	4			717	719		10.1111/j.0022-0477.2004.00910.x				AUG 2004	2004	1 Although reproductive success of pollination specialist plants has been predicted to be more sensitive to habitat fragmentation than that of generalist plants, recent results indicate that effects do not differ between plants with different degrees of specialization.2 We provide an explanation for such unexpected results by linking evidence that specialization of plant-pollinator interactions is asymmetric to observations that generalist pollinators are less affected by habitat fragmentation.3 Plant specialization cannot therefore be considered in isolation from the degree of specialization of the mutualist partners. Evaluation of both sides of the mutualistic interaction will yield insights into the mechanisms behind species' responses to habitat fragmentation.																		0022-0477	1365-2745		WOS:000222869400015		
J	Barthell, JF; Randall, JM; Thorp, RW; Wenner, AM								Promotion of seed set in yellow star-thistle by honey bees: Evidence of an invasive mutualism								ECOLOGICAL APPLICATIONS				11	6			1870	1883		10.1890/1051-0761(2001)011[1870:POSSIY]2.0.CO;2				DEC 2001	2001	We examined the role of nonnative honey bees (Apis mellifera) as pollinators of the invasive, nonnative plant species yellow star-thistle (Centaurea solstitialis), both introduced to the western United States in the early to middle 1800s. Using four different treatments (three exclosure types) at flower heads, we observed visitation rates of different pollinators. Honey bees were the most common visitors at each of three transects established at three study locales in California: University of California at Davis, Cosumnes River Preserve. and Santa Cruz Island. A significant correlation existed between honey bee visitation levels monitored in all these transects and the average number of viable seeds per seed head for the same transects. Selective exclusion of honey bees at flower heads using a 3 mm diameter mesh significantly reduced seed set per seed head at all locales. Seed set depression was less dramatic at the island locale because of high visitation rates by generalist halictid bees Augochlorella pomoniella and Agapostemon texanus that penetrated the 3-mm mesh. The introduced megachilid bee Megachile apicalis occurred at all three locales as well (though in much lower numbers) and may contribute to pollination. In an ancillary study, seed set of plants with bagged heads was compared with that of plants without any bagged heads to test for resource shunting effects. These results showed that seed set differences observed between treatments within a single plant were not exaggerated due to resource shunting induced by the bagging technique. Yellow star-thistle may have low or variable levels of self-compatibility (as reflected by low seed set levels in small-mesh bags), increasing the importance of pollination in its breeding system. These results suggest that honey bees and yellow star-thistle may act as invasive mutualists, an association that may extend to other normative plant and pollinator species from Eurasia.																		1051-0761	1939-5582		WOS:000172456700024		
J	Barthell, JF; Frankie, GW; Thorp, RW								Invader effects in a community of cavity nesting megachilid bees (Hymenoptera : Megachilidae)								ENVIRONMENTAL ENTOMOLOGY				27	2			240	247		10.1093/ee/27.2.240				APR 1998	1998	Temporal and spatial characteristics of a community of cavity nesting megachilid bee species and their introduced competitors were examined at a site in the Central Valley of California. Two of the introduced bee species, Megachile apicalis Spinola and Megachile rotundata (F.), were frequent nest site occupants and accounted for 19.6 and 3.4% of all artificial nesting cavities (trap-nests) monitored during the 1st and 2nd yr of this study, respectively. These species were most active before and after the peak in native bee nesting activity and tended to occupy xeric habitats, despite significantly higher larval mortality associated with such environments. The ability to occupy a wide array of habitats may account for the invasion success of M. apicalis in California. Another invader, the European earwig, Forficula auricularia L., was a frequent occupant of nesting cavities in mesic habitats, accounting for 59 and 85% occupancy of trap-nests during the Ist and 2nd yr of the study, respectively. Exclusion experiments indicate earwig densities were sufficient to displace female bees at nest sites with 1/3 as much nesting activity occurring in sampling units that allowed entry by earwigs as those made inaccessible to them with sticky barriers. In comparison, all native species (including bees and wasps) never accounted for >25% of all occupied nesting cavities of either monitoring period of the study.																		0046-225X	1938-2936		WOS:000073520800009		
J	Bartomeus, Ignasi; Bosch, Jordi; Vila, Montserrat				Vila, Montserrat/D-9339-2013; Bartomeus, Ignasi/F-2382-2010; Bosch, Jordi/K-8752-2016	Vila, Montserrat/0000-0003-3171-8261; Bosch, Jordi/0000-0002-8088-9457; Bartomeus, Ignasi/0000-0001-7893-4389			High invasive pollen transfer, yet low deposition on native stigmas in a Carpobrotus-invaded community								ANNALS OF BOTANY				102	3			417	424		10.1093/aob/mcn109				SEP 2008	2008	Background and Aims Invasive plants are potential agents of disruption in plant-pollinator interactions. They may affect pollinator visitation rates to native plants and modify the plant-pollinator interaction network. However, there is little information about the extent to which invasive pollen is incorporated into the pollination network and about the rates of invasive pollen deposition on the stigmas of native plants.Methods The degree of pollinator sharing between the invasive plant Carpobrotus affine acinaciformis and the main co-flowering native plants was tested in a Mediterranean coastal shrubland. Pollen loads were identified from the bodies of the ten most common pollinator species and stigmatic pollen deposition in the five most common native plant species.Key Results It was found that pollinators visited Carpobrotus extensively. Seventy-three per cent of pollinator specimens collected on native plants carried Carpobrotus pollen. On average 23 % of the pollen on the bodies of pollinators visiting native plants was Carpobrotus. However, most of the pollen found on the body of pollinators belonged to the species on which they were collected. Similarly, most pollen on native plant stigmas was conspecific. Invasive pollen was present on native plant stigmas, but in low quantity.Conclusions Carpobrotus is highly integrated in the pollen transport network. However, the plant-pollination network in the invaded community seems to be sufficiently robust to withstand the impacts of the presence of alien pollen on native plant pollination, as shown by the low levels of heterospecific pollen deposition on native stigmas. Several mechanisms are discussed for the low invasive pollen deposition on native stigmas.																		0305-7364	1095-8290		WOS:000258471100013	18593688	
J	Bartomeus, Ignasi; Vila, Montserrat; Santamaria, Luis				Bartomeus, Ignasi/F-2382-2010; Vila, Montserrat/D-9339-2013; Pearson, Charlotte/P-8693-2017; Santamaria, Luis/C-1438-2012	Vila, Montserrat/0000-0003-3171-8261; Santamaria, Luis/0000-0002-5072-2912; Bartomeus, Ignasi/0000-0001-7893-4389			Contrasting effects of invasive plants in plant-pollinator networks								OECOLOGIA				155	4			761	770		10.1007/s00442-007-0946-1				APR 2008	2008	The structural organization of mutualism networks, typified by interspecific positive interactions, is important to maintain community diversity. However, there is little information available about the effect of introduced species on the structure of such networks. We compared uninvaded and invaded ecological communities, to examine how two species of invasive plants with large and showy flowers (Carpobrotus affine acinaciformis and Opuntia stricta) affect the structure of Mediterranean plant-pollinator networks. To attribute differences in pollination to the direct presence of the invasive species, areas were surveyed that contained similar native plant species cover, diversity and floral composition, with or without the invaders. Both invasive plant species received significantly more pollinator visits than any native species and invaders interacted strongly with pollinators. Overall, the pollinator community richness was similar in invaded and uninvaded plots, and only a few generalist pollinators visited invasive species exclusively. Invasive plants acted as pollination super generalists. The two species studied were visited by 43% and 31% of the total insect taxa in the community, respectively, suggesting they play a central role in the plant-pollinator networks. Carpobrotus and Opuntia had contrasting effects on pollinator visitation rates to native plants: Carpobrotus facilitated the visit of pollinators to native species, whereas Opuntia competed for pollinators with native species, increasing the nestedness of the plant-pollinator network. These results indicate that the introduction of a new species to a community can have important consequences for the structure of the plant-pollinator network.																		0029-8549	1432-1939		WOS:000254238700010	18188603	
J	Beekman, M; Ratnieks, FLW				Beekman, Madeleine/A-3983-2011; Beekman, Madeleine/AAF-8574-2019	Beekman, Madeleine/0000-0002-9040-3756; Beekman, Madeleine/0000-0002-9040-3756			Long-range foraging by the honey-bee, Apis mellifera L.								FUNCTIONAL ECOLOGY				14	4			490	496		10.1046/j.1365-2435.2000.00443.x				AUG 2000	2000	1. Waggle dances of honey-bees (Apis mellifera L.) were decoded to determine where and how far the bees foraged during the blooming of heather (Calluna vulgaris L.) in August 1996 using a hive located in Sheffield, UK, east of the heather moors. The median distance foraged was 6.1 km, and the mean 5.5 km. Only 10% of the bees foraged within 0.5 km of the hive whereas 50% went more than 6 km, 25% more than 7.5 km and 10% more than 9.5 km from the hive.2. These results are in sharp contrast with previous studies in which foraging distances were much closer to the hive. In May 1997 the mean foraging distance was 1 km, showing that long-range dancing is not the rule in Sheffield.3. The observed foraging distances described in this study may not be exceptional in a patchy environment where differences in patch size and patch quality are large. When travel distances to patches are large, distant patches can probably be utilized only by individuals that live in groups and recruit foragers to the patches found. Only then are the benefits of scouting for distant patches high enough to enable the exploitation of these patches.																		0269-8463	1365-2435		WOS:000089054800011		
